"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","stamp","id"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","0",NULL,"JULY","1","MAY","10","0","2549","0",,,,"2018-07-24 15:36:48","497425"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","0",NULL,"NOVEMBER","6","JANUARY","9","0","3460","0",,,,"2018-07-24 15:36:56","497426"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","1",NULL,"SEPTEMBER","12","FEBRUARY","3","0","4441","1",,,,"2018-07-24 15:37:04","497427"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","1",NULL,"MARCH","5","FEBRUARY","2","0","3214","1",,,,"2018-07-24 15:37:13","497428"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","0",NULL,"MAY","10","FEBRUARY","1","0","10737","1",,,,"2018-07-24 15:37:14","497429"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","2",NULL,"DECEMBER","7","MAY","10","0","6340","0",,,,"2018-07-24 15:37:22","497430"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","1",NULL,"JULY","9","AUGUST","7","0","1615","1",,,,"2018-07-24 15:37:23","497431"
"A2SNM3YVWIDKLM","cs_wg_full_v4_conf_pilot2","3II4UPYCOJ8PKCF6FK1RDP1ZVZEDQA","0",NULL,"JULY","12","FEBRUARY","2","0","4717","1",,,,"2018-07-24 15:37:24","497432"
"AVUTKN1N2TIF4","cs_wg_full_v4_conf_pilot2","3Q5C1WP23M26ZVGWFZTTEC5ZA6P510","2",NULL,"JUNE","11","SEPTEMBER","3","0","915","1",,,,"2018-07-24 15:37:28","497433"
"A3TLI95L5GOBKG","cs_wg_full_v4_conf_pilot2","3HVVDCPGTET5A32PSKI0VFMNXUJYTH","0",NULL,"JUNE","1","AUGUST","6","0","10766","0",,,,"2018-07-24 15:37:30","497434"
"A3HKMZ9ML9EPUY","cs_wg_full_v4_conf_pilot2","3WR9XG3T63C2EYRYQARSAUQYDWU74U","0",NULL,"JANUARY","7","JUNE","11","0","4403","0",,,,"2018-07-24 15:37:30","497435"
"A2T11H7YI7QPGD","cs_wg_full_v4_conf_pilot2","3V5Q80FXIXSAA1BOKK5E4YHKOGC23O","2",NULL,"JUNE","4","MARCH","5","0","2998","1",,,,"2018-07-24 15:37:31","497436"
"A28MDXDNK6QHMS","cs_wg_full_v4_conf_pilot2","3EWIJTFFVO86OPO7UHIW41S2I7I0ET","0",NULL,"SEPTEMBER","7","NOVEMBER","9","1","11226","1",,,,"2018-07-24 15:37:33","497437"
"A1BSL1VC7PQR04","cs_wg_full_v4_conf_pilot2","3C44YUNSI1Q4K0ERF7M2DKBPQ3SPDV","3",NULL,"MAY","10","AUGUST","8","1","2696","0",,,,"2018-07-24 15:37:34","497438"
"A2W5RJFHZRE8IS","cs_wg_full_v4_conf_pilot2","382M9COHEHGM4B0NSOWGT8G9YWLUEP","0",NULL,"APRIL","11","OCTOBER","10","0","3838","1",,,,"2018-07-24 15:37:35","497439"
