"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A3BYOCOPKVRUZ","cs_wg_full_v4_conf_pilot3","3E47SOBEYQX2YML92G17KHSVJZ5CIA","103294","1260249","Male","914","Yes","No","good study",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:08:39","5775"
"A2V1VO04WIRL6N","cs_wg_full_v4_conf_pilot3","3HHRAGRYX86AWAP9OR4L2ON9PN19OL","56913","1438152","Male","1099","No","No","I literally just went over all of the months in my head, and somehow still forgot about May",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:10:01","5776"
"A3SAD1UI1JRMTG","cs_wg_full_v4_conf_pilot3","39ZSFO5CA8XUFRMF6P77QOT13E0UJD","88431","2041296","Male","858","Yes","Yes","nothing",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:20:12","5777"
"A3G4USHY7MR4WW","cs_wg_full_v4_conf_pilot3","3AAPLD8UCCIJO8C0IKEC9FRK78QHT5","72687","1895887","Male","878","Yes","No","nice one",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:20:13","5778"
"A31LAW5AW4IUNG","cs_wg_full_v4_conf_pilot3","3Y54SXRO1LMOTUIKIJLBSUGA1GRUTI","231255","1911955","Male","885","Yes","No","C",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:20:20","5779"
"A1GOGKHM9YENEF","cs_wg_full_v4_conf_pilot3","38YMOXR4MU0VJ0WDH6SJZ89T2OS6WJ","235028","2142562","Female","1060","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:21:36","5780"
"A1EQ1LHEEIQ3UA","cs_wg_full_v4_conf_pilot3","3SNLUL3WO4O0AHAF9AJK636T735ULF","65322","1320973","Male","1092","Yes","No","This was really interesting! I was just sounding out some months in my head to see what the third letter was. I think I gravitated towards the words with higher values from the first task, which is why I came to November first and didn't even consider May.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:22:35","5781"
"A2JEBSXKVWFCC0","cs_wg_full_v4_conf_pilot3","3I02618YA07Q12PD12CRNKFDCD6UPD","90108","2302522","Female","865","Yes","Yes","good study",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:24:18","5782"
"AA4JYAPLYB6QT","cs_wg_full_v4_conf_pilot3","37M28K1J0QEA0I8H0KQGQNH7WBAJAS","88551","1078350","Male","983","No","No","I felt I was not given enough time... some of us aren't fast thinkers and require more time to fully understand what exactly you want.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:25:28","5783"
"A2K14P6B2UKYUJ","cs_wg_full_v4_conf_pilot3","3DH6GAKTYYQ1WFBOYC7IH3N4I0OZY1","81108","2215257","Male","930","Yes","Yes","Good",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:26:04","5784"
"AMRVAZ2PAXB49","cs_wg_full_v4_conf_pilot3","3LBXNTKX0RWXQJ31PIRHL1E21R5X9D","244650","1202090","Female","1001","No","No","I didn't have a strategy other than frantically thinking through the letters of the months that came to mind first. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:28:06","5785"
"A3V1VK1A3NYN17","cs_wg_full_v4_conf_pilot3","354P56DE9K4LGJT9GBNA8X64RMG7S4","50485","1460248","Male","883","No","No","I tried to remember all the months that had long spellings",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:30:57","5786"
"A2YK47V8SG1RJY","cs_wg_full_v4_conf_pilot3","3K4J6M3CXEU09GIGSE5DTAPR4JSGAK","29353","1061900","Female","876","Yes","No","none",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:31:02","5787"
"A3SO12Y6Q5SEEB","cs_wg_full_v4_conf_pilot3","31Q0U3WYDPGLMZUF3S8QCWJV1M371K","264160","1578428","Female","1056","No","No","My strategy was to try and think about the months and quickly figure out what word would be the best. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 19:39:28","5788"
"A3FDQJMLPJ2YVJ","cs_wg_full_v4_conf_pilot3","3HYA4D452RK5QDRH4F6G576HRG12F1","75803","1357453","Male","1085","No","No","I started with October, because that was the first one I thought of. Maybe because it had the highest value in the previous section. But I remembered may with about 10 seconds left luckily.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 20:07:33","5789"
"A15EZCN5OCG62W","cs_wg_full_v4_conf_pilot3","3NS0A6KXC491AOQO46LCA3G0D48GZU","253411","2467153","Male","1100","No","No","Remembering the alphabet and then thinking which month had the most third late alphabet letter.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 20:08:06","5790"
"A7D03K5GE3J9S","cs_wg_full_v4_conf_pilot3","3H8DHMCCW9C399HB2FHUH3PQW4EKD3","93651","1658041","Male","853","Yes","Yes","this study is very nice and good",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 20:28:39","5791"
"A2GTJ0BD4CG1A2","cs_wg_full_v4_conf_pilot3","3PH3VY7DJLYX7AGOJBPUW62O7SOZW2","71235","1443616","Male","1126","No","No","No comments.  I just went through the months in order in my head.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 20:32:58","5792"
"A2MEEFICK8H74C","cs_wg_full_v4_conf_pilot3","39O5D9O87TTN8J3QHDUKGBQ60LGC3Q","183799","2105900","Female","1029","No","No","I kind of went into panic mode the moment the 20 sec timer started. So there was no strategy :( I feel like a doofus. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-07-25 22:24:02","5793"
