subject,version,assignmentId,cond,question,question_ind,all_values,question_order,comp_check,comp_check_pass,comp_check_rt,comp_check2,comp_check_pass2,choice,scratch,rt,early1,early2,stamp,id
A3BYOCOPKVRUZ,cs_wg_full_v4_conf_pilot3,3E47SOBEYQX2YML92G17KHSVJZ5CIA,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,35677,0,1,september,,21000,,,7/25/18 19:06,23197
A2V1VO04WIRL6N,cs_wg_full_v4_conf_pilot3,3HHRAGRYX86AWAP9OR4L2ON9PN19OL,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,32069,0,1,November,,21000,,,7/25/18 19:08,23198
A3BYOCOPKVRUZ,cs_wg_full_v4_conf_pilot3,3E47SOBEYQX2YML92G17KHSVJZ5CIA,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""April"":0,""December"":0,""August"":0,""October"":0,""February"":0,""March"":0,""January"":0,""May"":0,""July"":0,""June"":0,""September"":1,""November"":0}",,11223,,,7/25/18 19:08,23199
A2V1VO04WIRL6N,cs_wg_full_v4_conf_pilot3,3HHRAGRYX86AWAP9OR4L2ON9PN19OL,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""May"":0,""October"":1,""December"":1,""July"":0,""January"":1,""June"":1,""March"":1,""April"":0,""August"":1,""February"":1,""September"":1,""November"":1}",,34043,,,7/25/18 19:09,23200
A1GOGKHM9YENEF,cs_wg_full_v4_conf_pilot3,38YMOXR4MU0VJ0WDH6SJZ89T2OS6WJ,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,79343,26,0,june,,21000,,,7/25/18 19:17,23201
A31LAW5AW4IUNG,cs_wg_full_v4_conf_pilot3,3Y54SXRO1LMOTUIKIJLBSUGA1GRUTI,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,310794,15,0,fizzle,,21000,,,7/25/18 19:18,23202
A3G4USHY7MR4WW,cs_wg_full_v4_conf_pilot3,3AAPLD8UCCIJO8C0IKEC9FRK78QHT5,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,19384,15,0,july,800,21000,,,7/25/18 19:18,23203
A3SAD1UI1JRMTG,cs_wg_full_v4_conf_pilot3,39ZSFO5CA8XUFRMF6P77QOT13E0UJD,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,0,0,139966,0,1,nice,this survey is very good,21000,,,7/25/18 19:18,23204
A31LAW5AW4IUNG,cs_wg_full_v4_conf_pilot3,3Y54SXRO1LMOTUIKIJLBSUGA1GRUTI,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""May"":1,""January"":0,""July"":0,""December"":0,""February"":0,""April"":0,""September"":0,""October"":0,""March"":0,""June"":0,""November"":0,""August"":0}",,16136,,,7/25/18 19:19,23205
A3G4USHY7MR4WW,cs_wg_full_v4_conf_pilot3,3AAPLD8UCCIJO8C0IKEC9FRK78QHT5,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""October"":1,""March"":1,""May"":1,""December"":0,""September"":1,""June"":1,""November"":0,""August"":1,""January"":1,""July"":1,""April"":0,""February"":1}",,27443,,,7/25/18 19:19,23206
A3SAD1UI1JRMTG,cs_wg_full_v4_conf_pilot3,39ZSFO5CA8XUFRMF6P77QOT13E0UJD,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""June"":1,""January"":1,""October"":1,""September"":1,""December"":1,""November"":1,""July"":1,""April"":1,""March"":1,""August"":1,""February"":1,""May"":1}",,7603,,,7/25/18 19:19,23207
A1EQ1LHEEIQ3UA,cs_wg_full_v4_conf_pilot3,3SNLUL3WO4O0AHAF9AJK636T735ULF,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,52057,0,1,November,,21000,,,7/25/18 19:20,23208
A1GOGKHM9YENEF,cs_wg_full_v4_conf_pilot3,38YMOXR4MU0VJ0WDH6SJZ89T2OS6WJ,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""April"":0,""March"":0,""December"":1,""November"":1,""January"":0,""June"":1,""October"":0,""February"":0,""August"":0,""July"":0,""May"":0,""September"":0}",,5444,,,7/25/18 19:21,23209
A1EQ1LHEEIQ3UA,cs_wg_full_v4_conf_pilot3,3SNLUL3WO4O0AHAF9AJK636T735ULF,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""February"":0,""January"":1,""November"":1,""March"":0,""June"":0,""August"":1,""May"":0,""September"":1,""July"":0,""December"":1,""April"":1,""October"":0}",,58504,,,7/25/18 19:22,23210
A2JEBSXKVWFCC0,cs_wg_full_v4_conf_pilot3,3I02618YA07Q12PD12CRNKFDCD6UPD,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,4763,15,0,good study,good ,21000,,,7/25/18 19:22,23211
AA4JYAPLYB6QT,cs_wg_full_v4_conf_pilot3,37M28K1J0QEA0I8H0KQGQNH7WBAJAS,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,73596,15,0,,,21000,,,7/25/18 19:23,23212
A2JEBSXKVWFCC0,cs_wg_full_v4_conf_pilot3,3I02618YA07Q12PD12CRNKFDCD6UPD,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""January"":1,""June"":1,""April"":1,""October"":1,""March"":1,""July"":1,""December"":1,""September"":1,""August"":1,""May"":1,""February"":1,""November"":1}",,7213,,,7/25/18 19:24,23213
AA4JYAPLYB6QT,cs_wg_full_v4_conf_pilot3,37M28K1J0QEA0I8H0KQGQNH7WBAJAS,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""February"":1,""October"":0,""January"":0,""July"":0,""June"":0,""November"":0,""April"":0,""March"":0,""August"":0,""May"":0,""December"":1,""September"":1}",,52972,,,7/25/18 19:25,23214
AA4JYAPLYB6QT,cs_wg_full_v4_conf_pilot3,37M28K1J0QEA0I8H0KQGQNH7WBAJAS,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,73596,15,0,,,21000,,,7/25/18 19:23,23212
A2K14P6B2UKYUJ,cs_wg_full_v4_conf_pilot3,3DH6GAKTYYQ1WFBOYC7IH3N4I0OZY1,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""November"":1,""April"":1,""December"":1,""July"":1,""September"":1,""January"":1,""June"":1,""October"":1,""August"":1,""May"":1,""February"":1}",,15052,,,7/25/18 19:25,23215
AMRVAZ2PAXB49,cs_wg_full_v4_conf_pilot3,3LBXNTKX0RWXQJ31PIRHL1E21R5X9D,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,39913,0,1,November,,21000,,,7/25/18 19:26,23216
AMRVAZ2PAXB49,cs_wg_full_v4_conf_pilot3,3LBXNTKX0RWXQJ31PIRHL1E21R5X9D,choice-set,choice-set,2,[],2,-1,-1,-1,,0,"{""March"":0,""April"":0,""June"":0,""October"":0,""July"":0,""November"":1,""May"":0,""August"":0,""December"":1,""February"":1,""January"":0,""September"":1}",,24258,,,7/25/18 19:27,23217
A2YK47V8SG1RJY,cs_wg_full_v4_conf_pilot3,3K4J6M3CXEU09GIGSE5DTAPR4JSGAK,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,15,0,10270,26,0,Custom Notepad,Custom Notepad,21000,,,7/25/18 19:29,23218
A3V1VK1A3NYN17,cs_wg_full_v4_conf_pilot3,354P56DE9K4LGJT9GBNA8X64RMG7S4,choice-set,Third letter late,0,"[14,2,18,18,25,14,12,7,16,20,22,3]",0,26,1,41691,0,1,October,,21000,,,7/25/18 19:29,23219
