"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","0","0","JUNE","7","MARCH","1","0","6381",,,,,"1","2018-08-15 19:16:56","9"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","1","0","FEBRUARY","2","DECEMBER","8","1","3393",,,,,"1","2018-08-15 19:17:03","10"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","2","0","JUNE","7","FEBRUARY","2","0","4545",,,,,"1","2018-08-15 19:17:11","11"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","3","0","AUGUST","10","OCTOBER","5","0","2873",,,,,"1","2018-08-15 19:17:17","12"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","4","0","JULY","9","APRIL","6","0","3957",,,,,"1","2018-08-15 19:17:24","13"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","5","0","JUNE","7","OCTOBER","5","0","2293",,,,,"1","2018-08-15 19:17:28","14"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","0","0","SEPTEMBER","7","APRIL","2","0","6510",,,,,"1","2018-08-15 19:17:32","15"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","6","0","DECEMBER","8","FEBRUARY","2","0","4641",,,,,"1","2018-08-15 19:17:36","16"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","1","0","OCTOBER","6","APRIL","2","0","5537",,,,,"1","2018-08-15 19:17:40","17"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","0","0","FEBRUARY","1","JUNE","8","1","6084",,,,,"1","2018-08-15 19:17:42","18"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","7","0","APRIL","6","MAY","11","1","4634",,,,,"1","2018-08-15 19:17:45","19"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","1","0","SEPTEMBER","3","FEBRUARY","1","0","5956",,,,,"1","2018-08-15 19:17:51","20"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","8","0","OCTOBER","5","JULY","9","1","3331",,,,,"1","2018-08-15 19:17:52","21"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","2","0","SEPTEMBER","7","NOVEMBER","9","1","9573",,,,,"1","2018-08-15 19:17:55","22"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","0","0","JUNE","9","FEBRUARY","3","0","9027",,,,,"1","2018-08-15 19:17:58","23"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","2","0","SEPTEMBER","3","JUNE","8","1","5491",,,,,"1","2018-08-15 19:17:59","24"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","9","0","NOVEMBER","12","MAY","11","0","4478",,,,,"1","2018-08-15 19:18:01","25"
"A1VPQJR2V850OM","cs_wg_full_v4_conf_pilot4","36AHBNMV1RDYTE6S6UILQB41Y4CDYQ","0","0","OCTOBER","9","APRIL","12","1","16718",,,,,"1","2018-08-15 19:18:03","26"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","3","0","FEBRUARY","1","JULY","3","1","5909",,,,,"1","2018-08-15 19:18:03","27"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","0","0","JULY","8","DECEMBER","5","0","33029",,,,,"1","2018-08-15 19:18:05","28"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","10","0","JANUARY","3","SEPTEMBER","4","1","4963",,,,,"1","2018-08-15 19:18:08","29"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","3","0","JANUARY","12","OCTOBER","10","0","7632",,,,,"1","2018-08-15 19:18:09","30"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","1","0","FEBRUARY","3","JANUARY","7","1","8016",,,,,"1","2018-08-15 19:18:09","31"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","4","0","FEBRUARY","1","AUGUST","5","1","3846",,,,,"1","2018-08-15 19:18:10","32"
"A2DHKTD1GSBXR2","cs_wg_full_v4_conf_pilot4","3OHYZ19UGC6O1TZEGXILYJYTZRGOAO","0","0","DECEMBER","6","JUNE","2","0","13216",,,,,"1","2018-08-15 19:18:14","33"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","11","0","JANUARY","3","OCTOBER","5","1","4273",,,,,"1","2018-08-15 19:18:15","34"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","5","0","FEBRUARY","1","OCTOBER","6","1","4246",,,,,"1","2018-08-15 19:18:16","35"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","4","0","MAY","4","OCTOBER","10","1","4790",,,,,"1","2018-08-15 19:18:16","36"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","1","0","APRIL","11","JANUARY","12","0","9651",,,,,"1","2018-08-15 19:18:17","37"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","2","0","SEPTEMBER","8","JUNE","9","1","7764",,,,,"1","2018-08-15 19:18:19","38"
"A1VPQJR2V850OM","cs_wg_full_v4_conf_pilot4","36AHBNMV1RDYTE6S6UILQB41Y4CDYQ","1","0","FEBRUARY","1","JULY","7","1","13033",,,,,"1","2018-08-15 19:18:20","39"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","12","0","JULY","9","MARCH","1","0","5034",,,,,"1","2018-08-15 19:18:22","40"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","6","0","MARCH","8","OCTOBER","6","0","4419",,,,,"1","2018-08-15 19:18:23","41"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","5","0","JULY","7","FEBRUARY","1","0","6506",,,,,"1","2018-08-15 19:18:25","42"
"AJW3PL5UDH4BP","cs_wg_full_v4_conf_pilot4","3HHRAGRYX86AWAP9OR4L2ON9T9YO99","0","0","JULY","2","SEPTEMBER","10","1","24989",,,,,"1","2018-08-15 19:18:25","43"
"A2DHKTD1GSBXR2","cs_wg_full_v4_conf_pilot4","3OHYZ19UGC6O1TZEGXILYJYTZRGOAO","1","0","DECEMBER","6","JULY","7","1","10146",,,,,"1","2018-08-15 19:18:27","44"
"A1KQV9A4YITCSJ","cs_wg_full_v4_conf_pilot4","3VHP9MDGRNLIOVJJ18VMHKF37TACFS","0","0","OCTOBER","9","MARCH","12","1","9963",,,,,"1","2018-08-15 19:18:28","45"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","3","0","MARCH","5","JANUARY","7","1","7053",,,,,"1","2018-08-15 19:18:29","46"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","7","0","JANUARY","10","MARCH","8","0","4426",,,,,"1","2018-08-15 19:18:30","47"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","6","0","NOVEMBER","5","JULY","7","1","5549",,,,,"1","2018-08-15 19:18:33","48"
"A1KQV9A4YITCSJ","cs_wg_full_v4_conf_pilot4","3VHP9MDGRNLIOVJJ18VMHKF37TACFS","1","0","FEBRUARY","7","NOVEMBER","5","0","3157",,,,,"1","2018-08-15 19:18:34","49"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","13","0","FEBRUARY","2","JUNE","7","1","10243",,,,,"1","2018-08-15 19:18:35","50"
"A36ES9KTXHWW1O","cs_wg_full_v4_conf_pilot4","30MVJZJNHMEWVZYC8ECGUS6NUFOJ9L","0","0","MARCH","1","FEBRUARY","3","1","28654",,,,,"1","2018-08-15 19:18:36","51"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","8","0","JUNE","4","SEPTEMBER","7","1","3786",,,,,"1","2018-08-15 19:18:36","52"
"A2EJ7U3TZAKROG","cs_wg_full_v4_conf_pilot4","3JRJSWSMQHM25HN4D40F6ZQ9PFIE3E","4","0","JULY","4","MAY","2","0","5537",,,,,"1","2018-08-15 19:18:37","53"
"A2DHKTD1GSBXR2","cs_wg_full_v4_conf_pilot4","3OHYZ19UGC6O1TZEGXILYJYTZRGOAO","2","0","JUNE","2","NOVEMBER","1","0","10186",,,,,"1","2018-08-15 19:18:39","54"
"A1KQV9A4YITCSJ","cs_wg_full_v4_conf_pilot4","3VHP9MDGRNLIOVJJ18VMHKF37TACFS","2","0","NOVEMBER","5","SEPTEMBER","1","0","4021",,,,,"1","2018-08-15 19:18:40","55"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","7","0","APRIL","2","FEBRUARY","1","0","5287",,,,,"1","2018-08-15 19:18:41","56"
"A2XNOJZEAY4WFJ","cs_wg_full_v4_conf_pilot4","3VAR3R6G1P2AI56ZJZY72SSY93GO8K","0","0","JUNE","10","APRIL","4","0","12339",,,,,"1","2018-08-15 19:18:42","57"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","9","0","JUNE","4","JANUARY","10","1","4192",,,,,"1","2018-08-15 19:18:43","58"
"AA8PZKO9XGCKO","cs_wg_full_v4_conf_pilot4","3ND9UOO81K3D2LZK4AYLORRQW5ELWF","14","0","AUGUST","10","NOVEMBER","12","1","5499",,,,,"1","2018-08-15 19:18:43","59"
