"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","JANUARY","0","12","14","0","2018-08-15 19:29:15","93174"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","FEBRUARY","1","1","2","0","2018-08-15 19:29:15","93175"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","MAY","4","4","25","0","2018-08-15 19:29:15","93176"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","APRIL","3","2","18","0","2018-08-15 19:29:15","93177"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","MARCH","2","11","18","0","2018-08-15 19:29:15","93178"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","JUNE","5","8","14","0","2018-08-15 19:29:15","93179"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","JULY","6","7","12","0","2018-08-15 19:29:16","93180"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","SEPTEMBER","8","3","16","0","2018-08-15 19:29:16","93181"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","AUGUST","7","9","7","0","2018-08-15 19:29:16","93182"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","OCTOBER","9","10","20","0","2018-08-15 19:29:16","93183"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","NOVEMBER","10","5","22","0","2018-08-15 19:29:16","93184"
"A1XB671UQA34Q8","cs_wg_full_v4_conf_pilot4","358UUM7WRZ49F4TW1MN5IN1896UR79","choice-set","DECEMBER","11","6","3","0","2018-08-15 19:29:16","93185"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","FEBRUARY","1","7","2","0","2018-08-15 19:29:16","93186"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","JANUARY","0","12","14","0","2018-08-15 19:29:16","93187"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","MARCH","2","6","18","0","2018-08-15 19:29:16","93188"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","MAY","4","9","25","0","2018-08-15 19:29:16","93189"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","APRIL","3","11","18","0","2018-08-15 19:29:16","93190"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","JUNE","5","2","14","0","2018-08-15 19:29:16","93191"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","JULY","6","8","12","0","2018-08-15 19:29:17","93192"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","AUGUST","7","4","7","0","2018-08-15 19:29:17","93193"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","OCTOBER","9","10","20","0","2018-08-15 19:29:17","93194"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","SEPTEMBER","8","3","16","0","2018-08-15 19:29:17","93195"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","DECEMBER","11","5","3","0","2018-08-15 19:29:17","93196"
"AMJOSPFPF8KLH","cs_wg_full_v4_conf_pilot4","32VNZTT0A75CWHBDZOPYFBHYI44R4P","choice-set","NOVEMBER","10","1","22","0","2018-08-15 19:29:17","93197"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","JANUARY","0","10","14","0","2018-08-15 19:29:23","93198"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","FEBRUARY","1","1","2","0","2018-08-15 19:29:23","93199"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","JUNE","5","4","14","0","2018-08-15 19:29:23","93200"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","MAY","4","12","25","0","2018-08-15 19:29:23","93201"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","MARCH","2","8","18","0","2018-08-15 19:29:23","93202"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","APRIL","3","2","18","0","2018-08-15 19:29:23","93203"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","NOVEMBER","10","9","22","0","2018-08-15 19:29:24","93204"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","AUGUST","7","5","7","0","2018-08-15 19:29:24","93205"
"A3R21KIGJQ4A51","cs_wg_full_v4_conf_pilot4","3TVRFO09GKGSRL4AEFU7QA5X57KLX8","choice-set","SEPTEMBER","8","7","16","0","2018-08-15 19:29:24","93206"
