"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A2KNWCQHT2HQOR","cs_wg_full_v4_conf_real1","3PM8NZGV8YH3IIKN6K237W4RIAUXQT","30891","425959","Female","853","No","No","Not available.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:33:18","5835"
"A2JQDZY77YZDVB","cs_wg_full_v4_conf_real1","3NL0RFNU0FOQ9DYI94G1EZVKQ9YK4A","59056","624891","Female","858","No","No","I went through all of the months in order and stopped at May because it seemed like the best option.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:36:24","5836"
"ANS68V7U97OR0","cs_wg_full_v4_conf_real1","3CN4LGXD5XPLTINZDJHSN7AVOO7Y4J","43369","634585","Female","1083","No","No","Just my gut instincts.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:38:06","5837"
"AHJ7KEQTK2IHN","cs_wg_full_v4_conf_real1","31LVTDXBL7B8UPIY5GOF1SJ97NNLRX","67281","610547","Male","851","Yes","No","i just focussed as much as i could",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:38:32","5838"
"A3C3L0ELLH9G1I","cs_wg_full_v4_conf_real1","32Q90QCQ1SM81FVBYASENL7B3YSKEG","52302","743969","Female","1128","No","No","I honestly really enjoyed this study. I just thought of random months and their third letters.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:38:33","5839"
"A2OZTBCBOCHF9E","cs_wg_full_v4_conf_real1","3LQ8PUHQFLTTFUWPO8F8V8PB3AVHII","54721","703005","Female","1066","No","No","NO.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:38:48","5840"
"AF3EMBTO817L3","cs_wg_full_v4_conf_real1","3NC5L260MONJXKGMRD4DCK9KZ4HFOD","72369","760940","Female","1057","No","No","I put all the months in the note pad box and scrolled down until I found the one that was the answer.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:38:59","5841"
"A20WI3VW3CBOWN","cs_wg_full_v4_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q37LK17Z3","56198","805912","Female","1122","No","No","i just tried to remember a month that had a later letter for it",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:39:38","5842"
"ABVLH4KP7DKNV","cs_wg_full_v4_conf_real1","30ZX6P7VF8WLVFDDN5X1K5Y9R622JX","71129","830556","Female","1099","No","No","I just went over the months in my head that I knew I had saw",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:39:39","5843"
"ATBDBUD0WM93","cs_wg_full_v4_conf_real1","37C0GNLMHF4WAUWM0BNT7KK82R7D6B","26215","706632","Male","998","Yes","Yes","none",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:40:12","5844"
"AF8XVKJ3SIAIJ","cs_wg_full_v4_conf_real1","3LRKMWOKB5IBVUIH5R0N8ZMZA4F2ZI","74865","856258","Female","1120","No","No","I wrote the first word that came to mind.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-08-29 14:40:29","5845"
