"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2KNWCQHT2HQOR","cs_wg_full_v4_conf_real1","3PM8NZGV8YH3IIKN6K237W4RIAUXQT","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","4918","26","0","ocean",,"21000",,,"2018-08-29 14:32:22","23320"
"A2JQDZY77YZDVB","cs_wg_full_v4_conf_real1","3NL0RFNU0FOQ9DYI94G1EZVKQ9YK4A","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","25553","0","1","May","May","21000",,,"2018-08-29 14:32:42","23321"
"A2KNWCQHT2HQOR","cs_wg_full_v4_conf_real1","3PM8NZGV8YH3IIKN6K237W4RIAUXQT","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""January"":0,""June"":0,""July"":0,""August"":0,""September"":0,""March"":0,""February"":0,""November"":0,""April"":0,""October"":0,""May"":0,""December"":0}",,"19997",,,"2018-08-29 14:33:11","23322"
"A2JQDZY77YZDVB","cs_wg_full_v4_conf_real1","3NL0RFNU0FOQ9DYI94G1EZVKQ9YK4A","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""January"":0,""June"":0,""May"":1,""April"":1,""September"":0,""August"":0,""March"":0,""July"":0,""December"":0,""October"":1,""November"":0,""February"":0}",,"23341",,,"2018-08-29 14:36:13","23323"
"ANS68V7U97OR0","cs_wg_full_v4_conf_real1","3CN4LGXD5XPLTINZDJHSN7AVOO7Y4J","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","17365","0","1","November","January February March April May June Jul","21000",,,"2018-08-29 14:36:56","23324"
"AHJ7KEQTK2IHN","cs_wg_full_v4_conf_real1","31LVTDXBL7B8UPIY5GOF1SJ97NNLRX","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","5289","15","0","february","love you","21000",,,"2018-08-29 14:37:10","23325"
"A3C3L0ELLH9G1I","cs_wg_full_v4_conf_real1","32Q90QCQ1SM81FVBYASENL7B3YSKEG","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","20564","0","1","may","may","21000",,,"2018-08-29 14:37:15","23326"
"A2OZTBCBOCHF9E","cs_wg_full_v4_conf_real1","3LQ8PUHQFLTTFUWPO8F8V8PB3AVHII","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","24309","0","1","OCTOBER",,"21000",,,"2018-08-29 14:37:30","23327"
"AF3EMBTO817L3","cs_wg_full_v4_conf_real1","3NC5L260MONJXKGMRD4DCK9KZ4HFOD","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","53515","0","1","May
","January
February
March
April
May
June
july
august
september
october
november
december","21000",,,"2018-08-29 14:37:33","23328"
"ANS68V7U97OR0","cs_wg_full_v4_conf_real1","3CN4LGXD5XPLTINZDJHSN7AVOO7Y4J","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""April"":0,""September"":0,""August"":0,""June"":0,""February"":0,""March"":0,""December"":0,""October"":0,""November"":1,""July"":0,""May"":0,""January"":0}",,"11113",,,"2018-08-29 14:37:54","23329"
"ABVLH4KP7DKNV","cs_wg_full_v4_conf_real1","30ZX6P7VF8WLVFDDN5X1K5Y9R622JX","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","39583","0","1","March",,"21000",,,"2018-08-29 14:38:02","23330"
"ATBDBUD0WM93","cs_wg_full_v4_conf_real1","37C0GNLMHF4WAUWM0BNT7KK82R7D6B","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","30","0","13327","30","0","good","none","21000",,,"2018-08-29 14:38:08","23331"
"A20WI3VW3CBOWN","cs_wg_full_v4_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q37LK17Z3","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","25725","0","1","march",,"21000",,,"2018-08-29 14:38:16","23332"
"A3C3L0ELLH9G1I","cs_wg_full_v4_conf_real1","32Q90QCQ1SM81FVBYASENL7B3YSKEG","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""January"":0,""February"":0,""July"":0,""August"":0,""April"":0,""March"":0,""September"":0,""October"":0,""November"":1,""June"":0,""May"":1,""December"":0}",,"27531",,,"2018-08-29 14:38:23","23333"
"AHJ7KEQTK2IHN","cs_wg_full_v4_conf_real1","31LVTDXBL7B8UPIY5GOF1SJ97NNLRX","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""January"":0,""February"":1,""March"":0,""May"":0,""December"":0,""April"":0,""June"":0,""October"":0,""August"":0,""September"":0,""July"":1,""November"":0}",,"17810",,,"2018-08-29 14:38:29","23334"
"A2OZTBCBOCHF9E","cs_wg_full_v4_conf_real1","3LQ8PUHQFLTTFUWPO8F8V8PB3AVHII","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""October"":1,""November"":0,""September"":1,""July"":0,""August"":0,""January"":0,""June"":0,""February"":0,""December"":0,""March"":0,""May"":0,""April"":0}",,"5899",,,"2018-08-29 14:38:34","23335"
"AF3EMBTO817L3","cs_wg_full_v4_conf_real1","3NC5L260MONJXKGMRD4DCK9KZ4HFOD","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""August"":1,""October"":1,""February"":1,""November"":1,""March"":1,""July"":1,""December"":1,""June"":1,""April"":1,""January"":1,""September"":1,""May"":1}",,"23720",,,"2018-08-29 14:38:44","23336"
"AF8XVKJ3SIAIJ","cs_wg_full_v4_conf_real1","3LRKMWOKB5IBVUIH5R0N8ZMZA4F2ZI","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","24404","0","1","october","october","21000",,,"2018-08-29 14:38:59","23337"
"ABVLH4KP7DKNV","cs_wg_full_v4_conf_real1","30ZX6P7VF8WLVFDDN5X1K5Y9R622JX","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""April"":0,""February"":1,""June"":0,""January"":0,""December"":0,""May"":1,""September"":0,""August"":0,""November"":0,""March"":1,""October"":0,""July"":0}",,"20895",,,"2018-08-29 14:39:25","23338"
"A20WI3VW3CBOWN","cs_wg_full_v4_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q37LK17Z3","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":0,""May"":0,""June"":1,""April"":0,""March"":1,""November"":0,""February"":1,""October"":0,""December"":1,""August"":0,""September"":0,""January"":0}",,"13728",,,"2018-08-29 14:39:26","23339"
"A2SZXKTV5TEVQM","cs_wg_full_v4_conf_real1","33SA9F9TRXVZWFPSNOBHBW16Q51WEO","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","21367","0","1","may",,"21000",,,"2018-08-29 14:39:32","23340"
"A1G5SW4SM252UK","cs_wg_full_v4_conf_real1","3CPLWGV3MO0SEPPXNC48NZN46WHN9E","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","30","0","42483","0","1","November",,"21000",,,"2018-08-29 14:39:38","23341"
"ATBDBUD0WM93","cs_wg_full_v4_conf_real1","37C0GNLMHF4WAUWM0BNT7KK82R7D6B","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""May"":1,""June"":0,""March"":0,""September"":0,""April"":1,""November"":1,""July"":0,""October"":0,""January"":1,""August"":0,""December"":0,""February"":0}",,"8498",,,"2018-08-29 14:39:48","23342"
"A2WP9EC483LJY4","cs_wg_full_v4_conf_real1","3DYGAII7PL9Y99IWKTSMDJIOGBMQPZ","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","28421","0","1","may","may","21000",,,"2018-08-29 14:40:02","23343"
"AVNPIY2199HB1","cs_wg_full_v4_conf_real1","3QECW5O0KH278FS5HID3KIOU9IK5T6","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","80495","26","0",,"fizzy","21000",,,"2018-08-29 14:40:05","23344"
"A3IB23TZXY5X8G","cs_wg_full_v4_conf_real1","3EQHHY4HQST33A6ZXIEWLZ95JOC5GX","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","31209","0","1","October",,"21000",,,"2018-08-29 14:40:12","23345"
"A2K6LP24JPLSZ2","cs_wg_full_v4_conf_real1","3MX2NQ3YC9VEPW1PMSE09L90ME8X5H","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","42539","0","1",,,"21000",,,"2018-08-29 14:40:12","23346"
"AF8XVKJ3SIAIJ","cs_wg_full_v4_conf_real1","3LRKMWOKB5IBVUIH5R0N8ZMZA4F2ZI","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":0,""September"":0,""August"":0,""January"":0,""April"":0,""February"":0,""December"":0,""June"":0,""May"":0,""March"":0,""October"":1,""November"":0}",,"24874",,,"2018-08-29 14:40:16","23347"
"A2KR0B9H93THZS","cs_wg_full_v4_conf_real1","3YT88D1N08Z5RHFE9QBI4U3EC92K3P","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","87000","0","1","JULY",,"21000",,,"2018-08-29 14:40:20","23348"
"A18V6K2TMWMSWD","cs_wg_full_v4_conf_real1","3TVRFO09GKGSRL4AEFU7QA5X847XL4","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","35051","0","1","october","october","21000",,,"2018-08-29 14:40:27","23349"
"A1SR3T0RZYPXG","cs_wg_full_v4_conf_real1","3V0Z7YWSIY1UMAD74UBKNT93MT92VI","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","36772","0","1","November",,"21000",,,"2018-08-29 14:40:28","23350"
"A21E6M0FDLO07D","cs_wg_full_v4_conf_real1","3RRCEFRB7MDPGAUO3R38FWCU3FPB4H","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","22967","0","1","may",,"21000",,,"2018-08-29 14:40:32","23351"
"A90FR90GQLKMC","cs_wg_full_v4_conf_real1","3KOPY89HM83AGX9WR5B63F31XK33JA","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","30","0","41790","0","1","july","July","21000",,,"2018-08-29 14:40:36","23352"
"A1G5SW4SM252UK","cs_wg_full_v4_conf_real1","3CPLWGV3MO0SEPPXNC48NZN46WHN9E","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""November"":1,""February"":0,""January"":0,""April"":0,""September"":0,""August"":0,""March"":0,""June"":0,""July"":0,""May"":0,""December"":0,""October"":0}",,"10219",,,"2018-08-29 14:40:40","23353"
"AVNPIY2199HB1","cs_wg_full_v4_conf_real1","3QECW5O0KH278FS5HID3KIOU9IK5T6","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""October"":0,""August"":0,""March"":0,""December"":0,""April"":0,""September"":0,""June"":0,""November"":0,""January"":0,""May"":0,""February"":0,""July"":0}",,"4179",,,"2018-08-29 14:40:57","23354"
"A2SZXKTV5TEVQM","cs_wg_full_v4_conf_real1","33SA9F9TRXVZWFPSNOBHBW16Q51WEO","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""December"":0,""November"":0,""September"":0,""January"":1,""February"":1,""June"":1,""March"":1,""April"":1,""October"":0,""August"":0,""May"":1,""July"":1}",,"44934",,,"2018-08-29 14:41:10","23355"
"A2WP9EC483LJY4","cs_wg_full_v4_conf_real1","3DYGAII7PL9Y99IWKTSMDJIOGBMQPZ","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""April"":1,""November"":0,""August"":1,""October"":0,""May"":1,""September"":0,""January"":0,""July"":0,""March"":0,""June"":0,""December"":0,""February"":0}",,"22404",,,"2018-08-29 14:41:12","23356"
"A12X5IZCXN492U","cs_wg_full_v4_conf_real1","392CY0QWG1SZ3I8U91VP1JG7Y59I4X","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","37920","0","1","October","January
February
March
April
May
Ju","21000",,,"2018-08-29 14:41:14","23357"
"A1F01FVEPYCPHO","cs_wg_full_v4_conf_real1","3IXEICO792K3RJSJM1N8CO2U5DW6TO","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","35418","0","1","November",,"21000",,,"2018-08-29 14:41:28","23358"
"A2P791EA88YGSV","cs_wg_full_v4_conf_real1","3GFK2QRXX9IZ0WWZCNIE72VTDC2W5N","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","100341","0","1",,,"21000",,,"2018-08-29 14:41:37","23359"
"A2K6LP24JPLSZ2","cs_wg_full_v4_conf_real1","3MX2NQ3YC9VEPW1PMSE09L90ME8X5H","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""March"":1,""December"":0,""August"":0,""July"":0,""May"":1,""February"":0,""June"":0,""October"":1,""January"":1,""November"":1,""April"":1,""September"":1}",,"28963",,,"2018-08-29 14:41:38","23360"
"AB88F6FKYB3PL","cs_wg_full_v4_conf_real1","3LO69W1SU3EH5Z9KP5U32O525ECGLW","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","0","0","28288","15","0","februa","february","21000",,,"2018-08-29 14:41:49","23361"
"A3PCOZ2V4S8MAZ","cs_wg_full_v4_conf_real1","3GU1KF0O4I2B53G71BVWIUNPUBLPBM","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","36234","0","1","November",,"21000",,,"2018-08-29 14:41:51","23362"
"A3IB23TZXY5X8G","cs_wg_full_v4_conf_real1","3EQHHY4HQST33A6ZXIEWLZ95JOC5GX","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""November"":0,""July"":1,""August"":1,""April"":1,""March"":1,""September"":1,""May"":1,""October"":1,""December"":0,""January"":1,""June"":1,""February"":1}",,"39539",,,"2018-08-29 14:41:59","23363"
"A1S9BK4MRNVPL2","cs_wg_full_v4_conf_real1","3C5W7UE9CFRCX3MVERVMQNKM89YMXW","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","66231","0","1","May",,"21000",,,"2018-08-29 14:41:59","23364"
"A18V6K2TMWMSWD","cs_wg_full_v4_conf_real1","3TVRFO09GKGSRL4AEFU7QA5X847XL4","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""August"":1,""February"":1,""April"":1,""October"":1,""July"":1,""March"":0,""January"":1,""November"":0,""May"":0,""September"":1,""December"":1,""June"":0}",,"18950",,,"2018-08-29 14:41:59","23365"
"A90FR90GQLKMC","cs_wg_full_v4_conf_real1","3KOPY89HM83AGX9WR5B63F31XK33JA","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""June"":1,""July"":1,""January"":0,""March"":0,""November"":1,""April"":0,""September"":1,""May"":0,""October"":1,""December"":1,""August"":0,""February"":1}",,"35338",,,"2018-08-29 14:42:03","23366"
"AY4EQTZ5Y77TT","cs_wg_full_v4_conf_real1","3KMS4QQVK2R07TV7TLCK53SBFZ7FKT","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","32497","0","1","May",,"21000",,,"2018-08-29 14:42:09","23367"
"A9YQQIZRWVPIT ","cs_wg_full_v4_conf_real1","3JZQSN0I3QBV57ZO3UR57B0I8IQFGQ","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","45190","0","1","Map",,"21000",,,"2018-08-29 14:42:09","23368"
"A21E6M0FDLO07D","cs_wg_full_v4_conf_real1","3RRCEFRB7MDPGAUO3R38FWCU3FPB4H","choice-set","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":1,""October"":1,""January"":1,""August"":1,""February"":1,""December"":0,""November"":1,""April"":1,""May"":1,""March"":1,""September"":0,""June"":1}",,"42285",,,"2018-08-29 14:42:10","23369"
"A25FNSFSB048DL","cs_wg_full_v4_conf_real1","35L9RVQFCOJYOLRPIP4MEBDMX5IHUQ","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","27188","0","1","november",,"21000",,,"2018-08-29 14:42:11","23370"
"A3MXI2O3JZ0TZH","cs_wg_full_v4_conf_real1","3X87C8JFV6CVM1YOCAWG8ONZ3VTSQH","choice-set","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","35381","0","1","november",,"21000",,,"2018-08-29 14:42:14","23371"
