"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","FEBRUARY","1","3","25","0","2018-08-31 16:30:59","99923"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","JANUARY","0","5","13","0","2018-08-31 16:30:59","99924"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","APRIL","3","2","9","0","2018-08-31 16:30:59","99925"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","MARCH","2","9","9","0","2018-08-31 16:30:59","99926"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","JUNE","5","4","13","0","2018-08-31 16:30:59","99927"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","MAY","4","1","2","0","2018-08-31 16:30:59","99928"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","JULY","6","12","15","0","2018-08-31 16:30:59","99929"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","AUGUST","7","7","20","0","2018-08-31 16:30:59","99930"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","SEPTEMBER","8","10","11","0","2018-08-31 16:30:59","99931"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","OCTOBER","9","11","7","0","2018-08-31 16:30:59","99932"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","NOVEMBER","10","6","5","0","2018-08-31 16:30:59","99933"
"A3FDCMFZL1VEEB","cs_wg_full_v4_conf_real2","3VHP9MDGRNLIOVJJ18VMHKF3A4SFC2","choice-set","DECEMBER","11","8","24","0","2018-08-31 16:30:59","99934"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","JANUARY","0","7","13","0","2018-08-31 16:31:54","99935"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","MARCH","2","6","9","0","2018-08-31 16:31:54","99936"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","FEBRUARY","1","5","25","0","2018-08-31 16:31:54","99937"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","MAY","4","4","2","0","2018-08-31 16:31:54","99938"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","APRIL","3","12","9","0","2018-08-31 16:31:54","99939"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","JUNE","5","10","13","0","2018-08-31 16:31:54","99940"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","SEPTEMBER","8","11","11","0","2018-08-31 16:31:54","99941"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","JULY","6","2","15","0","2018-08-31 16:31:54","99942"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","AUGUST","7","8","20","0","2018-08-31 16:31:54","99943"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","OCTOBER","9","3","7","0","2018-08-31 16:31:54","99944"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","NOVEMBER","10","1","5","0","2018-08-31 16:31:54","99945"
"A13DD9WSQZ2D2M","cs_wg_full_v4_conf_real2","3ZPBJO59KP2C7JG3WUEX4B9YBJHHD2","choice-set","DECEMBER","11","9","24","0","2018-08-31 16:31:54","99946"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","JANUARY","0","11","13","0","2018-08-31 16:31:59","99947"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","MARCH","2","7","9","0","2018-08-31 16:31:59","99948"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","FEBRUARY","1","8","25","0","2018-08-31 16:31:59","99949"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","APRIL","3","12","9","0","2018-08-31 16:31:59","99950"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","JUNE","5","2","13","0","2018-08-31 16:31:59","99951"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","MAY","4","5","2","0","2018-08-31 16:31:59","99952"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","JULY","6","6","15","0","2018-08-31 16:31:59","99953"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","AUGUST","7","4","20","0","2018-08-31 16:31:59","99954"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","NOVEMBER","10","9","5","0","2018-08-31 16:32:00","99955"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","OCTOBER","9","10","7","0","2018-08-31 16:32:00","99956"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","SEPTEMBER","8","1","11","0","2018-08-31 16:32:00","99957"
"A3I72FPW52ABJ5","cs_wg_full_v4_conf_real2","3HYA4D452RK5QDRH4F6G576HYDF2FG","choice-set","DECEMBER","11","3","24","0","2018-08-31 16:32:00","99958"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","FEBRUARY","1","5","25","0","2018-08-31 16:32:14","99959"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","JANUARY","0","12","13","0","2018-08-31 16:32:14","99960"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","APRIL","3","3","9","0","2018-08-31 16:32:14","99961"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","MARCH","2","7","9","0","2018-08-31 16:32:14","99962"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","JUNE","5","4","13","0","2018-08-31 16:32:14","99963"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","MAY","4","9","2","0","2018-08-31 16:32:14","99964"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","JULY","6","2","15","0","2018-08-31 16:32:14","99965"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","AUGUST","7","10","20","0","2018-08-31 16:32:14","99966"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","SEPTEMBER","8","1","11","0","2018-08-31 16:32:14","99967"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","OCTOBER","9","8","7","0","2018-08-31 16:32:14","99968"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","NOVEMBER","10","11","5","0","2018-08-31 16:32:14","99969"
"A34M1L9UJN6SGG","cs_wg_full_v4_conf_real2","3NKQQ8O39Y6HC5MNWTLWNQYO5QIUDD","choice-set","DECEMBER","11","6","24","0","2018-08-31 16:32:14","99970"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","JANUARY","0","2","13","0","2018-08-31 16:32:39","99971"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","FEBRUARY","1","8","25","0","2018-08-31 16:32:39","99972"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","JUNE","5","5","13","0","2018-08-31 16:32:39","99973"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","MARCH","2","1","9","0","2018-08-31 16:32:39","99974"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","APRIL","3","9","9","0","2018-08-31 16:32:39","99975"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","MAY","4","12","2","0","2018-08-31 16:32:39","99976"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","SEPTEMBER","8","4","11","0","2018-08-31 16:32:39","99977"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","OCTOBER","9","10","7","0","2018-08-31 16:32:39","99978"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","AUGUST","7","3","20","0","2018-08-31 16:32:39","99979"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","DECEMBER","11","6","24","0","2018-08-31 16:32:39","99980"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","JULY","6","7","15","0","2018-08-31 16:32:39","99981"
"A2RPYHATMG69C5","cs_wg_full_v4_conf_real2","3WAKVUDHUWH1VWLD5GIANYOSJFFU7K","choice-set","NOVEMBER","10","11","5","0","2018-08-31 16:32:39","99982"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","MARCH","2","6","9","0","2018-08-31 16:32:48","99984"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","JANUARY","0","3","13","0","2018-08-31 16:32:48","99983"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","FEBRUARY","1","10","25","0","2018-08-31 16:32:48","99985"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","APRIL","3","2","9","0","2018-08-31 16:32:48","99986"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","MAY","4","12","2","0","2018-08-31 16:32:48","99987"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","JUNE","5","7","13","0","2018-08-31 16:32:48","99988"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","AUGUST","7","4","20","0","2018-08-31 16:32:48","99989"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","SEPTEMBER","8","5","11","0","2018-08-31 16:32:48","99990"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","JULY","6","1","15","0","2018-08-31 16:32:48","99991"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","OCTOBER","9","8","7","0","2018-08-31 16:32:48","99992"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","NOVEMBER","10","11","5","0","2018-08-31 16:32:48","99993"
"A1Y1X40P944YI","cs_wg_full_v4_conf_real2","3DHE4R9OCWCB4DNCFZCYNS6TZSF2GF","choice-set","DECEMBER","11","9","24","0","2018-08-31 16:32:48","99994"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","FEBRUARY","1","2","25","0","2018-08-31 16:33:05","99995"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","APRIL","3","9","9","0","2018-08-31 16:33:05","99996"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","MARCH","2","7","9","0","2018-08-31 16:33:05","99997"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","MAY","4","3","2","0","2018-08-31 16:33:05","99998"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","JUNE","5","10","13","0","2018-08-31 16:33:05","99999"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","JANUARY","0","11","13","0","2018-08-31 16:33:05","100000"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","JULY","6","1","15","0","2018-08-31 16:33:05","100001"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","AUGUST","7","6","20","0","2018-08-31 16:33:05","100002"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","SEPTEMBER","8","8","11","0","2018-08-31 16:33:05","100003"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","DECEMBER","11","4","24","0","2018-08-31 16:33:05","100004"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","OCTOBER","9","12","7","0","2018-08-31 16:33:05","100005"
"A3A6A30JN4KOTG","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBYA47","choice-set","NOVEMBER","10","5","5","0","2018-08-31 16:33:05","100006"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","JUNE","5","5","13","0","2018-08-31 16:33:44","100007"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","APRIL","3","7","9","0","2018-08-31 16:33:44","100008"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","MARCH","2","4","9","0","2018-08-31 16:33:44","100009"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","FEBRUARY","1","6","25","0","2018-08-31 16:33:44","100010"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","MAY","4","8","2","0","2018-08-31 16:33:44","100011"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","JANUARY","0","10","13","0","2018-08-31 16:33:44","100012"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","JULY","6","2","15","0","2018-08-31 16:33:44","100013"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","AUGUST","7","3","20","0","2018-08-31 16:33:44","100014"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","NOVEMBER","10","9","5","0","2018-08-31 16:33:44","100015"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","SEPTEMBER","8","1","11","0","2018-08-31 16:33:44","100016"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","DECEMBER","11","12","24","0","2018-08-31 16:33:44","100017"
"A1HCYD5N0FGJAX","cs_wg_full_v4_conf_real2","38JBBYETQOBNND68DI5YG4IF6QW4EW","choice-set","OCTOBER","9","11","7","0","2018-08-31 16:33:45","100018"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","MARCH","2","6","9","0","2018-08-31 16:34:13","100019"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","JANUARY","0","9","13","0","2018-08-31 16:34:13","100020"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","APRIL","3","12","9","0","2018-08-31 16:34:13","100021"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","FEBRUARY","1","7","25","0","2018-08-31 16:34:13","100022"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","JUNE","5","1","13","0","2018-08-31 16:34:13","100023"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","MAY","4","3","2","0","2018-08-31 16:34:13","100024"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","SEPTEMBER","8","5","11","0","2018-08-31 16:34:13","100025"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","OCTOBER","9","4","7","0","2018-08-31 16:34:13","100026"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","DECEMBER","11","2","24","0","2018-08-31 16:34:13","100027"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","AUGUST","7","11","20","0","2018-08-31 16:34:13","100028"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","NOVEMBER","10","8","5","0","2018-08-31 16:34:13","100029"
"A2VWG0L5JHOBWN","cs_wg_full_v4_conf_real2","34Q075JO1XE74OUVITNHXH9805C01T","choice-set","JULY","6","10","15","0","2018-08-31 16:34:13","100030"
"A2CJ89LQ5VWNO9","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBY4A1","choice-set","JANUARY","0","11","13","0","2018-08-31 16:34:20","100031"
"A2CJ89LQ5VWNO9","cs_wg_full_v4_conf_real2","3RKNTXVS3MZKX0PWXD3CKLSOLBY4A1","choice-set","MARCH","2","7","9","0","2018-08-31 16:34:20","100032"
