"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","0","0","JULY","12","DECEMBER","1","0","12427",,,,,"1","2018-10-24 20:05:14","302013"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","1","0","MARCH","5","NOVEMBER","2","1","4834",,,,,"0","2018-10-24 20:05:23","302014"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","2","0","JULY","12","MAY","4","0","4528",,,,,"0","2018-10-24 20:05:31","302015"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","3","0","AUGUST","7","DECEMBER","1","0","5017",,,,,"0","2018-10-24 20:05:39","302016"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","4","0","JUNE","3","JULY","12","1","3076",,,,,"0","2018-10-24 20:05:45","302017"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","5","0","OCTOBER","6","JUNE","3","1","2366",,,,,"0","2018-10-24 20:05:50","302018"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","6","0","APRIL","10","JULY","12","1","9515",,,,,"1","2018-10-24 20:06:03","302019"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","0","0","DECEMBER","10","FEBRUARY","11","1","16755",,,,,"1","2018-10-24 20:06:08","302020"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","7","0","APRIL","10","MAY","4","0","4957",,,,,"0","2018-10-24 20:06:10","302021"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","8","0","NOVEMBER","2","SEPTEMBER","9","1","3608",,,,,"0","2018-10-24 20:06:16","302022"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","1","0","MARCH","5","JUNE","1","0","10196",,,,,"0","2018-10-24 20:06:22","302023"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","9","0","MAY","4","FEBRUARY","8","1","6273",,,,,"1","2018-10-24 20:06:25","302024"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","2","0","APRIL","8","JANUARY","12","0","1669",,,,,"0","2018-10-24 20:06:28","302025"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","10","0","JANUARY","11","JUNE","3","0","4337",,,,,"1","2018-10-24 20:06:31","302026"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","3","0","MAY","4","SEPTEMBER","6","0","1692",,,,,"0","2018-10-24 20:06:34","302027"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","11","0","DECEMBER","1","JUNE","3","1","2733",,,,,"0","2018-10-24 20:06:36","302028"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","12","0","DECEMBER","1","JULY","12","1","4231",,,,,"0","2018-10-24 20:06:43","302029"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","4","0","JUNE","1","SEPTEMBER","6","0","10781",,,,,"0","2018-10-24 20:06:49","302030"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","5","0","APRIL","8","DECEMBER","10","0","4927",,,,,"0","2018-10-24 20:06:56","302031"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","13","0","APRIL","10","FEBRUARY","8","0","11620",,,,,"1","2018-10-24 20:06:57","302032"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","6","0","MAY","4","FEBRUARY","11","1","2039",,,,,"0","2018-10-24 20:07:01","302033"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","14","0","MAY","4","OCTOBER","6","1","2997",,,,,"0","2018-10-24 20:07:02","302034"
