"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","10","0","9411",,"0","october",,"6000",,,"2018-10-24 20:15:47","28707"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","28029",,"0","january",,"6000",,,"2018-10-24 20:16:28","28708"
"A30YR5TPOKQYXJ","cs_wg_mon_conf_time_pilot1","3I7DHKZYGN1XPAA4MY8E3E9TY085FS","5","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":0,""March"":0,""January"":0,""February"":0,""September"":1,""June"":0,""December"":0,""October"":1,""April"":0,""November"":1,""May"":0,""August"":0}",,"20973",,,"2018-10-24 20:17:05","28709"
"A2PC8T3FGQHGK5","cs_wg_mon_conf_time_pilot1","3907X2AHF06HHQGBII2LH1KLGW42PR","5","choice-set","2","[]","2","-1","-1","-1",,"0","{""February"":0,""September"":0,""June"":1,""December"":0,""October"":0,""January"":1,""March"":0,""August"":0,""November"":0,""July"":1,""May"":0,""April"":0}",,"31194",,,"2018-10-24 20:17:55","28710"
"A2PTZ50APT1KT3","cs_wg_mon_conf_time_pilot1","3X65QVEQI0O4ONTFNJYKCXKNNDGCLC","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","10934",,"0","november",,"6000",,,"2018-10-24 20:18:54","28711"
"AYGFIU5LDCXW4","cs_wg_mon_conf_time_pilot1","3X0H8UUIT1P06YUAOJVM0D5L7N5SWE","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","26427",,"0","September",,"6000",,,"2018-10-24 20:19:38","28712"
"AYGFIU5LDCXW4","cs_wg_mon_conf_time_pilot1","3X0H8UUIT1P06YUAOJVM0D5L7N5SWE","5","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":0,""May"":0,""February"":0,""November"":0,""August"":0,""June"":0,""April"":0,""October"":1,""March"":0,""September"":1,""January"":0,""December"":0}",,"47851",,,"2018-10-24 20:21:27","28713"
"A2PTZ50APT1KT3","cs_wg_mon_conf_time_pilot1","3X65QVEQI0O4ONTFNJYKCXKNNDGCLC","5","choice-set","2","[]","2","-1","-1","-1",,"0","{""October"":0,""February"":0,""December"":1,""July"":0,""November"":1,""April"":0,""June"":0,""March"":0,""January"":0,""September"":0,""August"":0,""May"":0}",,"100742",,,"2018-10-24 20:21:57","28714"
"A1CYSGVB90E67S","cs_wg_mon_conf_time_pilot1","3COPXFW7XBDCY6K17O8PHX6FXWPKPU","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","20570",,"0","february",,"6000",,,"2018-10-24 20:23:47","28715"
"A1CYSGVB90E67S","cs_wg_mon_conf_time_pilot1","3COPXFW7XBDCY6K17O8PHX6FXWPKPU","5","choice-set","2","[]","2","-1","-1","-1",,"0","{""July"":0,""November"":1,""May"":0,""January"":0,""August"":0,""September"":0,""October"":0,""February"":1,""June"":0,""March"":0,""December"":0,""April"":0}",,"7750",,,"2018-10-24 20:24:52","28716"
