"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","APRIL","3","8","18","0","2018-11-02 20:13:56","132757"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","JUNE","5","4","14","0","2018-11-02 20:13:56","132758"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","0","FEBRUARY","1","3","2","0","2018-11-02 20:13:56","132759"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","0","MARCH","2","2","18","0","2018-11-02 20:13:56","132760"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","AUGUST","7","12","7","0","2018-11-02 20:13:56","132761"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","JULY","6","10","12","0","2018-11-02 20:13:56","132762"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","0","MAY","4","3","25","0","2018-11-02 20:13:56","132763"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","JANUARY","0","14","14","0","2018-11-02 20:13:56","132764"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","0","NOVEMBER","10","1","22","0","2018-11-02 20:13:56","132765"
"A2VZIJ7AZ537QP","cs_wg_mon_deconf_v1_pilot2","3H0W84IWBK3UOJ86OU1BOXTQGDHRE5","1","OCTOBER","9","6","20","0","2018-11-02 20:13:56","132766"
