"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","30273","0","1","January",,"21000",,,"2019-01-07 14:50:55","32863"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","late","choice-set","2","[]","2","-1","-1","-1",,"0","{""April"":""0"",""August"":""1"",""December"":""0"",""September"":""1"",""June"":""1"",""January"":""0"",""October"":""1"",""May"":""1"",""March"":""1"",""February"":""1"",""July"":""0"",""November"":""1""}","{}","12145",,,"2019-01-07 14:52:08","32864"
"AIHVLBHJROONN","cs_wg_mon_freq_v1_real1","3EF8EXOTT1WE6UVH41XNFMO5SVBJ15","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","38514","0","1","March",,"21000",,,"2019-01-07 14:52:29","32865"
"A3P79MY5ZYQA41","cs_wg_mon_freq_v1_real1","3TPZPLC3M0D628CUMIGQ0BPEZEV3PH","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","51482","0","1","september","jul
sep","21000",,,"2019-01-07 14:53:04","32866"
"AKLYZSCPBMX0F","cs_wg_mon_freq_v1_real1","3Z4GS9HPNVBZXL9HS8PZD6A94MC77K","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","15","0","21174","0","1","may",,"21000",,,"2019-01-07 14:53:36","32867"
"AIHVLBHJROONN","cs_wg_mon_freq_v1_real1","3EF8EXOTT1WE6UVH41XNFMO5SVBJ15","late","choice-set","2","[]","2","-1","-1","-1",,"0","{""May"":""1"",""January"":""0"",""August"":""0"",""June"":""0"",""July"":""0"",""April"":""0"",""September"":""1"",""February"":""0"",""March"":""0"",""October"":""1"",""December"":""1"",""November"":""1""}","{}","19219",,,"2019-01-07 14:53:41","32868"
"A1XUE712KVMVXM","cs_wg_mon_freq_v1_real1","3B3WTRP3DB3WP3041T6OVBK7OWD29A","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","29798","0","1","may","may","21000",,,"2019-01-07 14:53:56","32869"
"A16AHTHTNYKJNC","cs_wg_mon_freq_v1_real1","3N4BPTXIO8TPQBSXOA7JR3TFIH8UKE","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","40182","0","1","october","december
november
mah
august
october
","21000",,,"2019-01-07 14:54:17","32870"
"A2M59R65OZRNNX","cs_wg_mon_freq_v1_real1","33LK57MYLT640TZFZ6FTZHZ41T0ZSP","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","15","0","23498","15","0","ready","ready","21000",,,"2019-01-07 14:54:22","32871"
"A5R2QJKK4Z23V","cs_wg_mon_freq_v1_real1","30LB5CDZNCB4ZKF3Q4W9PBTL61HZ02","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","34460","0","1",,,"21000",,,"2019-01-07 14:54:23","32872"
