"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","FEBRUARY","1","2","2","0","2019-01-07 14:49:56","149303"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","4","JANUARY","0","8","14","0","2019-01-07 14:49:56","149304"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","2","JUNE","5","8","14","0","2019-01-07 14:49:56","149305"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","APRIL","3","6","18","0","2019-01-07 14:49:56","149306"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","MARCH","2","4","18","0","2019-01-07 14:49:56","149307"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","MAY","4","14","25","0","2019-01-07 14:49:56","149308"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","OCTOBER","9","10","20","0","2019-01-07 14:49:57","149309"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","0","SEPTEMBER","8","12","16","0","2019-01-07 14:49:57","149310"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","3","DECEMBER","11","8","3","0","2019-01-07 14:49:57","149311"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","5","NOVEMBER","10","8","22","0","2019-01-07 14:49:57","149312"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","1","AUGUST","7","8","7","0","2019-01-07 14:49:57","149313"
"A111HFQSOTLI80","cs_wg_mon_freq_v1_real1","333U7HK6I9G8YPBTKUHIGOPEHSEDJP","6","JULY","6","8","12","0","2019-01-07 14:49:57","149314"
"AIHVLBHJROONN","cs_wg_mon_freq_v1_real1","3EF8EXOTT1WE6UVH41XNFMO5SVBJ15","1","APRIL","3","8","18","0","2019-01-07 14:51:22","149317"
