"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","30886","0","1",,"september ","11000",,,"2018-10-19 16:53:58","27657"
"A14Z1JSAR9JEON","cs_wg_mon_notr_pilot1","3RYC5T2D73UYLAXWX8HMI9STRLRPRT","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","35755","0","1",,,"6000",,,"2018-10-19 16:54:15","27658"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","40459","0","1","may",,"41000",,,"2018-10-19 16:54:24","27659"
"A1835XBNR2UB4X","cs_wg_mon_notr_pilot1","34PGFRQONOC77VBK1PM88CEYA10JWQ","30","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","46199","0","1","november","auguest","31000",,,"2018-10-19 16:54:52","27660"
"AUXZ0FN0F18ZJ","cs_wg_mon_notr_pilot1","3EFE17QCRC6I98ZLTK9MZAVYRW0HS4","5","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","30040","0","1",,,"6000",,,"2018-10-19 16:55:19","27661"
"A39GH5GG2B7KA1","cs_wg_mon_notr_pilot1","3QJOXOW4XJS3R3VEJM5U2YZF7RQMEH","10","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","121325","0","1",,,"11000",,,"2018-10-19 16:55:32","27662"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","choice-set","2",NULL,"2","-1","-1","-1",,"0","{""September"":1,""March"":1,""April"":0,""November"":0,""January"":0,""December"":0,""June"":0,""August"":0,""October"":0,""May"":0,""February"":0,""July"":0}",,"42196",,,"2018-10-19 16:55:51","27663"
"A1835XBNR2UB4X","cs_wg_mon_notr_pilot1","34PGFRQONOC77VBK1PM88CEYA10JWQ","30","choice-set","2",NULL,"2","-1","-1","-1",,"0","{""August"":1,""November"":1,""May"":0,""February"":0,""March"":0,""July"":0,""January"":0,""April"":0,""June"":0,""October"":1,""December"":0,""September"":1}",,"16521",,,"2018-10-19 16:56:26","27664"
"A14Z1JSAR9JEON","cs_wg_mon_notr_pilot1","3RYC5T2D73UYLAXWX8HMI9STRLRPRT","5","choice-set","2",NULL,"2","-1","-1","-1",,"0","{""June"":0,""April"":0,""May"":1,""February"":0,""November"":1,""October"":0,""January"":0,""September"":0,""March"":0,""December"":0,""July"":0,""August"":0}",,"35686",,,"2018-10-19 16:56:31","27665"
"AUXZ0FN0F18ZJ","cs_wg_mon_notr_pilot1","3EFE17QCRC6I98ZLTK9MZAVYRW0HS4","5","choice-set","2",NULL,"2","-1","-1","-1",,"0","{""July"":0,""June"":0,""October"":0,""March"":0,""September"":1,""August"":0,""November"":1,""April"":0,""May"":0,""December"":0,""January"":0,""February"":0}",,"14720",,,"2018-10-19 16:56:39","27666"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","choice-set","2",NULL,"2","-1","-1","-1",,"0","{""January"":0,""February"":0,""August"":0,""March"":1,""June"":0,""October"":1,""May"":1,""April"":0,""November"":1,""September"":0,""December"":0,""July"":0}",,"61738",,,"2018-10-19 16:56:50","27667"
