"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","JUNE","5","1","14","0","2018-10-19 16:52:56","120689"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","JANUARY","0","6","14","0","2018-10-19 16:52:56","120690"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","APRIL","3","8","18","0","2018-10-19 16:52:56","120691"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","FEBRUARY","1","7","2","0","2018-10-19 16:52:56","120692"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","MARCH","2","10","18","0","2018-10-19 16:52:56","120693"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","MAY","4","5","25","0","2018-10-19 16:52:56","120694"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","AUGUST","7","4","7","0","2018-10-19 16:52:56","120695"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","JULY","6","12","12","0","2018-10-19 16:52:56","120696"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","NOVEMBER","10","11","22","0","2018-10-19 16:52:56","120697"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","SEPTEMBER","8","3","16","0","2018-10-19 16:52:56","120698"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","OCTOBER","9","2","20","0","2018-10-19 16:52:56","120699"
"A2A0XET6G9BJO5","cs_wg_mon_notr_pilot1","3H7XDTSHKCSXGTLJTJ15BZMII9JWGZ","40","DECEMBER","11","9","3","0","2018-10-19 16:52:56","120700"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","MARCH","2","4","18","0","2018-10-19 16:53:09","120701"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","FEBRUARY","1","1","2","0","2018-10-19 16:53:09","120702"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","APRIL","3","7","18","0","2018-10-19 16:53:09","120703"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","JANUARY","0","11","14","0","2018-10-19 16:53:09","120704"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","MAY","4","3","25","0","2018-10-19 16:53:09","120705"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","JUNE","5","12","14","0","2018-10-19 16:53:09","120706"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","AUGUST","7","2","7","0","2018-10-19 16:53:09","120707"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","JULY","6","9","12","0","2018-10-19 16:53:09","120708"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","NOVEMBER","10","6","22","0","2018-10-19 16:53:09","120709"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","SEPTEMBER","8","10","16","0","2018-10-19 16:53:09","120710"
"A2AJLZYC58RXS6","cs_wg_mon_notr_pilot1","3MHW492WW0EKTEH0ECU422N17MTMVN","10","OCTOBER","9","5","20","0","2018-10-19 16:53:09","120711"
