"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","0","232680","Female","0",,"No",,"8+7","definetely","anthroporphormism","zebra","pizza",NULL,"2018-10-24 14:00:06","8389"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","0","303978","Female","0",,"No","i went through the months in order","15","eleven","fibr",,,NULL,"2018-10-24 14:00:51","8390"
"A3Q0YQWQLOW7L0","cs_wg_mon_notr_v2_real1","3K3R2QNK8B459F96KDGU1UFYUGKU9F","0","311020","Male","0",,"Yes","No particular strategy","8+7","free","hippopotamus","zebra","crazy",NULL,"2018-10-24 14:01:38","8391"
"A1B1MSMA5GWPUA","cs_wg_mon_notr_v2_real1","3PPTZCWALQLSNDK272QO4HK26Y3ZQV","0","328484","Female","0",,"No","No strategy, I think when the first two months turned out to be duds my brain went to another month and it happened to be a good one.","8+7","elegance","depreciation","zebra","lay",NULL,"2018-10-24 14:01:39","8392"
"A356EVHB3TU90R","cs_wg_mon_notr_v2_real1","317HQ483I7TLPQI0R6AL0SM75AEINU","0","317768","Female","0",,"No","i looked at a calendar that was sitting by my computer","8+7
","teepee","teepee","zebra","adz",NULL,"2018-10-24 14:01:47","8393"
"A35NZAXRVLAC0G","cs_wg_mon_notr_v2_real1","32AT8R96GLANEU55TJGLIPKOM49USQ","0","356468","Male","0",,"No","Trying to think as late of a letter as possible","16-2","everything","conundruym","xylaphone","lazy",NULL,"2018-10-24 14:02:11","8394"
"A2JBB3E2Y3LXJH","cs_wg_mon_notr_v2_real1","3KJYX6QCM9CUS6BFBFHCMAVK4S5VJ0","0","325545","Female","0",,"No","I really enjoyed this study and would love to see more! I tried to quickly think of something that came to mind and just went with the better of the two options.","8+7","everywhere","elephant","zebra","x",NULL,"2018-10-24 14:02:16","8395"
"A3YVH0VDYVLXH","cs_wg_mon_notr_v2_real1","3RJSC4XJ10V6S6VEJGPT07MPSVY05S","0","319175","Male","0",,"No","SPELLING EACH MONTH IN MY HEAD WHEN I SAW HOW MUCH TIME I HAD LEFT","8+7","EMERGENCY","SHRO","ZEBRA","SPAY",NULL,"2018-10-24 14:02:39","8396"
"A1G5UBN2E7G5KP","cs_wg_mon_notr_v2_real1","3B837J3LDOXVY2DOPPLGDEX4F55SRK","0","364779","Female","0",,"No","I just went through the months in my mind while trying to think of their spelling.
That was fun, a good way to wake up my brain today
thanks!","8 + 7","event","supercalifragilisti","zebra","okay",NULL,"2018-10-24 14:02:51","8397"
"A3VPOIH7IKAGAF","cs_wg_mon_notr_v2_real1","3GDTJDAPVUCMI2LN6JJUAO3TXO08MD","0","286019","Female","0",,"No",,"7*2","three","magnaimous","xylophone","solilko",NULL,"2018-10-24 14:02:52","8398"
