"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","FEBRUARY","1","8","2","0","2018-10-24 13:58:52","123879"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","JANUARY","0","1","14","0","2018-10-24 13:58:52","123880"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","MARCH","2","12","18","0","2018-10-24 13:58:52","123881"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","APRIL","3","2","18","0","2018-10-24 13:58:52","123882"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","JUNE","5","10","14","0","2018-10-24 13:58:52","123883"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","MAY","4","5","25","0","2018-10-24 13:58:52","123884"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","AUGUST","7","9","7","0","2018-10-24 13:58:52","123885"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","JULY","6","4","12","0","2018-10-24 13:58:52","123886"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","SEPTEMBER","8","7","16","0","2018-10-24 13:58:52","123887"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","OCTOBER","9","11","20","0","2018-10-24 13:58:52","123888"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","DECEMBER","11","3","3","0","2018-10-24 13:58:52","123889"
"A1WKF2VH7TV0H2","cs_wg_mon_notr_v2_real1","3TVSS0C0E111LY7PDJ0CAI1793YWTG","10","NOVEMBER","10","6","22","0","2018-10-24 13:58:52","123890"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","APRIL","3","5","18","0","2018-10-24 13:58:57","123891"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","FEBRUARY","1","10","2","0","2018-10-24 13:58:57","123892"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","MAY","4","3","25","0","2018-10-24 13:58:57","123893"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","JANUARY","0","4","14","0","2018-10-24 13:58:57","123894"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","JUNE","5","12","14","0","2018-10-24 13:58:57","123895"
"A2OATZCX1YXE77","cs_wg_mon_notr_v2_real1","3YJ6NA41JBHHNMEJP38DGI62I44PJ9","30","MARCH","2","9","18","0","2018-10-24 13:58:57","123896"
