"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","0","0","DECEMBER","12",,"0","12","5692",,,,,"1","2018-11-06 22:19:20","376019"
"A1YUK67SL5TWT0","cs_wg_mon_single_v1_pilot1","3JZQSN0I3QBV57ZO3UR57B0JQUHGFQ","0","0","JUNE","2",,"0","2","7513",,,,,"1","2018-11-06 22:19:30","376020"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","1","0","FEBRUARY","5",,"0","5","8210",,,,,"1","2018-11-06 22:19:30","376021"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","2","0","DECEMBER","5",,"0","5","4655",,,,,"1","2018-11-06 22:19:37","376022"
"A1YUK67SL5TWT0","cs_wg_mon_single_v1_pilot1","3JZQSN0I3QBV57ZO3UR57B0JQUHGFQ","1","0","MAY","8",,"0","8","5651",,,,,"1","2018-11-06 22:19:41","376023"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","3","0","AUGUST","6",,"0","6","3612",,,,,"1","2018-11-06 22:19:43","376024"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","4","0","DECEMBER","10",,"0","10","4287",,,,,"1","2018-11-06 22:19:49","376025"
"A1YUK67SL5TWT0","cs_wg_mon_single_v1_pilot1","3JZQSN0I3QBV57ZO3UR57B0JQUHGFQ","2","0","OCTOBER","12",,"0","12","10020",,,,,"1","2018-11-06 22:19:54","376026"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","5","0","MAY","12",,"0","12","4526",,,,,"1","2018-11-06 22:19:56","376027"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","6","0","JUNE","4",,"0","4","5105",,,,,"1","2018-11-06 22:20:05","376028"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","7","0","MAY","9",,"0","9","4630",,,,,"1","2018-11-06 22:20:11","376029"
"A1YUK67SL5TWT0","cs_wg_mon_single_v1_pilot1","3JZQSN0I3QBV57ZO3UR57B0JQUHGFQ","3","0","NOVEMBER","11",,"0","11","19175",,,,,"1","2018-11-06 22:20:17","376030"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","8","0","JULY","11",,"0","11","4030",,,,,"1","2018-11-06 22:20:17","376031"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","9","0","FEBRUARY","3",,"0","3","3078",,,,,"1","2018-11-06 22:20:22","376032"
"A1YUK67SL5TWT0","cs_wg_mon_single_v1_pilot1","3JZQSN0I3QBV57ZO3UR57B0JQUHGFQ","4","0","JULY","6",,"0","6","5159",,,,,"1","2018-11-06 22:20:24","376033"
"A1COUACGJXNO2F","cs_wg_mon_single_v1_pilot1","37TD41K0AHARS0O57SVLOJYJHSISCA","10","0","OCTOBER","10",,"0","10","5150",,,,,"1","2018-11-06 22:20:31","376034"
