"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A1KXESMB9K7504","cs_wg_mon_single_v1_pilot5","32N49TQG3GJJRD8BH94ZTBS2I6AAV6","63470","924917","Male","605","Yes","No","Figure out by guessing and remembering as best as i could.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:08:52","9715"
"ASHG4UDKXYBPK","cs_wg_mon_single_v1_pilot5","3CP1TO84PT2DOGYSY3T7JVF5TUF52M","112565","1165856","Female","772","Yes","No","I counted the ones in part one that had the higher paying amount","0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:10:27","9716"
"A2Y6O5USSIVT08","cs_wg_mon_single_v1_pilot5","3LEIZ60CDJ0MVE3GQ0F2IMUE0ZX9ZP","73264","1229726","Male","687","No","No","I just wrote down every single month and then quickly went through the list and found the month that would give me the most points.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:12:22","9717"
"A3DJT8WESP5RC7","cs_wg_mon_single_v1_pilot5","3YOH7BII098P3QHXT0HONPVYNI3KVU","413437","1368438","Female","723","No","No","It was the first word to come to mind and I knew that V came late in the alphabet and it was the only letter that fit.","0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:15:02","9718"
"A1RA8QOAPXYVCC","cs_wg_mon_single_v1_pilot5","35DR22AR5DLBBHEL89Q7UOBHS7P3X5","102935","1561798","Male","701","No","No","I had to think for a few seconds but then I started to go through the months in order to find a third letter that was very early in the alphabet so I would not have to count the letters.  Luckily, February fit my strategy.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:19:59","9719"
"A3MGDESST43KVZ","cs_wg_mon_single_v1_pilot5","3LEP4MGT3G12G6DHW241I0610HQDB4","203940","1763275","Female","722","No","No","Since it's later in the year, I thought of those months.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:21:33","9720"
"AOZNGVLQA42SZ","cs_wg_mon_single_v1_pilot5","3ZSANO2JCF8YVC8FYULMWPJMGISFSI","83162","1839739","Female","725","Yes","No",,"1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:21:51","9721"
"A2VSFEYOAK523Y","cs_wg_mon_single_v1_pilot5","30MVJZJNHMEWVZYC8ECGUS6OH1QJ9K","75263","1152347","Male","641","No","No","Running through months until I came to one that was suitable!","0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:27:27","9722"
"A2L7526AZHIS94","cs_wg_mon_single_v1_pilot5","3E7TUJ2EGCNJSDYKYIQ5RUBBCHWD93","153335","1544185","Male","769","No","No","First randomly checked months. I found May and I stopped there since there is no z in any month names.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:49:03","9723"
"A21UA4B0AW3F6B","cs_wg_mon_single_v1_pilot5","3E7TUJ2EGCNJSDYKYIQ5RUBBCHT9DW","194696","1844831","Male","767","No","No","I panicked haha.  I ran through several and picked June cause N seemed like a good choice. . Ugh","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:51:20","9724"
"AD5PG2OAEDLK5","cs_wg_mon_single_v1_pilot5","345LHZDEDXTJUDKQ34FKAHCDYP83UD","262791","2229484","Female","256","Yes","No","None","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 22:59:35","9725"
"A11L2T52KFY5FR","cs_wg_mon_single_v1_pilot5","3E13VNJ1NNWIBJBBMJCN3L956AHI12","126604","3012636","Female","562","No","No",,"0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 23:17:02","9726"
"A3SY4DJ6ECN8MF","cs_wg_mon_single_v1_pilot5","3HL8HNGX452GQXCGPOLVFUEWOU3F97","69687","1212200","Male","746","No","No","I thought of January since it's first, and I thought that must be it since n is a ways through, but then November sprang into my mind (it stuck out as the least valuable and having a ""V"", I thought one month might have a ""V"" as a third letter) with a few seconds to spare.

My HIT almost timed out because I had forgotten I had accepted it and hadn't started the survey for a bit. I had to return it due to the time limit, but then wasn't able to grab it again.
My mturk Worker ID is A3SY4DJ6ECN8MF","1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 23:22:20","9727"
"A1KX1CMLUCQNFX","cs_wg_mon_single_v1_pilot5","3Z7VU45IPYI4690LMN093GCV2OY1ZZ","146467","1398397","Male","239","No","No","Very fun, no strategy, was confusing though since the question became greyed out so I did not act on the question immediately.","0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 23:27:58","9728"
"AL2J5M8WQIKMI","cs_wg_mon_single_v1_pilot5","3X4JMASXCMA8HMCNKQG63TMI6T9B03","137184","1412687","Male","744","No","Yes",,"1",NULL,NULL,NULL,NULL,NULL,"2018-11-12 23:42:12","9729"
"A1S8TAMM3E1YRJ","cs_wg_mon_single_v1_pilot5","3A4TN5196KJ22RAPWYJMK5RHAVECHG","113877","1539370","Female","745","No","No","My strategy was to start repeating the months and think of the 3rd letter quickly.  For some reason, I started at September instead of January. When I got to November, I thought I probably couldn't do much better than V. ","0",NULL,NULL,NULL,NULL,NULL,"2018-11-12 23:50:44","9730"
