"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","0","0","JULY","8",,"0","8","5263",,,,,"1","2018-11-09 16:51:15","383473"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","1","0","NOVEMBER","4",,"0","11","2777",,,,,"0","2018-11-09 16:51:21","383474"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","2","0","OCTOBER","12",,"0","12","4451",,,,,"1","2018-11-09 16:51:28","383475"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","0","0","OCTOBER","10",,"0","10","13219",,,,,"1","2018-11-09 16:51:38","383476"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","3","0","AUGUST","4",,"0","4","4291",,,,,"1","2018-11-09 16:51:34","383477"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","4","0","MAY","6",,"0","6","5847",,,,,"1","2018-11-09 16:51:42","383478"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","1","0","DECEMBER","6",,"0","6","7122",,,,,"1","2018-11-09 16:51:48","383479"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","5","0","FEBRUARY","10",,"0","10","3976",,,,,"0","2018-11-09 16:51:51","383480"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","2","0","JUNE","8",,"0","8","5151",,,,,"1","2018-11-09 16:51:57","383481"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","6","0","OCTOBER","12",,"0","8","3132",,,,,"0","2018-11-09 16:51:58","383482"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","7","0","JULY","8",,"0","8","2436",,,,,"0","2018-11-09 16:52:02","383483"
"A2TGT3EVYQOJ8P","cs_wg_mon_single_v1_real1","3NC5L260MONJXKGMRD4DCK9LIA7FO0","0","0","AUGUST","12",,"0","12","6121",,,,,"1","2018-11-09 16:52:04","383484"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","0","0","DECEMBER","4",,"0","4","6735",,,,,"1","2018-11-09 16:52:05","383485"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","3","0","MARCH","12",,"0","7","5726",,,,,"0","2018-11-09 16:52:06","383486"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","8","0","APRIL","2",,"0","2","5402",,,,,"1","2018-11-09 16:52:10","383487"
"A2TGT3EVYQOJ8P","cs_wg_mon_single_v1_real1","3NC5L260MONJXKGMRD4DCK9LIA7FO0","1","0","MARCH","4",,"0","4","4364",,,,,"1","2018-11-09 16:52:11","383488"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","1","0","JANUARY","8",,"0","8","5337",,,,,"1","2018-11-09 16:52:13","383489"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","9","0","DECEMBER","6",,"0","6","4000",,,,,"1","2018-11-09 16:52:17","383490"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","4","0","MAY","4",,"0","4","10539",,,,,"1","2018-11-09 16:52:19","383491"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","10","0","DECEMBER","6",,"0","6","2256",,,,,"0","2018-11-09 16:52:22","383492"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","5","0","JULY","10",,"0","10","3739",,,,,"1","2018-11-09 16:52:25","383493"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","2","0","JANUARY","8",,"0","8","5600",,,,,"1","2018-11-09 16:52:27","383494"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","11","0","MARCH","10",,"0","10","5180",,,,,"1","2018-11-09 16:52:29","383495"
"A2TGT3EVYQOJ8P","cs_wg_mon_single_v1_real1","3NC5L260MONJXKGMRD4DCK9LIA7FO0","2","0","JUNE","8",,"0","8","13809",,,,,"1","2018-11-09 16:52:31","383496"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","6","0","SEPTEMBER","8",,"0","10","5174",,,,,"0","2018-11-09 16:52:34","383497"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","12","0","JANUARY","12",,"0","12","3658",,,,,"1","2018-11-09 16:52:35","383498"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","3","0","SEPTEMBER","6",,"0","6","4085",,,,,"1","2018-11-09 16:52:36","383499"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","13","0","JANUARY","12",,"0","12","2429",,,,,"0","2018-11-09 16:52:39","383500"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","7","0","APRIL","4",,"0","4","5374",,,,,"1","2018-11-09 16:52:42","383501"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","14","0","SEPTEMBER","2",,"0","2","4023",,,,,"1","2018-11-09 16:52:46","383502"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","4","0","NOVEMBER","4",,"0","4","5378",,,,,"1","2018-11-09 16:52:46","383503"
"AYW016I0MGCB7","cs_wg_mon_single_v1_real1","3DZQRBDBSLG3F0SMEZKKVGUPC963SD","0","0","JANUARY","6",,"0","6","6553",,,,,"1","2018-11-09 16:52:48","383504"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","8","0","AUGUST","12",,"0","12","4111",,,,,"1","2018-11-09 16:52:48","383505"
"A2TGT3EVYQOJ8P","cs_wg_mon_single_v1_real1","3NC5L260MONJXKGMRD4DCK9LIA7FO0","3","0","SEPTEMBER","6",,"0","6","15029",,,,,"1","2018-11-09 16:52:49","383506"
"AV11S93KI37X3","cs_wg_mon_single_v1_real1","3IFS6Q0HJIKI53A5Z2R7ZMWEVR2ISR","0","0","DECEMBER","12",,"0","12","24176",,,,,"1","2018-11-09 16:52:52","383507"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","15","0","DECEMBER","6",,"0","10","4668",,,,,"0","2018-11-09 16:52:52","383508"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","9","0","JANUARY","6",,"0","6","3425",,,,,"1","2018-11-09 16:52:54","383509"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","5","0","APRIL","10",,"0","10","4884",,,,,"1","2018-11-09 16:52:55","383510"
"A2TGT3EVYQOJ8P","cs_wg_mon_single_v1_real1","3NC5L260MONJXKGMRD4DCK9LIA7FO0","4","0","MARCH","4",,"0","4","6274",,,,,"1","2018-11-09 16:52:57","383511"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","16","0","FEBRUARY","10",,"0","10","3040",,,,,"0","2018-11-09 16:52:57","383512"
"AYW016I0MGCB7","cs_wg_mon_single_v1_real1","3DZQRBDBSLG3F0SMEZKKVGUPC963SD","1","0","JUNE","2",,"0","2","5200",,,,,"1","2018-11-09 16:52:58","383513"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","10","0","OCTOBER","10",,"0","10","3064",,,,,"0","2018-11-09 16:52:59","383514"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","6","0","MARCH","2",,"0","2","3615",,,,,"1","2018-11-09 16:53:03","383515"
"AV11S93KI37X3","cs_wg_mon_single_v1_real1","3IFS6Q0HJIKI53A5Z2R7ZMWEVR2ISR","1","0","MAY","6",,"0","6","8987",,,,,"1","2018-11-09 16:53:04","383516"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","11","0","AUGUST","12",,"0","12","4339",,,,,"0","2018-11-09 16:53:05","383517"
"AYW016I0MGCB7","cs_wg_mon_single_v1_real1","3DZQRBDBSLG3F0SMEZKKVGUPC963SD","2","0","OCTOBER","10",,"0","10","5967",,,,,"1","2018-11-09 16:53:06","383518"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","17","0","NOVEMBER","4",,"0","4","8266",,,,,"1","2018-11-09 16:53:08","383519"
