"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"AHJ6FRXMQUDEH","cs_wg_mon_single_v1_real1","3RKNTXVS3MZKX0PWXD3CKLSP43VA49","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","40753","0","1","may",,"21000",,,"2018-11-09 17:04:49","30667"
"A2LI8283SXAJS9","cs_wg_mon_single_v1_real1","3NPI0JQDAO6B1PAO1XMHIOTCJOBPTZ","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","54621","0","1","May",,"21000",,,"2018-11-09 17:05:02","30668"
"AYW016I0MGCB7","cs_wg_mon_single_v1_real1","3DZQRBDBSLG3F0SMEZKKVGUPC963SD","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","28554","0","1","November","November","21000",,,"2018-11-09 17:05:34","30669"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","84228","0","1","May",,"21000",,,"2018-11-09 17:05:36","30670"
"A2L3TU04PQ346A","cs_wg_mon_single_v1_real1","39N5ACM9HEOSHA1A3RH0ROS0PH99PK","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","43080","26","0","november","jan feb mar apr may ","21000",,,"2018-11-09 17:06:22","30671"
"AHJ6FRXMQUDEH","cs_wg_mon_single_v1_real1","3RKNTXVS3MZKX0PWXD3CKLSP43VA49","late","choice-set","2","[]","2","-1","-1","-1",,"0","{""May"":""0"",""September"":""1"",""December"":""1"",""November"":""1"",""April"":""0"",""October"":""1"",""January"":""1"",""June"":""1"",""March"":""1"",""July"":""1"",""August"":""1"",""February"":""1""}","{""May"":""6"",""September"":-1,""December"":-1,""November"":-1,""April"":""0"",""October"":-1,""January"":-1,""June"":-1,""March"":-1,""July"":-1,""August"":-1,""February"":-1}","29452",,,"2018-11-09 17:06:28","30672"
"A1QRCJFX76DELI","cs_wg_mon_single_v1_real1","3AMYWKA6YBNNERNBQK19IEW8PB4O66","late","choice-set","2","[]","2","-1","-1","-1",,"0","{""September"":""0"",""April"":""1"",""May"":""0"",""February"":""1"",""November"":""0"",""March"":""1"",""August"":""1"",""October"":""0"",""July"":""1"",""January"":""0"",""December"":""1"",""June"":""1""}","{""September"":""1"",""April"":-1,""May"":""6"",""February"":-1,""November"":""0"",""March"":-1,""August"":-1,""October"":""2"",""July"":-1,""January"":""3"",""December"":-1,""June"":-1}","31145",,,"2018-11-09 17:07:21","30673"
"A1335PAW6E5SE2","cs_wg_mon_single_v1_real1","32VNZTT0A75CWHBDZOPYFBHZ47IR4X","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","18088","0","1","MAY","n
r
r
y","21000",,,"2018-11-09 17:07:22","30674"
"AYW016I0MGCB7","cs_wg_mon_single_v1_real1","3DZQRBDBSLG3F0SMEZKKVGUPC963SD","late","choice-set","2","[]","2","-1","-1","-1",,"0","{""June"":""1"",""December"":""1"",""November"":""0"",""May"":""1"",""October"":""0"",""February"":""1"",""July"":""0"",""August"":""1"",""March"":""0"",""April"":""1"",""January"":""1"",""September"":""0""}","{""June"":-1,""December"":-1,""November"":""3"",""May"":-1,""October"":""1"",""February"":-1,""July"":""1"",""August"":-1,""March"":""1"",""April"":-1,""January"":-1,""September"":""1""}","57180",,,"2018-11-09 17:08:04","30675"
"AV11S93KI37X3","cs_wg_mon_single_v1_real1","3IFS6Q0HJIKI53A5Z2R7ZMWEVR2ISR","late","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","26","1","51290","0","1",,,"21000",,,"2018-11-09 17:08:10","30676"
