"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A36K4ELT4YH00L","cs_wg_mon_single_v1_real3","3X0H8UUIT1P06YUAOJVM0D5MB7VSWE","74437","832103","Male","709","No","No","Try to think as quickly as possible. It unfortunately was not a good strategy could've spent some time thinking of a better choice. ","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:01:31","10047"
"A2C4R0TBPZGWTD","cs_wg_mon_single_v1_real3","30JNVC0OR9L6WSK81GKH4AGYEVYHQF","36299","841530","Male","780","No","No","guess","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:03:26","10048"
"AVUZTZUWR8STH","cs_wg_mon_single_v1_real3","3U5NZHP4LR3LWGJT135S45QO9ZBHPN","62303","1003365","Male","598","No","No","i had no strategy, i luckily thought of May quickly and realized that would give the highest return as Z is not in any of the months.","0",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:03:30","10049"
"A33DZ6JKP1ORAQ","cs_wg_mon_single_v1_real3","34S6N1K2ZVKV5V4V9BCLNOH44PAHLP","307167","1014207","Male","392","Yes","No",,"0",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:04:00","10050"
"A1KK0TJ0ZHCPMZ","cs_wg_mon_single_v1_real3","37Z929RLG998EHQGTEQBDTYN7DDTSP","35694","1070869","Male","746","No","No","My strategy for the third letter question was to say all the months outloud and try to think which one had the 3rd letter that was closest to z.","0",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:04:25","10051"
"A2OSG1U9X6AN4G","cs_wg_mon_single_v1_real3","3HQUKB7LNFFTJZL5IQXNVWOXN81HHI","87149","1071693","Female","780","No","No","I went through most of the months in my head, and thought November had the latest word. I should have done it more systematically because I missed may.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:04:27","10052"
"A3DJUWNZ92DOI7","cs_wg_mon_single_v1_real3","3L0KT67Y8EH4V3PA3KDALAQ2MFVSYD","72485","1006898","Male","636","No","No","I just thought of November, no strategy","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:04:38","10053"
"AR2XN75XH62CS","cs_wg_mon_single_v1_real3","32KTQ2V7RDGMW74XBBP8AKY5LHSM96","90551","1118936","Male","723","No","No","I immeadiately went to November knowing V is pretty late and then worked my way through a few months. Though May popped up next because it was short and easy to consider.","0",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:04:48","10054"
"ATBGHQ2VYNIVZ","cs_wg_mon_single_v1_real3","37KGEN7NJ3RD9XHHKGDXDESFVQLPP0","44087","1065406","Female","596","No","No","I didn't have a strategy. I wish I had thought of 'May' in 20 seconds.","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:05:12","10055"
"A1UBMR7KI0S8DS","cs_wg_mon_single_v1_real3","3G2UL9A02DFGTLVC9YK77SAD0RQ675","64456","962301","Female","770","No","No","Just going through month names in my head, it seemed pretty easy once I thought ""May"".","1",NULL,NULL,NULL,NULL,NULL,"2018-11-16 16:05:22","10056"
