"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","0","0","COMMUNITY","0","HELICOPTER","0","4813","Community","0","2017-10-10 14:44:15","119961"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","1","0","FOOTBALL","1","BASKET","0","3578","Football","1","2017-10-10 14:44:29","119962"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","2","0","COMMUNITY","2","BOOKSHELF","1","3512","Bookshelf","2","2017-10-10 14:44:43","119963"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","3","0","BASKET","1","COMMUNITY","0","2364","Basket","1","2017-10-10 14:44:53","119964"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","4","0","UMBRELLA","9","KEYBOARD","1","3070","Keyboard","9","2017-10-10 14:45:05","119965"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","5","0","FOOTBALL","8","TRAFFIC","1","4014","Traffic","8","2017-10-10 14:45:19","119966"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","6","0","MACHINE","10","COMMUNITY","0","2246","Machine","10","2017-10-10 14:45:31","119967"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","7","0","WEDDING","10","DOORWAY","0","3133","Wedding","10","2017-10-10 14:45:43","119968"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","8","0","TRAFFIC","1","BASKET","1","2189","Basket","1","2017-10-10 14:45:53","119969"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","9","0","DOORWAY","2","BOOKSHELF","1","2613","Bookshelf","2","2017-10-10 14:46:05","119970"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","10","0","STRUCTURE","9","BOOKSHELF","0","1603","Structure","9","2017-10-10 14:46:15","119971"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","11","0","DOORWAY","0","LADDER","1","2821","Ladder","0","2017-10-10 14:46:25","119972"
"A3US51RJ9AWSEE","cs_wg_v8_pilot1","3KMS4QQVK2R07TV7TLCK53S9F4UKFR","12","0","DOORWAY","9","STRUCTURE","1","1582","Structure","9","2017-10-10 14:46:34","119973"
