"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","SCREEP","0","4","3","2017-02-06 16:14:38","1294"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","VATED","3","15","2","2017-02-06 16:14:38","1295"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","DUNCHED","2","-7","6","2017-02-06 16:14:38","1296"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","POATS","4","-6","3","2017-02-06 16:14:38","1297"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","ZALEY","1","13","3","2017-02-06 16:14:38","1298"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","MICKERED","5","14","5","2017-02-06 16:14:38","1299"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","BLICKET","6","6","1","2017-02-06 16:14:38","1300"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","FIPPING","7","12","2","2017-02-06 16:14:38","1301"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","CLEEPERS","8","17","4","2017-02-06 16:14:39","1302"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","WOOKED","9","-10","3","2017-02-06 16:14:39","1303"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","ROAKING","10","10","4","2017-02-06 16:14:39","1304"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","CHEEDLE","11","-3","2","2017-02-06 16:14:39","1305"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","NARDLY","12","-5","5","2017-02-06 16:14:39","1306"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","THOCKY","14","-8","4","2017-02-06 16:14:39","1307"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","GLUNDLE","15","-4","2","2017-02-06 16:14:39","1308"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","CHAXED","13","3","1","2017-02-06 16:14:39","1309"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","PLIBBERED","17","9","4","2017-02-06 16:14:39","1310"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","FLEMMERING","16","-9","6","2017-02-06 16:14:39","1311"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","HOTCHACK","18","11","5","2017-02-06 16:14:39","1312"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","JADDEARED","19","16","4","2017-02-06 16:14:39","1313"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","MURRADS","20","7","7","2017-02-06 16:14:39","1314"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","POATS","4","11","5","2017-02-06 16:15:33","1315"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","SCREEP","0","9","4","2017-02-06 16:15:33","1316"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","VATED","3","-10","1","2017-02-06 16:15:33","1317"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","DUNCHED","2","-7","3","2017-02-06 16:15:33","1318"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","MICKERED","5","-4","2","2017-02-06 16:15:33","1319"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","ZALEY","1","5","1","2017-02-06 16:15:33","1320"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","FIPPING","7","17","2","2017-02-06 16:15:33","1321"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","BLICKET","6","12","2","2017-02-06 16:15:33","1322"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","WOOKED","9","7","5","2017-02-06 16:15:33","1323"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","ROAKING","10","8","2","2017-02-06 16:15:33","1324"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","CLEEPERS","8","6","7","2017-02-06 16:15:33","1325"
