"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","WEDDING","0","1","11","2017-09-27 14:01:41","25951"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","UMBRELLA","5","1","11","2017-09-27 14:01:41","25952"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","BOOKSHELF","4","1","5","2017-09-27 14:01:41","25953"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","STOMACH","1","1","5","2017-09-27 14:01:41","25954"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","LADDER","2","1","11","2017-09-27 14:01:41","25955"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","COMMUNITY","3","1","5","2017-09-27 14:01:41","25956"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","FOOTBALL","6","1","11","2017-09-27 14:01:41","25957"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","MACHINE","11","1","5","2017-09-27 14:01:41","25959"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","TRAFFIC","9","1","11","2017-09-27 14:01:41","25958"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","DOORWAY","7","1","11","2017-09-27 14:01:41","25960"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","HELICOPTER","8","1","5","2017-09-27 14:01:41","25961"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","STRUCTURE","10","1","5","2017-09-27 14:01:41","25962"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","KEYBOARD","12","1","5","2017-09-27 14:01:41","25963"
"A2IGPW784OFV3D","cs_wg_v6_real1","3DUZQ9U6SMPNR9U5Y9QQEBM5H1NVSE","BASKET","13","1","11","2017-09-27 14:01:41","25964"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","BOOKSHELF","4","1","11","2017-09-27 14:01:43","25965"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","COMMUNITY","3","1","11","2017-09-27 14:01:43","25967"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","STOMACH","1","1","5","2017-09-27 14:01:43","25966"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","UMBRELLA","5","1","11","2017-09-27 14:01:43","25968"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","WEDDING","0","1","11","2017-09-27 14:01:43","25969"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","LADDER","2","1","5","2017-09-27 14:01:43","25970"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","FOOTBALL","6","1","5","2017-09-27 14:01:43","25971"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","TRAFFIC","9","1","5","2017-09-27 14:01:43","25972"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","MACHINE","11","1","11","2017-09-27 14:01:43","25973"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","STRUCTURE","10","1","5","2017-09-27 14:01:43","25974"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","HELICOPTER","8","1","11","2017-09-27 14:01:43","25975"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","DOORWAY","7","1","5","2017-09-27 14:01:43","25976"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","BASKET","13","1","5","2017-09-27 14:01:44","25977"
"A2U7BMG19Q83GE","cs_wg_v6_real1","3NLZY2D53PQ8IO3YS1ZFW2928F0LQW","KEYBOARD","12","1","11","2017-09-27 14:01:44","25978"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","STOMACH","1","1","5","2017-09-27 14:01:49","25979"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","COMMUNITY","3","1","5","2017-09-27 14:01:49","25980"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","LADDER","2","1","11","2017-09-27 14:01:49","25981"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","WEDDING","0","1","5","2017-09-27 14:01:49","25982"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","UMBRELLA","5","1","11","2017-09-27 14:01:49","25983"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","BOOKSHELF","4","1","11","2017-09-27 14:01:49","25984"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","FOOTBALL","6","1","11","2017-09-27 14:01:49","25985"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","DOORWAY","7","1","5","2017-09-27 14:01:49","25986"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","HELICOPTER","8","1","11","2017-09-27 14:01:49","25987"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","TRAFFIC","9","1","11","2017-09-27 14:01:49","25988"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","MACHINE","11","1","5","2017-09-27 14:01:49","25989"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","STRUCTURE","10","1","11","2017-09-27 14:01:49","25990"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","KEYBOARD","12","1","5","2017-09-27 14:01:49","25991"
"A1YH4LT7EAYT47","cs_wg_v6_real1","3XCC1ODXDLCJLMYBXLWBIEI1E7PQRR","BASKET","13","1","5","2017-09-27 14:01:49","25992"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","WEDDING","0","1","11","2017-09-27 14:01:50","25993"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","LADDER","2","1","5","2017-09-27 14:01:50","25994"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","STOMACH","1","1","5","2017-09-27 14:01:50","25995"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","COMMUNITY","3","1","5","2017-09-27 14:01:50","25996"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","BOOKSHELF","4","1","5","2017-09-27 14:01:50","25998"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","UMBRELLA","5","1","5","2017-09-27 14:01:50","25997"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","HELICOPTER","8","1","11","2017-09-27 14:01:51","25999"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","DOORWAY","7","1","11","2017-09-27 14:01:51","26000"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","TRAFFIC","9","1","11","2017-09-27 14:01:51","26001"
"A28WSBB0DSV47X","cs_wg_v6_real1","33IZTU6J812FVYZ0YOR82WJQXCVSXE","FOOTBALL","6","1","5","2017-09-27 14:01:51","26002"
