"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A1LHSOH23WKNJI","cs_wg_v8_real1","39ZSFO5CA8XUFRMF6P77QOTZAFLJUS","26728","1530897","Female","639","No","No","I'm sorry, at the beginning of part two I forgot I was only supposed to use words from part one. Please don't reject my work!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:33:43","1771"
"A33ZB4QX4Y96WN","cs_wg_v8_real1","3W92K5RLWUIML7WUMDDIL0CD6LZV57","20688","1229220","Male","437","Yes","No","just using good memory please give bonus",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:34:12","1772"
"AEO8NL8D28NQG","cs_wg_v8_real1","3HMIGG0U4L7MCJA1PM754JQYQS28YV","41703","1645321","Male","636","No","No","just picked the first word that seemed ok.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:35:27","1773"
"A2HJQVG9N34D3V","cs_wg_v8_real1","323Q6SJS8IH953UZN09NSBCHN02FHK","37648","1586091","Female","572","No","No","think of the best word",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:36:00","1774"
"A1MTQP7TA5RCOB","cs_wg_v8_real1","31LVTDXBL7B8UPIY5GOF1SJ775MRLY","49154","1728384","Male","531","No","No","That second part was hard!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:38:21","1775"
"A2DZQW708M6IEZ","cs_wg_v8_real1","3WMINLGALB4NS42BQS9U3J4ADSKCAV","31104","1816094","Other","661","No","No","I didn't have a specific strategy. I just wrote down words that came to mind for the first part and saw if they seemed worth some points. For the last part (remembering them all), I first tried to think of those worth more points, then those worth less points.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:38:58","1776"
"A3NUIEPMZSHEZ4","cs_wg_v8_real1","3W2LOLRXLBGXAJ0GKGCEMS6SI5HRKV","56644","1860232","Male","606","No","No","thanks, I wish the last question had come first because it helped me remember more words, I didn't really have a strategy other than just trying to remember",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:39:47","1777"
"A3W1B5B056XJJS","cs_wg_v8_real1","3X31TUMD7XNK1KJH7M90V11U37SL1W","54293","1742930","Male","602","No","No","Panicking and anxiety guessing.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:40:02","1778"
"A3VPD34C23PQTQ","cs_wg_v8_real1","3AMW0RGHOD3D6C5441059PNHBIYNP4","23611","1752747","Male","468","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:40:52","1779"
"A77K8W55MJEKX","cs_wg_v8_real1","3IFS6Q0HJIKI53A5Z2R7ZMWBC3BSI9","46289","1812307","Female","576","No","No","I just followed the instructions given in the question",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:41:20","1780"
"A20JA3YSZ8G6QY","cs_wg_v8_real1","31EUONYN2V48TH2CRS9HU6C4NG4OV5","24813","1824312","Male","602","No","No","Just tried to remember what i could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:41:44","1781"
"A1M1TSMJB12177","cs_wg_v8_real1","3QL2OFSM96JUCNW0ZWEZPPOACZJCNF","42443","1888232","Male","605","No","No","No. Sheer dumb luck.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:41:56","1782"
"A1TTFE7OTLIJW8","cs_wg_v8_real1","3IAEQB9FMELU49BSRT0X5EJJQB0DW8","36616","1622214","Male","648","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:42:24","1783"
"A3QMWLH7A7NSVN","cs_wg_v8_real1","3483FV8BEEK97KY63M3CB1T25II26N","46856","1862725","Female","645","No","No","i JUST DIDN'T WANT TO RUN OUT OF TIME. WOULD RATHER GET SOME POINTS THAN NONE",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:42:30","1784"
"A1NSWJKFJIZ06J","cs_wg_v8_real1","3A4NIXBJ760HX95608SYFTPX1INML5","62424","2026003","Male","564","No","No","tough study, strategy was just memorize in my head being tired didn't help",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:42:43","1785"
"A2VFPLE7TSN1IL","cs_wg_v8_real1","38F71OA9GTXVXHVAEXP0KGKD4M1MF0","36531","2053391","Male","571","No","No","My general strategy was to recall words which would produce high point totals.  No further comments.  Thanks!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:42:49","1786"
"AZ223PTWQ4AYF","cs_wg_v8_real1","3KOPY89HM83AGX9WR5B63F3ZX223J5","31232","1695696","Female","618","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:42:52","1787"
"A21T7YH1PNOXF6","cs_wg_v8_real1","3X0H8UUIT1P06YUAOJVM0D5JRE9WSK","59077","1932719","Male","529","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:43:15","1788"
"A31898LQJO7I3","cs_wg_v8_real1","37TD41K0AHARS0O57SVLOJYGZYRSC7","68702","1962956","Male","652","Yes","Yes","In Part I tried to remember all the words and just listed them in the blank space for reference and think quickly about what the rules are for that given question.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:43:29","1789"
"A18M1IAKPX9XQT","cs_wg_v8_real1","3DL65MZB8DGQIHJN6XBGZ2U1Y7ICEQ","92116","1958842","Female","623","No","No","Try to remember all the words and their point value. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-10-12 14:43:31","1790"
