"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A2HSCKH5NKN5LP","cs_wg_v9_pilot3","392CY0QWG1SZ3I8U91VP1JG6H5NI4S","42910","1346584","Male","738","Yes","No","Just doing my best to remember the point values.

I think I messed up during the practice rounds...it hadn't dawned on me that the questions changed from should to can you etc.  I hope that didn't disrupt anything too much, a more blatant swap might have been more helpful, assuming that's not what you were testing.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:22:52","2080"
"AIUKV0KVALMY6","cs_wg_v9_pilot3","3EJJQNKU9R668TZ8EV9H90Q196SHRH","45030","1422034","Female","717","Yes","No","I just tried to remember the words",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:24:16","2081"
"A2MQMMCVZJTFL2","cs_wg_v9_pilot3","3QL2OFSM96JUCNW0ZWEZPPOBVHYNCQ","57689","1410173","Female","694","Yes","No","I just guessed as fast as I could",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:24:43","2082"
"A3GE84T9AR3YS9","cs_wg_v9_pilot3","3EKVH9QMEY58STDLD9BQH73V5MJD2P","51563","1508656","Female","754","Yes","No","This was very difficult! I tried to remember words and values in part 3. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:25:55","2083"
"A29RJVVL54THB5","cs_wg_v9_pilot3","3SB4CE2TJVWBV2D6HO5HHWPLXSNAXV","52248","1609055","Other","732","No","No","just focus on the word and remember",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:27:26","2084"
"A30EI064NHQEQO","cs_wg_v9_pilot3","3QXNC7EIPIWPTTXQM62ACNRQH3K90K","64704","1488615","Female","738","No","No","Just remembering what words I saw. I had to remind myself to read the question.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:27:29","2085"
"AOB6ZJTDB416G","cs_wg_v9_pilot3","3634BBTX0OV91Y5JTIR8SNDX6VWFID","55117","1677516","Male","733","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:28:23","2086"
"A1F1A2FXG1I6ZY","cs_wg_v9_pilot3","3JPSL1DZ5S06J8Z2FII8JUYNVEDNAO","69045","1696664","Female","722","Yes","No","Making sure I read the first word of the sentence (could, should, ought) and choose appropriately.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:29:17","2087"
"A25CFVQND4A0EV","cs_wg_v9_pilot3","39L1G8WVWQS3LGTS1G50ZF7EM3G310","81736","1618853","Male","739","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:30:58","2088"
"AIZEEJUMWJ0WX","cs_wg_v9_pilot3","3TU5ZICBRD2D3HJFYCQBRXNXA108QS","43093","1884648","Female","655","Yes","No","To remember all the words I saw in pt 1",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:31:54","2089"
"A2HA52MJN7CTLM","cs_wg_v9_pilot3","3IKZ72A5B4H1FZGAQY40XV9ESUQFNT","89040","1856876","Female","726","Yes","No","Thank you for the survey.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:31:58","2090"
"A3K43RI91Y567E","cs_wg_v9_pilot3","32ZKVD547FO4YEBK3DYP5RKN8F73BJ","83110","1863402","Female","739","No","No","very hard. I just tried to catch the opening word of the sentence and press the appropriate key. didn't always go as planned.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:32:13","2091"
"AR5LYXBO5D982","cs_wg_v9_pilot3","3HPZF4IVNMUOOM0E6YNA65MIZ12CY5","161365","1928063","Male","788","Yes","No","Strategy was just to take my best guess on the words I didn't see in Part 1, and choose the logical answer for those that did.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-01-10 17:33:14","2092"
