"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","0","0","STOMACH","9","5","0","4503","STOMACH","9","2018-01-12 17:50:19","159521"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","0","0","WEDDING","0","5","0","3623","Wedding","0","2018-01-12 17:50:21","159522"
"ALSJ5JQPC3A82","cs_wg_v9_real1","3DUZQ9U6SMPNR9U5Y9QQEBM63XXVS4","0","0","FOOTBALL","1","5","0","2156","football","1","2018-01-12 17:50:26","159523"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","0","0","MACHINE","0","5","0","5186","Machine","Machine","2018-01-12 17:50:31","159524"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","1","0","DOORWAY","9","5","0","1595","Doorway","9","2018-01-12 17:50:31","159525"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","1","0","STRUCTURE","1","5","0","3839","STRUCTURE","1","2018-01-12 17:50:32","159526"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","0","0","LADDER","10","5","0","5484","ladder","10","2018-01-12 17:50:36","159527"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","2","0","LADDER","0","5","0","1179","Ladder","0","2018-01-12 17:50:38","159528"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","2","0","BASKET","1","5","1","2742","BASKET","1","2018-01-12 17:50:43","159529"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","1","0","WEDDING","9","5","0","2479","wedding","9","2018-01-12 17:50:45","159530"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","3","0","MACHINE","1","5","0","2258","Machine","1","2018-01-12 17:50:46","159531"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","1","0","BOOKSHELF","1","5","0","2676","Bookshelf","1","2018-01-12 17:50:49","159532"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","3","0","HELICOPTER","10","5","0","3417","HELICOPTER","10","2018-01-12 17:50:55","159533"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","4","0","UMBRELLA","0","5","0","1251","Umbrella","0","2018-01-12 17:50:56","159534"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","0","0","FOOTBALL","10","5","0","10859",,"10","2018-01-12 17:50:58","159535"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","2","0","TRAFFIC","9","5","0","10923","traffic","9","2018-01-12 17:51:03","159536"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","0","0","BOOKSHELF","1","5","0","6347","bookshelf","1","2018-01-12 17:51:05","159537"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","2","0","BASKET","9","5","1","5297","Basket","9","2018-01-12 17:51:06","159538"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","4","0","DOORWAY","10","5","0","2714","DOORWAY","10","2018-01-12 17:51:07","159539"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","0","0","MACHINE","10","5","1","5664","Word","10","2018-01-12 17:51:08","159540"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","5","0","MACHINE","1","5","1","3138","Machine","1","2018-01-12 17:51:09","159541"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","3","0","COMMUNITY","9","5","0","1437","community","9","2018-01-12 17:51:12","159542"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","5","0","KEYBOARD","0","5","0","2577","KEYBOARD","0","2018-01-12 17:51:17","159543"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","6","0","UMBRELLA","0","5","1","2124","Umbrella","0","2018-01-12 17:51:18","159544"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","3","0","STOMACH","10","5","0","2168","Stomach","10","2018-01-12 17:51:19","159545"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","1","0","HELICOPTER","1","5","0","7266",,"1","2018-01-12 17:51:20","159546"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","4","0","UMBRELLA","1","5","0","2709","umbrella","1","2018-01-12 17:51:21","159547"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","0","0","KEYBOARD","1","5","0","5082","keyboard","1","2018-01-12 17:51:21","159548"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","0","0","DOORWAY","9","5","1","6409","doorway","9","2018-01-12 17:51:25","159549"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","7","0","COMMUNITY","10","5","1","1365","Community","5","2018-01-12 17:51:27","159550"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","6","0","STRUCTURE","1","5","1","2832","STRUCTURE","1","2018-01-12 17:51:28","159551"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","1","0","UMBRELLA","1","5","0","6995","Umbrella","5","2018-01-12 17:51:28","159552"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","1","0","MACHINE","9","5","1","6363","machinne","9","2018-01-12 17:51:28","159553"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","5","0","DOORWAY","1","5","1","2142","doorway","1","2018-01-12 17:51:31","159554"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","0","0","COMMUNITY","9","5","0","5300","community","9","2018-01-12 17:51:31","159555"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","1","0","BASKET","1","5","0","1999","basket","1","2018-01-12 17:51:32","159556"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","4","0","DOORWAY","1","5","1","2799","Doorway","1","2018-01-12 17:51:32","159557"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","8","0","STRUCTURE","0","5","1","1423","Structure","0","2018-01-12 17:51:35","159558"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","7","0","STRUCTURE","1","5","1","2296","STRUCTURE","1","2018-01-12 17:51:38","159559"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","1","0","UMBRELLA","10","5","0","4026","umbrella","10","2018-01-12 17:51:39","159560"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","6","0","STRUCTURE","10","5","0","924","structure","10","2018-01-12 17:51:40","159561"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","0","0","KEYBOARD","1","5","1","10642","keyboard","1","2018-01-12 17:51:40","159562"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","2","0","STOMACH","9","5","1","3369","Stomach","9","2018-01-12 17:51:41","159563"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","2","0","TRAFFIC","0","5","0","1700","traffic","0","2018-01-12 17:51:42","159564"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","9","0","BOOKSHELF","9","5","1","1330","Bookshelf","9","2018-01-12 17:51:44","159565"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","2","0","STRUCTURE","1","5","0","3055","structure","1","2018-01-12 17:51:44","159566"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","5","0","BOOKSHELF","1","5","0","4216","Bookshelf","1","2018-01-12 17:51:45","159567"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","0","0","TRAFFIC","9","5","0","5086","traffic","9","2018-01-12 17:51:49","159568"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","7","0","LADDER","10","5","0","4075","ladder","10","2018-01-12 17:51:49","159569"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","2","0","MACHINE","0","5","0","2002","machine","0","2018-01-12 17:51:50","159570"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","10","0","FOOTBALL","1","5","1","1016","Football","1","2018-01-12 17:51:51","159571"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","2","0","BASKET","0","5","1","6588","basket","0
0

0","2018-01-12 17:51:51","159572"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","1","0","FOOTBALL","0","5","1","3065","football","0","2018-01-12 17:51:52","159573"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","8","0","HELICOPTER","10","5","1","5533","HELICOPTER","10","2018-01-12 17:51:52","159574"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","3","0","STRUCTURE","0","5","1","3214","structure","0","2018-01-12 17:51:53","159575"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","6","0","LADDER","0","5","0","1620","Ladder","0","2018-01-12 17:51:55","159576"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","1","0","FOOTBALL","0","5","1","6733","football","0","2018-01-12 17:51:57","159577"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","8","0","HELICOPTER","0","5","0","1036","helicopter","0","2018-01-12 17:51:57","159578"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","11","0","LADDER","0","5","1","1191","Ladder","0","2018-01-12 17:51:58","159579"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","0","0","DOORWAY","9","5","0","7993","doorway","5","2018-01-12 17:51:59","159580"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","3","0","BASKET","1","5","1","3773","basket","1","2018-01-12 17:52:01","159581"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","1","0","STOMACH","1","5","0","2603","stomach","1","2018-01-12 17:52:02","159582"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","9","0","FOOTBALL","10","5","1","953","football","10","2018-01-12 17:52:03","159583"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","9","0","DOORWAY","10","5","1","2896","DOORWAY","10","2018-01-12 17:52:03","159584"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","12","0","COMMUNITY","10","5","1","1069","Community","10","2018-01-12 17:52:05","159585"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","4","0","BASKET","0","5","0","2305","basket","0","2018-01-12 17:52:05","159586"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","2","0","COMMUNITY","0","5","1","2630","community","0","2018-01-12 17:52:06","159587"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","7","0","KEYBOARD","9","5","0","2148","Keyboard","9","2018-01-12 17:52:06","159588"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","0","0","KEYBOARD","1","5","1","5391","KEYBOARD","1","2018-01-12 17:52:06","159589"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","3","0","HELICOPTER","9","5","1","3875","helicopter","5","2018-01-12 17:52:07","159590"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","3","0","UMBRELLA","1","5","0","3756","umbrella","1","2018-01-12 17:52:09","159591"
"A1YXQDZYCKILTT","cs_wg_v9_real1","3LKC68YZ3A4L862HH2EDG8VJDHWOWA","3","0","WEDDING","0","5","1","3749","wedding","0","2018-01-12 17:52:12","159592"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","13","0","UMBRELLA","0","5","1","878","Umbrella","0","2018-01-12 17:52:13","159593"
"A2ZNSEG0BWKTLK","cs_wg_v9_real1","3QUO65DNQUP8G2DCM2ZCYKAMS1LOUB","0","0","BASKET","0","5","0","3271","basket","0","2018-01-12 17:52:13","159594"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","10","0","BASKET","1","5","1","4336","BASKET","1","2018-01-12 17:52:15","159595"
"A1FMUT3U8CWI0X","cs_wg_v9_real1","337RC3OW0530NWZFE0TP2P8BB3PLVG","3","0","DOORWAY","0","5","1","2731","doorway","0","2018-01-12 17:52:17","159596"
"A9BFBXFNK8GR1","cs_wg_v9_real1","3WMOAN2SRBYQBW20QD94FHC0GYPVNS","2","0","WEDDING","1","5","0","3124","wedding","1","2018-01-12 17:52:17","159597"
"A3DU63P4KYJHOO","cs_wg_v9_real1","3TPZPLC3M0D628CUMIGQ0BPCPTXP3L","10","0","COMMUNITY","9","5","0","8668","community","9","2018-01-12 17:52:18","159598"
"A1KUW26JP1SB9","cs_wg_v9_real1","3KRVW3HTZNM41M0WKHPZRF3TC4LSMK","8","0","LADDER","0","5","1","2562","Ladder","0","2018-01-12 17:52:18","159599"
"AFI6RY5VKOIMA","cs_wg_v9_real1","3TUI152ZZBOVSHZUZRHWCN0PW55Q1L","5","0","MACHINE","10","5","0","2766","machine","10","2018-01-12 17:52:18","159600"
"A3HHHZF9N10QMQ","cs_wg_v9_real1","3I0BTBYZAXM4UU5YUIUQB4KHQMH0YW","4","0","LADDER","1","5","0","3379","ladder","1","2018-01-12 17:52:18","159601"
"A2VGEE0ZIZ8CBQ","cs_wg_v9_real1","3DPNQGW4LLGJAYDT70M04GQ18O464I","2","0","KEYBOARD","10","5","1","2711","keyboard","10","2018-01-12 17:52:18","159602"
"A2LZ0TBYJ91GYQ","cs_wg_v9_real1","3WYP994K17SZ85RDW7A7K5U83P2Y6U","4","0","DOORWAY","9","5","0","1958","doorway","9","2018-01-12 17:52:19","159603"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","14","0","STRUCTURE","0","5","1","1263","Structure","0","2018-01-12 17:52:20","159604"
"A97R988SLWMU8","cs_wg_v9_real1","34Q075JO1XE74OUVITNHXH97J1810Z","1","0","BASKET","1","5","1","6419","basket","5","2018-01-12 17:52:20","159605"
"A1H47GTSBAPDTW","cs_wg_v9_real1","32AT8R96GLANEU55TJGLIPKNPQOSUC","1","0","WEDDING","10","5","1","3932","WEDDING","10","2018-01-12 17:52:22","159606"
"A2JRONMDBUJT3K","cs_wg_v9_real1","3WETL7AQWT929YUB237C25KVYTX35E","0","0","TRAFFIC","10","5","0","9801","traffic","10","2018-01-12 17:52:22","159607"
"A31YTICDM7ZMP6","cs_wg_v9_real1","3FE2ERCCZX9VOX5G5G0IOENNKKTOPF","4","0","LADDER","9","5","0","2254","ladder","9","2018-01-12 17:52:24","159608"
"A3V4AW6DGWBHDO","cs_wg_v9_real1","33NF62TLXJ3GCVH3CB35K1K2RGDJKQ","11","0","TRAFFIC","0","5","0","3433","TRAFFIC","0","2018-01-12 17:52:26","159609"
"A3696JXTRKL2FI","cs_wg_v9_real1","3UOUJI6MTDFVABR4NTM8HX1F45QXUP","15","0","LADDER","0","5","1","1287","Ladder","0","2018-01-12 17:52:27","159610"
