"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","0","0","KEYBOARD","1","TINGER","1","9783","keyboard",NULL,"2017-09-26 18:29:46","94379"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","1","1","UMBRELLA","1","GLUNDLE","1","3862","umbrella",NULL,"2017-09-26 18:30:00","94380"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","2","0","BASKET","1","HOTCHACK","1","5629","basket",NULL,"2017-09-26 18:30:17","94381"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","3","0","STOMACH","1","SCREEP","1","3816","stomach",NULL,"2017-09-26 18:30:29","94382"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","4","1","LADDER","1","BLICKET","1","3179","ladder",NULL,"2017-09-26 18:30:41","94383"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","5","1","MACHINE","1","GLUNDLE","1","2479","machine",NULL,"2017-09-26 18:30:51","94384"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","6","1","BOOKSHELF","1","ZALEY","1","2464","bookshelf",NULL,"2017-09-26 18:31:02","94385"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","7","0","COMMUNITY","1","WOOKED","1","3255","community",NULL,"2017-09-26 18:31:14","94386"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","8","1","HELICOPTER","1","MURRADS","1","2806","HELICOPTER",NULL,"2017-09-26 18:31:29","94387"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","9","1","STOMACH","1","ROAKING","1","2348","stomach",NULL,"2017-09-26 18:31:39","94388"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","10","1","MACHINE","1","CHEEDLE","1","3311","MACHINE",NULL,"2017-09-26 18:31:50","94389"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","11","0","HELICOPTER","1","DROOFER","1","16232","helicopter",NULL,"2017-09-26 18:32:16","94390"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","12","1","TRAFFIC","1","CHAXED","1","2859","traffic",NULL,"2017-09-26 18:32:27","94391"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","13","1","BASKET","1","FLEMMERING","1","2604","basket",NULL,"2017-09-26 18:32:38","94392"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","14","1","STOMACH","1","SCREEP","1","2820","stomach",NULL,"2017-09-26 18:32:52","94393"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","15","1","TRAFFIC","1","MICKERED","1","3558","traffic",NULL,"2017-09-26 18:33:04","94394"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","16","0","BOOKSHELF","1","ZALEY","1","6755","bookshelf",NULL,"2017-09-26 18:33:19","94395"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","17","1","WEDDING","1","ZORING","1","2145","wedding",NULL,"2017-09-26 18:33:29","94396"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","18","1","WEDDING","1","NARDLY","1","1889","wedding",NULL,"2017-09-26 18:33:39","94397"
"A2NZ7RMSBXESNI","cs_wg_v6_pilot1","3PXX5PX6LXZ4IZA5CSDZSZYSSWDBAR","19","1","UMBRELLA","1","TINGER","1","2250","umbrella",NULL,"2017-09-26 18:33:51","94398"
