"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"A1DIW2K1J89CMO","cs_wg_v6_pilot2","32ZKVD547FO4YEBK3DYP5RKMMNH3BL","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","30771","helicopter","Helicopter, footb","21000","2017-09-26 20:31:00","6697"
"A317L37U2W6R4P","cs_wg_v6_pilot2","39O5D9O87TTN8J3QHDUKGBQ448H3CS","test","Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","0","70","1","29629","ladder",,"31000","2017-09-26 20:31:10","6698"
"A1DIW2K1J89CMO","cs_wg_v6_pilot2","32ZKVD547FO4YEBK3DYP5RKMMNH3BL","test","Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","1","30","0","29068","football",,"26000","2017-09-26 20:31:58","6699"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","0","60","1","50503","umbrella",,"21000","2017-09-26 20:32:08","6700"
"A317L37U2W6R4P","cs_wg_v6_pilot2","39O5D9O87TTN8J3QHDUKGBQ448H3CS","test","Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","1","40","1","27416","traffic",,"31000","2017-09-26 20:32:10","6701"
"A1DIW2K1J89CMO","cs_wg_v6_pilot2","32ZKVD547FO4YEBK3DYP5RKMMNH3BL","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","2","25","1","24344","wedding","wedding","16000","2017-09-26 20:32:40","6702"
"A3H9A9RWEEL8FY","cs_wg_v6_pilot2","3WETL7AQWT929YUB237C25KUCRV35K","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","1","25","1","44004","staircase",,"16000","2017-09-26 20:33:10","6703"
"A317L37U2W6R4P","cs_wg_v6_pilot2","39O5D9O87TTN8J3QHDUKGBQ448H3CS","test","Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","2","25","1","42770","ladder",,"16000","2017-09-26 20:33:11","6704"
"A1DIW2K1J89CMO","cs_wg_v6_pilot2","32ZKVD547FO4YEBK3DYP5RKMMNH3BL","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","20","1","23960","structure",,"16000","2017-09-26 20:33:22","6705"
"A317L37U2W6R4P","cs_wg_v6_pilot2","39O5D9O87TTN8J3QHDUKGBQ448H3CS","test","Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","20","1","26693","community",,"16000","2017-09-26 20:33:56","6706"
