"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
11,5,5,5,11,11,5,11,11,11,11,5,5,5
11,5,5,11,5,5,5,11,11,11,11,11,5,5
11,11,11,5,5,5,11,11,5,11,5,5,11,5
5,11,5,11,11,11,11,5,5,5,11,5,5,11
11,5,11,11,5,5,5,11,5,11,11,5,5,11
11,5,11,5,5,11,11,5,11,5,11,5,5,11
11,5,11,11,5,5,5,5,11,11,5,11,11,5
11,11,5,11,11,5,5,11,5,11,11,5,5,5
11,5,5,11,5,11,11,11,5,11,5,5,5,11
11,5,11,11,5,11,11,5,11,5,11,5,5,5
5,11,5,11,5,5,11,11,11,5,11,11,5,5
5,11,11,5,11,5,5,11,5,11,11,11,5,5
11,5,11,11,5,5,11,11,5,5,11,5,5,11
5,5,5,11,11,5,11,11,5,11,5,5,11,11
5,5,11,5,5,11,11,5,11,5,5,11,11,11
5,11,5,11,11,11,11,5,11,5,5,5,5,11
5,5,11,11,5,11,5,5,11,11,5,11,5,11
5,11,11,5,5,5,5,11,5,5,11,11,11,11
11,5,5,5,11,11,11,11,5,11,5,11,5,5
11,5,11,5,11,11,11,5,5,5,11,5,11,5
11,5,5,5,11,11,5,11,5,5,11,5,11,11
5,5,5,5,11,11,5,11,11,5,11,5,11,11
5,5,11,11,5,11,5,5,11,5,11,11,5,11
5,11,11,11,11,11,11,5,5,5,5,5,5,11
11,5,5,5,5,11,5,11,11,11,11,5,11,5
5,11,11,11,5,5,11,5,5,5,11,5,11,11
11,5,11,11,5,11,5,11,5,11,5,5,5,11
5,11,11,11,11,5,11,11,5,5,5,5,11,5
5,11,11,11,5,11,5,11,11,5,5,11,5,5
11,11,5,11,11,5,5,5,5,11,11,5,5,11
5,5,11,5,11,11,11,5,11,11,11,5,5,5
5,11,5,5,11,11,5,5,11,5,5,11,11,11
11,5,11,5,11,5,11,5,5,11,5,11,11,5
11,5,11,11,5,5,5,5,11,5,5,11,11,11
5,5,5,11,5,11,11,11,11,11,5,5,5,11
5,11,11,5,11,5,5,11,11,11,11,5,5,5
11,5,11,11,11,5,5,5,5,5,11,5,11,11
11,5,5,11,11,5,5,5,5,5,11,11,11,11
11,5,11,5,5,5,5,5,11,11,11,5,11,11
11,5,5,11,11,5,11,5,11,5,5,11,11,5
5,11,5,5,11,11,5,5,11,11,11,11,5,5
11,11,5,11,11,11,5,5,5,11,5,11,5,5
11,5,11,11,5,5,5,5,11,11,11,11,5,5
5,11,5,11,11,5,11,5,5,11,5,5,11,11
11,11,5,5,11,11,11,5,11,5,5,5,5,11
5,5,5,11,11,5,11,11,11,5,11,5,11,5
11,5,11,11,11,5,5,11,5,5,5,5,11,11
11,5,5,11,5,11,5,11,11,5,11,5,5,11
11,5,11,5,5,11,11,11,5,11,5,5,5,11
5,11,11,11,5,5,11,11,5,5,11,5,5,11
11,11,11,5,11,5,11,5,5,11,5,5,5,11
11,5,5,11,11,11,11,5,5,5,5,5,11,11
5,5,11,11,11,11,5,11,5,5,11,5,11,5
11,11,11,11,5,5,5,11,11,5,5,5,5,11
11,11,5,5,5,11,11,5,5,11,5,11,5,11
5,11,5,5,5,11,11,11,11,11,5,5,5,11
11,11,5,5,5,11,5,11,11,5,11,5,5,11
5,5,11,11,5,5,11,11,11,5,5,11,5,11
11,11,11,5,5,5,11,11,5,5,5,11,5,11
5,11,5,5,5,11,11,11,5,5,11,11,11,5
11,5,5,5,11,11,11,5,11,5,5,5,11,11
11,5,5,11,5,5,5,11,5,11,5,11,11,11
11,11,5,11,5,5,5,11,11,5,11,5,11,5
5,5,11,5,11,11,11,11,11,11,5,5,5,5
5,11,5,11,11,11,11,11,5,5,5,5,5,11
11,5,5,11,5,11,5,11,11,5,11,11,5,5
11,11,11,5,11,5,11,5,11,5,5,11,5,5
11,11,5,11,11,5,5,5,5,11,11,5,11,5
5,5,5,5,11,11,5,5,5,11,11,11,11,11
5,5,5,5,11,11,11,5,5,11,11,11,5,11
5,5,5,5,5,11,5,11,11,5,11,11,11,11
5,11,5,11,5,11,5,5,11,11,5,11,11,5
11,5,5,5,5,11,11,11,11,5,11,5,5,11
11,5,5,5,11,5,11,11,11,5,5,11,5,11
11,11,11,5,5,11,11,11,5,5,5,5,11,5
11,5,11,5,5,5,11,5,11,5,5,11,11,11
11,11,11,11,5,11,5,11,5,11,5,5,5,5
11,11,5,11,5,5,11,5,11,5,5,5,11,11
11,5,5,11,5,11,11,5,11,5,11,5,5,11
5,5,5,5,5,11,5,11,5,11,11,11,11,11
11,11,5,11,11,5,5,5,5,5,11,5,11,11
5,11,11,11,11,5,5,5,5,5,5,11,11,11
11,11,5,5,11,11,11,5,5,11,11,5,5,5
5,5,11,5,5,11,11,5,5,11,5,11,11,11
5,5,5,11,5,5,5,11,11,5,11,11,11,11
5,11,5,5,5,5,11,11,5,11,5,11,11,11
11,5,5,11,11,11,11,5,5,5,11,5,5,11
5,5,5,11,11,11,5,11,5,11,5,11,5,11
5,5,5,11,11,11,5,5,5,11,11,5,11,11
5,5,5,11,5,11,11,11,11,5,5,11,5,11
5,11,5,11,11,11,5,5,5,11,11,5,5,11
5,11,5,11,11,11,5,11,5,11,11,5,5,5
11,5,11,5,5,11,11,5,11,5,11,11,5,5
11,5,11,11,11,5,5,5,11,5,11,5,5,11
11,11,11,5,11,5,11,11,5,5,5,11,5,5
11,5,11,11,5,5,5,5,11,5,5,11,11,11
11,11,5,11,5,5,11,5,5,11,11,5,5,11
11,11,5,5,11,5,11,5,11,5,5,11,11,5
11,5,11,11,5,11,5,5,11,5,5,5,11,11
11,5,5,5,11,5,5,11,5,11,11,11,5,11
5,11,11,5,11,11,11,5,5,11,5,11,5,5
5,5,11,5,5,5,11,5,11,5,11,11,11,11
11,11,11,5,5,5,11,5,11,5,5,11,11,5
5,5,11,5,11,11,5,11,11,5,5,5,11,11
11,5,11,11,11,5,5,5,5,11,11,5,5,11
5,5,11,5,5,11,5,11,5,11,11,5,11,11
5,11,11,5,11,11,11,11,5,11,5,5,5,5
