"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","ZALEY","1","8","4","2017-02-08 19:52:57","2492"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","SCREEP","0","-6","5","2017-02-08 19:52:57","2491"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","POATS","4","0","10","2017-02-08 19:52:57","2493"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","DUNCHED","2","-3","5","2017-02-08 19:52:57","2494"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","VATED","3","-8","6","2017-02-08 19:52:57","2495"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","MICKERED","5","7","5","2017-02-08 19:52:57","2496"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","FIPPING","7","3","8","2017-02-08 19:52:58","2497"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","CLEEPERS","8","5","6","2017-02-08 19:52:58","2498"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","BLICKET","6","2","7","2017-02-08 19:52:58","2499"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","ROAKING","10","10","7","2017-02-08 19:52:58","2500"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","WOOKED","9","-2","10","2017-02-08 19:52:58","2501"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","CHEEDLE","11","4","6","2017-02-08 19:52:58","2502"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","NARDLY","12","-4","8","2017-02-08 19:52:58","2503"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","THOCKY","14","9","9","2017-02-08 19:52:58","2504"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","CHAXED","13","-5","9","2017-02-08 19:52:58","2505"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","GLUNDLE","15","6","4","2017-02-08 19:52:58","2506"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","PLIBBERED","17","1","7","2017-02-08 19:52:58","2507"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","FLEMMERING","16","11","8","2017-02-08 19:52:58","2508"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","HOTCHACK","18","-7","9","2017-02-08 19:52:58","2509"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","JADDEARED","19","-1","10","2017-02-08 19:52:58","2510"
"A2TCWEYMI1JHIG","cs_wg_v1_pilot5","35K3O9HUABEXLT3XXZ1H78F3SD4EFE","MURRADS","20","-9","4","2017-02-08 19:52:58","2511"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","POATS","4","7","9","2017-02-08 19:54:10","2512"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","VATED","3","2","5","2017-02-08 19:54:10","2513"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","DUNCHED","2","1","6","2017-02-08 19:54:10","2514"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","SCREEP","0","10","9","2017-02-08 19:54:10","2515"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","ZALEY","1","-1","4","2017-02-08 19:54:10","2516"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","MICKERED","5","9","7","2017-02-08 19:54:10","2517"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","BLICKET","6","-7","8","2017-02-08 19:54:10","2518"
"A28HB7240OFGEW","cs_wg_v1_pilot5","3137ONMDKG63ZTZS8J7ZPTFFTS4EGD","CHEEDLE","11","-8","5","2017-02-08 19:54:10","2519"
