"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","COMMUNITY","1","9","8","2017-02-15 17:55:54","5465"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","CHOCOLATE","2","3","6","2017-02-15 17:55:54","5466"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","LADDER","3","-2","5","2017-02-15 17:55:54","5467"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","MACHINE","5","-3","4","2017-02-15 17:55:54","5468"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","BASKET","0","1","7","2017-02-15 17:55:54","5469"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","MILITARY","4","-5","8","2017-02-15 17:55:54","5470"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","TRAFFIC","6","-8","6","2017-02-15 17:55:54","5471"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","MOUNTAIN","7","8","8","2017-02-15 17:55:54","5472"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","PARTNER","8","-7","4","2017-02-15 17:55:54","5473"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","QUESTION","9","10","5","2017-02-15 17:55:54","5474"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","STRUCTURE","11","5","7","2017-02-15 17:55:54","5475"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","POSITION","10","-9","4","2017-02-15 17:55:54","5476"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","EVENING","13","-1","4","2017-02-15 17:55:54","5477"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","WEDDING","12","4","6","2017-02-15 17:55:54","5478"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","FORTUNE","14","-10","5","2017-02-15 17:55:54","5479"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","RESEARCH","15","-4","7","2017-02-15 17:55:54","5480"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","WINDOW","17","2","5","2017-02-15 17:55:54","5481"
"A1BEBN58T1E0TH","cs_wg_v2_real1","3K9FOBBF2HKNFRQ6C97YS8EW4ZFNL2","STOMACH","16","-6","8","2017-02-15 17:55:54","5482"
