"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","0","0","FOOTBALL","8","5","1","8542","FOOTBALL","8","2017-03-26 23:37:58","6566"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","0","0","BOOKSHELF","0","5","0","3958","bookshelf","0","2017-03-26 23:38:05","6567"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","1","0","HELICOPTER","1","5","0","3491","helicopter","1","2017-03-26 23:38:15","6568"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","1","0","STRUCTURE","0","5","0","6094","STRUCTURE","0","2017-03-26 23:38:20","6569"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","2","0","TRAFFIC","0","5","0","1211","traffic","0","2017-03-26 23:38:24","6570"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","3","0","LADDER","9","5","0","2524","ladder","9","2017-03-26 23:38:33","6571"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","2","0","BASKET","2","5","1","3057","BASKET","2","2017-03-26 23:38:36","6572"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","4","0","KEYBOARD","0","5","0","3596","keyboard","0","2017-03-26 23:38:44","6573"
"AITLTT4ZKSZIM","cs_wg_v3_real1","3LOZAJ85YDEMQZI249C2BE6L69F2XR","3","0","FOOTBALL","8","5","0","3834","FOOTBALL","8","2017-03-26 23:38:51","6574"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","5","0","MACHINE","2","5","0","2461","MACHINE","2","2017-03-26 23:38:52","6575"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","6","0","COMMUNITY","9","5","0","1706","COMMUNITY","9","2017-03-26 23:39:00","6576"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","7","0","WEDDING","8","5","0","1677","WEDDING","8","2017-03-26 23:39:07","6577"
"A1GV0UZU0T2ORS","cs_wg_v3_real1","36NEMU28XFEX83H54MZ0O46C3CPWMI","8","0","STOMACH","10","5","0","5715","stomach","10","2017-03-26 23:39:19","6578"
