"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","LADDER","2","2","0","2017-09-28 13:47:23","29675"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","WEDDING","0","3","0","2017-09-28 13:47:23","29676"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","COMMUNITY","3","1","0","2017-09-28 13:47:23","29677"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","STOMACH","1","1","0","2017-09-28 13:47:23","29678"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","HELICOPTER","8","3","0","2017-09-28 13:47:23","29679"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","DOORWAY","7","0","0","2017-09-28 13:47:23","29680"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","BOOKSHELF","4","5","0","2017-09-28 13:47:23","29681"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","UMBRELLA","5","4","0","2017-09-28 13:47:23","29682"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","FOOTBALL","6","4","0","2017-09-28 13:47:23","29683"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","KEYBOARD","12","2","0","2017-09-28 13:47:23","29685"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","BASKET","13","3","0","2017-09-28 13:47:23","29684"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","MACHINE","11","2","0","2017-09-28 13:47:23","29686"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","TRAFFIC","9","2","0","2017-09-28 13:47:23","29687"
"A2EABC3X5VMZ95","cs_wg_v7_pilot3","3U0SRXB7CD6YIPLJHT4UEKNWABBRN9","STRUCTURE","10","2","0","2017-09-28 13:47:23","29688"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","STOMACH","1","1","0","2017-09-28 13:47:23","29689"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","WEDDING","0","3","0","2017-09-28 13:47:23","29690"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","LADDER","2","2","0","2017-09-28 13:47:23","29691"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","COMMUNITY","3","1","0","2017-09-28 13:47:24","29692"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","BOOKSHELF","4","5","0","2017-09-28 13:47:24","29693"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","UMBRELLA","5","4","0","2017-09-28 13:47:24","29694"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","FOOTBALL","6","4","0","2017-09-28 13:47:24","29695"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","DOORWAY","7","0","0","2017-09-28 13:47:24","29696"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","TRAFFIC","9","2","0","2017-09-28 13:47:24","29697"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","HELICOPTER","8","3","0","2017-09-28 13:47:24","29698"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","STRUCTURE","10","2","0","2017-09-28 13:47:24","29699"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","MACHINE","11","2","0","2017-09-28 13:47:24","29700"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","KEYBOARD","12","2","0","2017-09-28 13:47:24","29701"
"AK9XE112RZO6Q","cs_wg_v7_pilot3","3JJVG1YBEBY7CTYOHWMIKOI61485BK","BASKET","13","3","0","2017-09-28 13:47:24","29702"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","BOOKSHELF","4","5","0","2017-09-28 13:47:34","29703"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","UMBRELLA","5","4","0","2017-09-28 13:47:34","29704"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","COMMUNITY","3","1","0","2017-09-28 13:47:34","29705"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","LADDER","2","2","0","2017-09-28 13:47:34","29706"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","STOMACH","1","1","0","2017-09-28 13:47:34","29707"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","WEDDING","0","3","0","2017-09-28 13:47:34","29708"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","STRUCTURE","10","2","0","2017-09-28 13:47:34","29709"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","DOORWAY","7","0","0","2017-09-28 13:47:34","29710"
"AEZ64TVDZQOU6","cs_wg_v7_pilot3","39JEC7537U27KS591N0QZ6INWDACV5","MACHINE","11","2","0","2017-09-28 13:47:34","29711"
