"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AGFYWCPRQIB6O","cs_wg_v7_pilot7","3E337GFOL997TZC51IAIFG9QMZ3GNF","0","677775","Male","0","No","No","I just tried to remember visuals of the different objects. ",NULL,NULL,"6 +8","6+8","HOLIDAY: CHRISTMAS
LIPSTICK: MAKEUP
SCHOLAR: STUDENT
FILMMAKER: JOB
HOOKUP: ACTION
JACKPOT: WIN
DOGSLED: TRANSPORTATION
CRAYON: ART
POPCORN: MOVIES
REFEREE: SPORT
RABIES: DISEASE
ASHTRAY: MUSIC VENUE","REFEREE
MAKEUP
ASHTRAY
CRAYON
FILMMAKER
RABIES
POPCORN","2018-05-22 00:26:34","2903"
"ADJUMNMLC8H1I","cs_wg_v7_pilot7","3QFUFYSY9YGFTR648TP4YM3EU38F4K","0","722700","Female","0","No","No","No. Didn't have a strategy.",NULL,NULL,,"100","holiday: christmas, popcorn: hot, filmmaker: coppola, jackpot: vegas, scholar: published, rabies: dog, dogsled: mushing, referee: uniform, hookup: date, lipstick: red, ashtray: smoking","holiday, referee, filmmaker, lipstick, hookup, scholar, rabies, dogsled","2018-05-22 00:27:12","2904"
"A28SVE690PQ5P7","cs_wg_v7_pilot7","3ZWFC4W1UU8MUX82J5LH6FEOMHSRFF","0","677905","Male","0","Yes","No","The timer is low on the screen and I couldn't see it while I was trying to figure out the math question.

Also, I didn't realize I needed to memorize all of these words.

Somewhat confusing. ",NULL,NULL,,,"REFEREE LEADER
DOGSLED PUPPY
CRAYON COLOR
LIPSTICK WOMEN
HOOKUP WOMEN
JACKPOT MONEY
HOLIDAY CHRISTMAS
POPCORN SALT
ASHTRAY SMOKES
FILMMAKER ACTOR
SCHOLAR STUDENT
RABIES RACCOON","REFEREE
HOOKUP
HOLIDAY
JACKPOT
LIPSTICK
RABIES
","2018-05-22 00:27:23","2905"
"A1YI1H05AQ3ING","cs_wg_v7_pilot7","39K0FND3AHG01QE23H386F9NJEGMA9","0","721125","Male","0","Yes","No",,NULL,NULL,,,"Lipstick: girl
Popcorn: movies
Referee: nba
Filmmaker: At Pacino
Rabies: animals
Jackpot: casino 
Ashtray: smoking
Dogsled: Alaska
Crayon: kids
Scholar: Harvard
Holiday: Christmas 
Hookup: teenagers","Referee, lipstick, dogsled, hookup, holiday, ","2018-05-22 00:27:25","2906"
"A1ZLLV6DOKMLRO","cs_wg_v7_pilot7","3AQF3RZ558JT8EAIRHIJVKNSQUEF65","0","733789","Male","0","Yes","No",,NULL,NULL,,,"FILMMAKER: Director
ASTRAY: Smoking
SCHOLAR: Intelligent
REFEREE: Wrong
RABIES: old yeller
POPCORN: Butter
DOGSLED: Cold
CRAYON: Color
LIPSTICK: Kiss
JACKPOT: Lottery
HOLIDAY: Christmas
HOOKUP: Tinder","Referee 
Hookup
Lipstick
Ashtray
Crayon
","2018-05-22 00:27:35","2907"
"A2TCOV49RNTECD","cs_wg_v7_pilot7","386PBUZZXFYRW1ZLXBF6Z1XH9WKJLK","0","755190","Female","0","Yes","No","None",NULL,NULL,,"14","rabies babies, filmmaker rich, jackpot money, scholar smart, crayon child, hookup sex, popcorn movie, holiday christmas, ashtray smoking, dogsled snow, lipstick woman, referee soccer","dogsled
rabies
","2018-05-22 00:27:49","2908"
"A2PHBRRJSXBTEC","cs_wg_v7_pilot7","3ZSY5X72NXCG0ALVI847T9N2EIJORY","0","796456","Female","0","No","No","I tried to remember the associations I made to help me remember the actual words. ",NULL,NULL,,"12 + 2","crayon: school, referee: football, hookup: tinder, ashtray: cigarette, filmmaker: Speilberg, scholar: PhD, popcorn: movie, dogsled: snow, holiday: Christmas, lipstick: red, rabies: dog","referee, scholar, filmmaker, rabies, crayon, ashtray, lipstick, popcorn","2018-05-22 00:29:06","2909"
"A7OY2DNQAQ73P","cs_wg_v7_pilot7","3WS1NTTKEYDYU3O3PS22MJD1DRSF04","0","788181","Male","0","No","No","No particular strategy. ",NULL,NULL,"11","11+3","POPCORN:MOVIE
HOLIDAY:CHRISTMAS
SCHOLAR:UNIVERSITY
CRAYON:COLORS
REFEREE:SPORTS
HOOKUP:BAR
RABIES:MAMMAL
ASHTRAY:CIGARETTE
JACKPOT:SLOTS
FILMMAKER:DIRECTOR
LIPSTICK:WOMAN
DOGSLED:ALASKA","LIPSTICK
FILMMAKER
DOGSLED
POPCORN
REFEREE
","2018-05-22 00:29:32","2910"
"A2M47XOMZJNOQF","cs_wg_v7_pilot7","3QL2OFSM96JUCNW0ZWEZPPOBO7BCN1","0","815868","Male","0","Yes","No","NO COMMENTS",NULL,NULL,,,"HOLIDAY:CHRISTMAS
JACKPOT:LOTTERY
ASHTRAY:SMOKE
SCHOLAR:STUDENT
CRAYON:COLOR
LIPSTICK:RED
REFEREE:GAME
FILMMAKER:MOVIE
POPCORN:CANDY
HOOKUP:HOOKER
RABBIES:DOG
DOGSLED:SNOW","CRAYON
HOOKUP
REFEREE
HOLIDAY
DOGSLED
POPCORN
SCHOLAR
LIPSTICK
","2018-05-22 00:30:04","2911"
"A2YDA5EGPSTMCC","cs_wg_v7_pilot7","3WR9XG3T63C2EYRYQARSAUQXWFP748","0","895106","Male","0","No","No","This was an interesting study.",NULL,NULL,,"17 - 4","LIPSTICK:MAKEUP
JACKPOT:MONEY
HOLIDAY:EVENT
HOOKUP:CONNECTION
RABIES:DISEASE
DOGSLED:DOGHOUSE
SCHOLAR:ACADEMIC
ASHTRAY:CIGARETTE
POPCORN:BUTTER
FILMMAKER:MOVIE
CRAYON:COLOR
REFEREE:SPORT","REFEREE
LIPSTICK
ASHTRAY
","2018-05-22 00:30:05","2912"
"A33AZCOKCCTUXV","cs_wg_v7_pilot7","3TS1AR6UQQFCCEONARNB1YNOL5YF74","0","811064","Male","0","No","No","no strategy",NULL,NULL,,,"DOGSLED: dog
REFEREE: basketball
SCHOLAR: student
RABIES: sick
ASHTRAY: cigarrete
POPCORN: snack
HOLIDAY: christmas
FILMMAKER: director
JACKPOT: winnings
HOOKUP: connect
LIPSTICK: chap
CRAYON: colors","CRAYON, REFEREE, JACKPOT, ","2018-05-22 00:30:58","2913"
"A235RE08090NDB","cs_wg_v7_pilot7","3WJEQKOXA83351SDAVKAMNLKL3LA1P","0","875856","Male","0","No","No","Just do my best to remember the words, and pick a safe word choice I'm comfortable with.",NULL,NULL,,"15 - 2","FILMMAKER: MOVIE, ASHTRAY: CIGARETTE, HOOKUP: NIGHT, SCHOLAR: STUDENT, LIPSTICK: WOMAN, RABIES: DOG, HOLIDAY: CHRISTMAS, REFEREE: SPORTS, DOGSLED: HUSKY, POPCORN: THEATER, CRAYON: CRAYOLA, JACKPOT: VEGAS","POPCORN, FILMMAKER, HOOKUP, CRAYON, LIPSTICK, REFEREE, DOGSLED, JACKPOT","2018-05-22 00:31:08","2914"
"A12XX35AAVF8CA","cs_wg_v7_pilot7","36TFCYNS44BQ5PLKNUF9YICP3DQHXZ","0","874858","Male","0","No","No","I tried to rely on my memory but it seemed very difficult for me. ",NULL,NULL,,,"JACKPOT:CASINO, HOOKUP:DATE, RABIES:SHOT, REFEREE,HOCKEY, CRAYON:BLUE, DOGSLED:RACING, HOLIDAY:CHRISTMAS, LIPSTICK:RED, ASHTRAY:SMOKING, POPCORN:MOVIES","POPCORN, ASHTRAY, REFEREE, DOGSLED","2018-05-22 00:32:10","2915"
"AYNWXFK66TKOZ","cs_wg_v7_pilot7","3KIBXJ1WD5VUD680SOVASX1OJQPOK5","0","1018343","Female","0","No","No","I did not really know what to expect next in the study so I did not work as strategically as I otherwise would have in memorizing the words.  ",NULL,NULL,,"17-4","SCHOLAR: TEACHER
HOOKUP: DATE
RABIES: ANIMAL
JACKPOT: MONEY
ASHTRAY: SMELLY
CRAYON: COLOR
REFEREE: SPORT
LIPSTICK: KISS
FILMMAKER: ARTS
DOGSLED: ALASKA
HOLIDAY: HALLOWEEN
POPCORN: BUTTER","CRAYON
REFEREE
LIPSTICK
POPCORN
SCHOLAR
","2018-05-22 00:32:25","2916"
"A6TXWXXFY47OR","cs_wg_v7_pilot7","3HYA4D452RK5QDRH4F6G576GAPCF2O","0","1153688","Male","0","Yes","No","I totally panicked on the last timed part where it asked for a 3rd from last letter word. The shorter time made me suddenly blank out. I didn't mean to put lipstick. I wanted to say holiday but my brain flip flopped and I suddenly put that in a last second ""just to have a word"" dumb move. I think on the answer before I'd put popcorn OR lipstick because 3rd from the start both had the letter P. I hope that doesn't mess with things, I don't really know why I put that lipstick on the next part. Ass",NULL,NULL,"11, 9, 13, 14",,"JACKPOT: GAMBLING
SCHOLAR: BOOKS
CRAYON: ART
HOOKUP: WASHER
DOGSLED: HUSKY
ASHTRAY: CIGARETTE
POPCORN: MOVIES
FILMMAKER: CAMERA
REFEREE: SPORTS
LIPSTICK: MAKEUP
HOLIDAY: HALLOWEEN
RABIES: DOG","HOLIDAY
RABIES 
LIPSTICK
DOGSLED
JACKPOT
REFEREE
POPCORN
","2018-05-22 00:34:48","2917"
"A13B56UPRDS9HH","cs_wg_v7_pilot7","3LEIZ60CDJ0MVE3GQ0F2IMUCS0G9ZY","0","752591","Male","0","Yes","No",,NULL,NULL,"15",,"CRAYON:COLORING","crayon, referee, rabies","2018-05-22 00:35:39","2918"
"A26APAELZ028RQ","cs_wg_v7_pilot7","3EJJQNKU9R668TZ8EV9H90Q12W5RHD","0","1011100","Other","0","No","No","No comments!",NULL,NULL,,"16-2","Holiday:Christmas
Popcorn:Movies
Lipstick:Makeup
Hookup:sex
Crayon:drawing
Referee:game
Rabies:dog
Ashtray:cigarettes
Dogsled:racing
Scholar:college
Jackpot:money
Filmmaker:movies","Jackpot
Lipstick
Referee
Popcorn
Filmmaker
Rabies","2018-05-22 00:38:19","2919"
"A1TSD3O3C3ZUT6","cs_wg_v7_pilot7","3B1NLC6UGZX7WKOIHXNAJ5ELME4GPB","0","636107","Male","0","No","No","I just tried to recall the best I could.",NULL,NULL,,"45","Popcorn","Filmaker, popcorn, lipstick","2018-05-22 00:38:26","2920"
"A3ORZPMVIVNGJS","cs_wg_v7_pilot7","31N2WW6R9RRUBVN08FKLOHB8G3CF3Z","0","664833","Female","0","No","No","no comments, no strategy",NULL,NULL,"119 ",,"dogsled:alaska
crayon:crayola
popcorn:movie
scholar:google
rabies:foam
jackpot:millionaire
filmmaker:director
referee:whistle
ashtray:smoking
lipstick:pink
hookup:sex
holiday:christmas","holiday, hookup, referee, crayon, rabies,","2018-05-22 00:38:58","2921"
"APXIETKA1TJL0","cs_wg_v7_pilot7","3SB4CE2TJVWBV2D6HO5HHWPLQI0XA4","0","857939","Male","0","No","No",,NULL,NULL,,,"rabies","rabies","2018-05-22 00:40:32","2922"
"A7SXWHGK8B40R","cs_wg_v7_pilot7","308XBLVESI5WHGWME3ZLNPN37J0RBX","0","654060","Male","0","No","No","No comments",NULL,NULL,,"9 + 5","RABIES: ANIMAL, REFEREE: GAME, POPCORN: MOVIE, CRAYON: ACTIVITY, HOOKUP: DATE, DOGSLED: ANIMALS, LIPSTICK: WOMAN, JACKPOT: WIN, ASHTRAY: SMOKE, FILMMAKER: MOVIE, HOLIDAY: RELAX, SCHOLAR: READ","Referee, scholar, popcorn, filmmaker, crayons, hookup","2018-05-22 00:44:42","2923"
"A3ID92163E50LV","cs_wg_v7_pilot7","3IJXV6UZ1XK64OASKDR29CRG29KRI6","0","773693","Male","0","Yes","No",,NULL,NULL,,"14","Rabies:ratcoon
dogsled:husky
jackpot:lottery
scholar:school
lipstick:woman
crayon:color
Holiday:christmas
Referee:football
popcorn:movies
ashtray:smoking
flimmaker:director
hookup:date","referee
popcorn
ashtray
rabies
dogsled","2018-05-22 00:48:27","2924"
"A120PN22KW0VPY","cs_wg_v7_pilot7","3H0W84IWBK3UOJ86OU1BOXTOAGDREX","0","767880","Female","0","Yes","No","I don't think my memory is very good. My strategy was to think of the letters backwards.",NULL,NULL,,,"POPCORN","popcorn
crayons","2018-05-22 01:01:46","2925"
"A1PTNLOGVFST94","cs_wg_v7_pilot7","30LSNF239UWP04T75NC184J8QICI2S","0","787817","Female","0","No","No","to try to remember the things I associated with the words. ",NULL,NULL,"14",,"Filmmaker tarantino
ashtray cigarette
referee dad
holiday christmas
jackpot money
rabies dog
dogsled husky
crayon red
hookup hookah
popcorn butter
lipstick red
scholar smart","hookup 
rabies 
referee 
crayon
lipstick
ashtray
popcorn
scholar
","2018-05-22 01:24:01","2926"
"A1FLEFIVFT809G","cs_wg_v7_pilot7","3VNXK88KKCJ5MUY6P3QZXGHG4PA9VY","0","696148","Female","0","No","No","i tried hard to relate words together to try and remember them all!",NULL,NULL,,"7*2","ashtray: cigarette
popcorn: movie
holiday: christmas
hookup: date
rabies: racoon
scholar: student
lipstick: mouth
filmmaker: movie
jackpot: casion
crayon: color
dogsled: snow
referee: soccer","ashtray
hookup
holiday
dogsled
lipstick
scholar
popcorn
referee","2018-05-22 01:38:25","2927"
"A16ANYLVNPKCVG","cs_wg_v7_pilot7","3RSDURM96AN3LKKS2PT5WTMLD41EYX","0","1014431","Male","0","No","No","I tried to remember the words.",NULL,NULL,,"9+5","Popcorn:movie
lipstick:woman
holiday:christmas
hookup:hooker
rabies:dog
jackpot:lottery
crayon:red
ashtray:cigarette
dogsled:husky
scholar:books
referee:sport
filmmaker:director","popcorn
hookup
filmmaker
referee
 ","2018-05-22 01:38:57","2928"
