"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","18140","POPCORN",,"180","0","0","2018-05-25 16:01:53","17212"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","21917","Weapon",,"180","1","0","2018-05-25 16:02:17","17213"
"AHGDYNKOKJWFJ","cs_wg_v7_pilot9","3LJ7UR74RHERHJJL6H8H6RCNXDSN40","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","11643","LIPSTICK",,"20","0","0","2018-05-25 16:02:42","17214"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","33785","weapon",,"180","1","1","2018-05-25 16:02:48","17215"
"A2WG4XJS7MVT38","cs_wg_v7_pilot9","3QHK8ZVMIMJLEI199J2P1DE42AABLT","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","5","0","2898","Enter your answer here. Sent by: Player. Actions. happyniceguy5 added Enter your answer here to Liberals. Board Voting Â· Enter your answer here ...","Before filling out the FAFSA form, get an FSA ID, understand dependency ... You are here .... Your FSA ID also can be used to sign loan contracts and to access certain information online. ... One thing you don't need for the FAFSAÂ® form is money! ... last year and want to renew it, click â€œLoginâ€ on the home page, enter your .","180","1","0","2018-05-25 16:03:10","17216"
"A243H1RTE5GP","cs_wg_v7_pilot9","39KFRKBFINWPXBXHW3W115GZIOWOY1","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","26","1","12577","Filmmaker",,"20","1","0","2018-05-25 16:03:10","17217"
"A1187B8YT74YAJ","cs_wg_v7_pilot9","3PMBY0YE2749NLS6YMVU7OTRK1SC93","0","Alphabet position of third-to-last letter.","1","[14,15,11,18,18,16,9,2,16,11,12,23]","1","26","1","13129",,"filmmake","20","1","1","2018-05-25 16:03:37","17218"
"A18JMMVN3ZOV8R","cs_wg_v7_pilot9","3H8DHMCCW9C399HB2FHUH3PPGVGKD5","0","Alphabet position of third letter.","0","[18,20,26,11,25,15,21,22,12,19,11,15]","0","25","1","25981","weapon",,"180","1","1","2018-05-25 16:04:15","17219"
"A2WG4XJS7MVT38","cs_wg_v7_pilot9","3QHK8ZVMIMJLEI199J2P1DE42AABLT","0","Alphabet position of third-to-last letter.","1","[13,12,16,9,9,11,18,25,11,16,15,4]","1","5","0","31370",,,"20","1","0","2018-05-25 16:04:15","17220"
"ADZ16EQ74XHJ7","cs_wg_v7_pilot9","3IX2EGZR7BK2ZZUY2VC2LD6GG77JRB","0","Alphabet position of third letter.","0","[9,7,1,16,2,12,6,5,15,8,16,12]","0","5","1","55995","popcorn
",,"180","0","1","2018-05-25 16:05:22","17221"
