"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AF8KEA2127EAN","cs_wg_v7_real5","3R8YZBNQ9HJ933EWO7Y5DXR2VHZQ7O","0","662072","Female","0","No","No","I didn't have a strategy, I just tried to remember the best I could",NULL,NULL,,"8 + 7","[""INFERNO: I read Dante's inferno"",""DOGSLED: I've never seen a dogsled"",""FILMMAKER: Filmmakers are pretentious"",""MAILMAN: Oooh wait a minute mr. mailman"",""SMOKER: Love a BBQ smoker"",""GOLDEN: Golden boy, life is study"",""UNHAPPY: This task makes me unhappy"",""EMBRYO: Embryos are gross"",""RABIES: Possum can't carry rabies"",""POPCORN: I like popcorn"",""STEREOTYPE: Stereotypes are wrong"",""LIPSTICK: I don't know what to write about lipstick""]","[""inferno"",""mailman"",""golden"",""lipstick"",""stereotype"",""popcorn"",""embryo"",""dogsled"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]","2018-05-30 15:14:38","3017"
"AZLKVYU5QZ2Z9","cs_wg_v7_real5","3PB5A5BD0V7IQEKILBTTJJN0PUQG7J","0","744713","Male","0","No","No","It could have been more clear if the words we come up with for the 1-26 cent bonus were from the list or if we could have used any word.",NULL,NULL,,"8+7","[""INFERNO: I've never seen a large fire or inferno in person."",""RABIES: I have seen a raccoon with rabies."",""FILMMAKER: I do not know any filmmakers personally."",""GOLDEN: The ring my friend Ryan wears is golden."",""SMOKER: I am an occasional smoker."",""DOGSLED: When I was young I saw a dogsled pulling a classmate."",""POPCORN: Popcorn is one of my favorite snacks"",""LIPSTICK: My ex would wear lipstick sometimes."",""EMBRYO: Sometimes I wonder if chicken eggs have an embryo inside."",""STEREOTYPE: I fit the stereotype of a vegan."",""UNHAPPY: When I am lonely I am unhappy."",""MAILMAN: My mailman is actually a mail woman.""]","[""rabies"",""unhappy"",""smoker"",""mailman"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]","2018-05-30 15:15:39","3018"
"A1C1YCP428CQ7E","cs_wg_v7_real5","3WQQ9FUS6AVQZBHQFUTLW8SYK14B8K","0","758504","Male","0","No","No",,NULL,NULL,,,"[""Smoker: I am not a smoker"",""Rabies: I have never had rabies"",""Lipstick: I dont wear lipstick"",""Golden: Me when Im debt free"",""Filmmaker: I am not a filmmaker"",""Dogsled: I would try a dogsled"",""Unhappy: I am unhappy"",""Mailman: I am waiting on the mailman"",""Stereotype: I fit the average white guy stereotype"",""Inferno: As a firefighter, I will run into the inferno"",""Embryo: I started as an embryo"",""n/a""]","[""Inferno"",""Embryo"",""Stereotype"",""Dogsled"",""Smoker"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]","2018-05-30 15:16:07","3019"
"A3C12V3FUGJJDI","cs_wg_v7_real5","3GGAI1SQEVZOU5B0NVZZCAZBMRUMCR","0","500827","Female","0","Yes","Yes","GOOD",NULL,NULL,"GOOD","GOOD","[""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT""]","[""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT"",""QUILT""]","2018-05-30 15:16:17","3020"
"A285PGNOKOI08H","cs_wg_v7_real5","386PBUZZXFYRW1ZLXBF6Z1XHC6CJLZ","0","704298","Male","0","No","No","I did not have a strategy because I don't think I knew I'd have to remember all of the words, but writing the sentences surely helped out for recall purposes",NULL,NULL,,"8+7","[""GOLDEN: the sky is golden when the sun sets"",""LIPSTICK: my wife puts on lipstick when we go out"",""POPCORN: we eat popcorn when we watch movies"",""RABIES: animals with rabies are dangerous"",""FILMMAKER: directors are also called filmmakers"",""MAILMAN: my dogs bark at our mailman"",""SMOKER: i know a few smokers and i wish they'd stop"",""UNHAPPY: my neighbors seem unhappy with each other"",""DOGSLED: i've never ridden on a dogsled"",""INFERNO: Forest fires can cause large infernos"",""STEREOTYPE: i always try not to stereotype people"",""EMBRYO: babies start as embryos in their mother's womb""]","[""lipstick"",""inferno"",""embryo"",""stereotype"",""dogsled"",""popcorn"",""filmmaker"",""smoker"",""unhappy"",""i dont remember"",""i dont remember"",""i dont remember""]","2018-05-30 15:16:37","3021"
"AONX6QGGUA3KI","cs_wg_v7_real5","378XPAWRUCEE57OBI25GEM265FOAIW","0","802994","Female","0","No","No","Just trying to get things answered in time!",NULL,NULL,,"13-1","[""inferno: Hawaii is an inferno"",""popcorn: I love stovetop popcorn"",""stereotype: I am not a stereotype "",""unhappy: I don't like being unhappy"",""embryo: I wish everyone would let women decide about their embryo"",""smoker: I do not appreciate the smell of smokers"",""filmmaker: I have no idea"",""dogsled: I think the dogs are great when they dogsled"",""lipstick: my niece wears a lot of lipstick"",""rabies: i used to vaccinate for rabies"",""mailman: the mailman appreciates good dogs"",""golden: I love the golden hour""]","[""stereotype"",""lipstick"",""dogsled"",""golden"",""mailman"",""inferno"",""rabies"",""popcorn"",""unhappy"",""embryo"",""I don't remember"",""I don't remember""]","2018-05-30 15:16:45","3022"
"A2XGJKNLRYKERC","cs_wg_v7_real5","3PW9OPU9PQLE0YX9XGRVG52MCPM21Q","0","723672","Female","0","No","No","just kept repeating the words every few minutes so i could remember them",NULL,NULL,,"6+8","[""stereotype-don't have one"",""embryo-came from one"",""popcorn-work"",""filmmaker-work"",""dogsled-i have a dog "",""golden-hair color "",""lipstick-gross"",""smoker-mike"",""inferno-kane"",""rabies-scary bat"",""mailman-currently waiting for "",""unhappy""]","[""inferno"",""mailman"",""lipstick"",""embryo"",""dogsled"",""unhappy"",""sterotype"",""popcorn"",""filmmaker"",""smoker"",""i don't remember"",""i don't rememeber ""]","2018-05-30 15:17:03","3023"
"A1QXCUL98HP53","cs_wg_v7_real5","3WQQ9FUS6AVQZBHQFUTLW8SYK148BH","0","801619","Male","0","Yes","Yes","NICE",NULL,NULL,"11","75","[""RABIES"",""EMBROYO "",""DOGSLED"",""LIPSTICK"",""INFERNO"",""FILMMAKER"",""STEREOTYPE, MAILMAN, SMOKER, POPCORN, UNHAPPY\nSTEREOTYPE, MAILMAN, SMOKER, POPCORN, UNHAPPY\nSTEREOTYPE, MAILMAN, SMOKER, POPCORN, UNHAPPY\nSTEREOTYPE"",""MAILMAN"",""SMOKER"",""POPCORN"",""UNHAPPY"",""STEREOTYPE""]","[""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]","2018-05-30 15:17:03","3024"
"A2JFM3OPID0ZFQ","cs_wg_v7_real5","3B4YI393V9X7ZHD14ELL3O2Z0JXSS2","0","819842","Female","0","No","No","I just kept saying them over and over in my mind.",NULL,NULL,,"10 + 1, 3 + 6, 15 - 2, 5 * 2","[""mailman"",""popcorn"",""filmmaker"",""smoker"",""embryo"",""inferno"",""rabies"",""golden"",""stereotype"",""unhappy"",""dogsled"",""lipstick""]","[""embryo"",""mailman"",""lipstick"",""inferno"",""filmmaker"",""dogsled"",""stereotype"",""rabies"",""smoker"",""popcorn"",""unhappy"",""golden""]","2018-05-30 15:17:24","3025"
"A1JG0SJHUXT1FW","cs_wg_v7_real5","384PI804XS27Y8TPVC21TIWG5RE0SN","0","791596","Male","0","No","No","none, word association, minor rope memory",NULL,NULL,,"8 +7","[""stereotype - type stereo"",""popcorn - theatre"",""filmmaker - theatre"",""inferno - movie"",""golden - movie"",""embryo - egg"",""dogsled - alaskan movie"",""unhappy - paying popcorn"",""smoker - can't do at movie"",""lipstick - starlett"",""mailman - rings twice "",""rabies - dog bites mailman""]","[""unhappy"",""stereotype"",""lipstick"",""mailman"",""rabies"",""dogsled"",""golden"",""embryo"",""filmmaker"",""popcorn"",""I don't remember"",""I don't remember""]","2018-05-30 15:17:37","3026"
