subject,version,assignmentId,word,word_ind,s1_value,s2_value,exposures,stamp,id
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,COSTUME,0,5,21,10,6/5/18 20:24,61194
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,FLIGHT,1,12,7,10,6/5/18 20:24,61193
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,CHIMNEY,2,8,14,10,6/5/18 20:24,61195
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,COFFIN,3,17,6,10,6/5/18 20:24,61196
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,BUCKET,4,9,11,10,6/5/18 20:24,61197
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,CELERY,5,16,5,10,6/5/18 20:24,61198
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,GOGGLES,6,5,12,10,6/5/18 20:24,61202
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,WALRUS,7,6,18,10,6/5/18 20:24,61200
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,TENNIS,8,5,14,10,6/5/18 20:24,61204
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,NICKEL,9,3,11,10,6/5/18 20:24,61203
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,SILVER,10,3,22,10,6/5/18 20:24,61199
 A34YH4SO3FPCA,cs_wg_full_v1_pilot1,3PDJHANYK5HDMA1OM76JY5Z6BEZH6U,DOMINO,11,8,10,10,6/5/18 20:24,61201
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,LIQUID,0,5,21,10,6/5/18 20:00,61101
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,JUNGLE,1,12,7,10,6/5/18 20:00,61098
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,MAGNET,2,8,14,10,6/5/18 20:00,61097
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,COFFIN,3,17,6,10,6/5/18 20:00,61100
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,MONKEY,4,9,11,10,6/5/18 20:00,61099
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,PRIEST,5,16,5,10,6/5/18 20:00,61102
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,ROYALTY,6,5,12,10,6/5/18 20:00,61105
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,WALRUS,7,6,18,10,6/5/18 20:00,61104
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,BROWNIE,8,5,14,10,6/5/18 20:00,61103
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,CRICKET,9,3,11,10,6/5/18 20:00,61107
A014297063OPPUEBTOLM,cs_wg_full_v1_pilot1,3O6CYIULED2GLBMEDOQMFEN9TOTWUA,BEAVER,10,3,22,10,6/5/18 20:00,61108
