"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","early1","early2","stamp","id"
"A3OB7UDJLQIAKE","cs_wg_full_v1_real1","3RSDURM96AN3LKKS2PT5WTMMIUJEY2","normal","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","19123","costume","jacket
cannon
bagpipe
costume","21000",,,"2018-06-06 18:56:29","18018"
"A30GC46VOB82C3","cs_wg_full_v1_real1","3483FV8BEEK97KY63M3CB1T4MH062S","reversed","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","50075","canvas","addict
canvas","21000",,,"2018-06-06 18:56:36","18019"
"A93BV5HG02AA","cs_wg_full_v1_real1","3E4GGUZ1T8SG6ZJV5QXDLKYMNCKK2B","normal","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","34374","canvas","canvas
","21000",,,"2018-06-06 18:56:42","18020"
"A1779TXIN3RTNI","cs_wg_full_v1_real1","36H9ULYP62V5W9PPB0C84OSYHRPFJR","reversed","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","24744","SHIVER","LIQUID SHIVER CAM","21000",,,"2018-06-06 18:56:46","18021"
"ADAGUJNWMEPT6","cs_wg_full_v1_real1","3XUHV3NRVKZH361AHOWE6ZL6F57H55","normal","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","12477","shiver","bikini
shiver","21000",,,"2018-06-06 18:57:16","18022"
"A3TA5GD5EX50QT","cs_wg_full_v1_real1","3DOCMVPBTNFD3RTROMND50IOS2GNNA","reversed","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","29665","SPATULA",,"21000",,,"2018-06-06 18:57:19","18023"
"A2XC32LYCBO8FN","cs_wg_full_v1_real1","3U8YCDAGXPHVLSEC38DWYIHGPKSQ0P","normal","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","28814","goggles","waffle goggles bagpipe beaver science","21000",,,"2018-06-06 18:57:22","18024"
"A1QRGVE005067Q","cs_wg_full_v1_real1","39K0FND3AHG01QE23H386F9OO57AMD","reversed","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","35389","banquet",,"21000",,,"2018-06-06 18:57:32","18025"
"A2YC7E5HFYGSJD","cs_wg_full_v1_real1","3S0TNUHWKTJJE8FATQKRRYGZP3FD8U","reversed","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","22502","BEAVER",,"21000",,,"2018-06-06 18:58:04","18026"
"A3S5ZB4D98JWT1","cs_wg_full_v1_real1","3WYP994K17SZ85RDW7A7K5U91WV6Y9","normal","Third-to-last letter late","0","[21,7,14,6,11,5,12,18,14,11,22,9]","0","26","1","22605","coffin","celery
coffin
","21000",,,"2018-06-06 18:58:06","18027"
