"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A3SHZQLYH7L1V4","cs_wg_full_v2_pilot2","3K5TEWLKGVCYXVR9TXWCA9GKY5RVIQ","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","42464","0","1","demon",,"16000",,,"2018-06-30 17:15:45","20835"
"A3SHZQLYH7L1V4","cs_wg_full_v2_pilot2","3K5TEWLKGVCYXVR9TXWCA9GKY5RVIQ","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""picture:false"",""tongue:false"",""almond:false"",""coffin:false"",""pickle:false"",""parent:true"",""demon:true"",""spiral:false"",""walnut:false"",""bullet:true"",""beaver:false"",""domino:false""]",,"47587",,,"2018-06-30 17:16:33","20836"
"A2QTFUJ1ON2ZR2","cs_wg_full_v2_pilot2","3VZLGYJEYLBCWALETGLGYPGVAT1XZS","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","32136","0","1","silver",,"16000",,,"2018-06-30 17:17:20","20838"
"A1Z0ECR2X12MPW","cs_wg_full_v2_pilot2","3NJM2BJS4W7UF88DFBRRTET7ZC6PCX","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","48236","0","1","sunburn","3rd to last final","16000",,,"2018-06-30 17:20:06","20841"
"A3EKKEZ21SGJEC","cs_wg_full_v2_pilot2","3IFS6Q0HJIKI53A5Z2R7ZMWDZ1XSII","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","32148","0","1","heaven
heaven",,"16000",,,"2018-06-30 17:20:23","20842"
"A2QTFUJ1ON2ZR2","cs_wg_full_v2_pilot2","3VZLGYJEYLBCWALETGLGYPGVAT1XZS","memory","Memory","1","[]","1","30","1","26477",,"0","[""royalty"",""silver"",""jungle"",""priest"",""carrot"",""baboon"",""animal"",""penguin"",""walnut"",""addict"",""coffin"",""monkey""]","[""2"",""7"",""12"",""8"",""4"",""1"",""6"",""11"",""10"",""9"",""3"",""5""]","181000",,,"2018-06-30 17:20:49","20844"
"A2FJUGTKTCIB0","cs_wg_full_v2_pilot2","33UKMF9319L9TH3VIEV1NYU8C1RTTP","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","33814","0","1","costume",,"16000",,,"2018-06-30 17:20:59","20845"
"A2FJUGTKTCIB0","cs_wg_full_v2_pilot2","33UKMF9319L9TH3VIEV1NYU8C1RTTP","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""costume:true"",""tongue:false"",""throne:false"",""giraffe:false"",""smoker:false"",""celery:false"",""animal:false"",""chorus:true"",""chimney:false"",""pillar:false"",""canvas:false"",""casino:false""]",,"18756",,,"2018-06-30 17:21:19","20846"
"A24UUWI8IIJKT6","cs_wg_full_v2_pilot2","34HJIJKLP5X4POSU88U8G861TNQV4B","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27421","0","1","Bagpipe",,"16000",,,"2018-06-30 17:21:32","20848"
"A24UUWI8IIJKT6","cs_wg_full_v2_pilot2","34HJIJKLP5X4POSU88U8G861TNQV4B","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""liquid:false"",""dragon:false"",""throne:false"",""muffin:false"",""chicken:false"",""priest:false"",""demon:false"",""chorus:false"",""cabinet:false"",""royalty:false"",""heaven:true"",""bagpipe:true""]",,"6613",,,"2018-06-30 17:21:39","20849"
"A2PWUACCQI97J8","cs_wg_full_v2_pilot2","3LKC68YZ3A4L862HH2EDG8VKHNSWOW","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","78620","26","0","heaven
heaven","heaven","16000",,,"2018-06-30 17:22:54","20852"
"A2PWUACCQI97J8","cs_wg_full_v2_pilot2","3LKC68YZ3A4L862HH2EDG8VKHNSWOW","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""banquet:false"",""budget:false"",""throne:false"",""firefly:false"",""turkey:false"",""forgery:false"",""abdomen:false"",""carrot:false"",""science:false"",""pillar:false"",""heaven:true"",""bikini:false""]",,"19237",,,"2018-06-30 17:23:14","20853"
"A342D4DOMDD3Q9","cs_wg_full_v2_pilot2","36WLNQG78ZB78CRHSXFLOIOL3K4BER","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","30039","0","1","canvas",,"16000",,,"2018-06-30 17:23:14","20854"
