"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A3542PB4Z0NE80","cs_wg_full_v2_conf_p","3EJJQNKU9R668TZ8EV9H90Q2EV3RHN","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","20003","0","1","silver",,"16000",,,"2018-07-02 20:19:34","21934"
"A3542PB4Z0NE80","cs_wg_full_v2_conf_p","3EJJQNKU9R668TZ8EV9H90Q2EV3RHN","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""sunburn:false"",""tongue:false"",""throne:false"",""muffin:false"",""chicken:false"",""parent:false"",""summer:false"",""chorus:false"",""cannon:false"",""royalty:false"",""silver:true"",""addict:false""]",,"13640",,,"2018-07-02 20:19:49","21935"
"AAXVPAK0I9PT6","cs_wg_full_v2_conf_p","3LBXNTKX0RWXQJ31PIRHL1E2WZGX9Z","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","41908","0","1","Priest",,"16000",,,"2018-07-02 20:21:59","21936"
"AXFK8W13EYDUX","cs_wg_full_v2_conf_p","3JAOYWH7VI52QPMCBZOTA7JFPQ79LQ","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","23641","0","1",,"priest
animal
monkey
spatula
coffee
scie","16000",,,"2018-07-02 20:22:24","21937"
"AXFK8W13EYDUX","cs_wg_full_v2_conf_p","3JAOYWH7VI52QPMCBZOTA7JFPQ79LQ","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""spatula:true"",""budget:true"",""factory:true"",""coffee:true"",""monkey:false"",""priest:true"",""animal:true"",""carrot:false"",""science:false"",""goggles:false"",""shiver:false"",""addict:false""]",,"17224",,,"2018-07-02 20:22:42","21938"
"AAXVPAK0I9PT6","cs_wg_full_v2_conf_p","3LBXNTKX0RWXQJ31PIRHL1E2WZGX9Z","memory","Memory","1","[]","1","30","1","51107",,"0","[""Priest"",""Abdomen"",""Dollar"",""Bikini"",""Sunburn"",""Tongue"",""Chorus"",""Firefly"","""","""","""",""""]","[""7"",""3"",""11"",""5"",""1"",""6"",""2"",""12"","""","""","""",""""]","181000",,,"2018-07-02 20:25:54","21939"
"A32XNYX09SMR01","cs_wg_full_v2_conf_p","3ZSANO2JCF8YVC8FYULMWPJLKIBFS3","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","39974","0","1","silver","silver","16000",,,"2018-07-02 20:27:15","21940"
"A32XNYX09SMR01","cs_wg_full_v2_conf_p","3ZSANO2JCF8YVC8FYULMWPJLKIBFS3","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""sunburn:false"",""dragon:false"",""baboon:false"",""waffle:false"",""smoker:false"",""friend:false"",""animal:false"",""chorus:false"",""chimney:false"",""javelin:false"",""silver:false"",""addict:false""]",,"22281",,,"2018-07-02 20:27:38","21941"
"A303X7UXRA6FP2","cs_wg_full_v2_conf_p","3TE3O8573092T3WQVA6AMWK0PCM2RH","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","33271","0","1","chorus
","javelin
chorus
","16000",,,"2018-07-02 20:27:45","21942"
"A303X7UXRA6FP2","cs_wg_full_v2_conf_p","3TE3O8573092T3WQVA6AMWK0PCM2RH","memory","Memory","1","[]","1","30","1","19434",,"0","[""chorus"",""Almond"",""baptism"",""coffee"",""fireman"",""javelin"",""camera"",""turkey"",""spatula"","""","""",""""]","[""1"",""2"",""3"",""4"",""5"",""7"",""12"",""11"",""9"","""","""",""""]","181000",,,"2018-07-02 20:31:07","21943"
"A1I6FBVN7DY49L","cs_wg_full_v2_conf_p","3LUY3GC63Z1O3RDHOUJGDS1TZAK7PA","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","66538","0","1",,,"16000",,,"2018-07-02 20:33:08","21944"
"A1ZFEXSYUTCK57","cs_wg_full_v2_conf_p","3EWIJTFFVO86OPO7UHIW41S2DQK0ES","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","64797","0","1",,"penguin, ","16000",,,"2018-07-02 20:35:10","21945"
"A1ZFEXSYUTCK57","cs_wg_full_v2_conf_p","3EWIJTFFVO86OPO7UHIW41S2DQK0ES","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:true"",""dagger:false"",""factory:true"",""giraffe:false"",""basket:false"",""bakery:false"",""abdomen:false"",""walrus:true"",""chimney:false"",""bullet:false"",""heaven:false"",""domino:false""]",,"19336",,,"2018-07-02 20:35:31","21946"
"A1JH27GMNQDE6A","cs_wg_full_v2_conf_p","35H6S234SA116HHTL55A98WGDZ156P","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","38505","0","1","trivia",,"16000",,,"2018-07-02 20:35:36","21947"
"A1I6FBVN7DY49L","cs_wg_full_v2_conf_p","3LUY3GC63Z1O3RDHOUJGDS1TZAK7PA","memory","Memory","1","[]","1","30","1","52252",,"0","[""coffee"",""animal "",""budget "",""goggles "",""smoker "",""bakery "",""heaven "",""spiral "",""cant remember"",""cant remember "",""cant remember "",""cant remember ""]","[""12"",""7"",""4"",""11"",""1"",""10"",""8"",""3"",""cant remember"",""cant remember"",""cant remember "",""cant rem""]","181000",,,"2018-07-02 20:37:03","21948"
"A2XBG28E8AA6MW","cs_wg_full_v2_conf_p","37C0GNLMHF4WAUWM0BNT7KK8QGYD64","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","37638","0","1","beaver","beaver","16000",,,"2018-07-02 20:37:46","21949"
"A1JH27GMNQDE6A","cs_wg_full_v2_conf_p","35H6S234SA116HHTL55A98WGDZ156P","memory","Memory","1","[]","1","30","1","54473",,"0","[""camera"",""chorus"",""royalty"",""chicken"",""sunburn"",""casino"",""trivia"",""dagger"",""summer"",""giraffe"",""baboon"",""tennis""]","[""12"",""11"",""10"",""9"",""8"",""7"",""6"",""5"",""4"",""3"",""2"",""1""]","181000",,,"2018-07-02 20:39:33","21950"
"A2XBG28E8AA6MW","cs_wg_full_v2_conf_p","37C0GNLMHF4WAUWM0BNT7KK8QGYD64","memory","Memory","1","[]","1","30","1","21351",,"0","[""beaver"",""dollar"",""chicken"",""priest"",""waffle"",""baboon"",""budget"",""hermit"",""church"",""cabinet"",""casino"",""picture""]","[""10"",""9"",""12"",""11"",""4"",""3"",""1"",""2"",""5"",""6"",""7"",""8""]","181000",,,"2018-07-02 20:41:10","21951"
"A3IZBLUBBAYCQN","cs_wg_full_v2_conf_p","3OSWBBLG1EY9T9GI1YWJ7XXSNKWXDH","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","45469","0","1","battery",,"16000",,,"2018-07-02 20:42:09","21952"
"A3HJD15VKJO9V2","cs_wg_full_v2_conf_p","3Q5C1WP23M26ZVGWFZTTEC5Z5OL51R","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","55983","0","1","beaver","beaver
liquid","16000",,,"2018-07-02 20:42:18","21953"
"A2I960JYUZ8KAV","cs_wg_full_v2_conf_p","3YHH42UU5BGKUVYZB350HWIMMNW0LQ","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","36815","0","1","SPONGE",,"16000",,,"2018-07-02 20:42:24","21954"
"A2YLK83DQ6PA5Y","cs_wg_full_v2_conf_p","3JC6VJ2SABK2TJTWBIMMPDY29IP5AD","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","27090","0","1","chimney","traffic addict forgery chimbney","16000",,,"2018-07-02 20:44:14","21955"
"A2YFTTVAH9AFXU","cs_wg_full_v2_conf_p","31LM9EDVOLTHK1269OVLCT17QQKNJ2","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","26194","15","0","fiddle","fizzle third last letter in the alphabet","16000",,,"2018-07-02 20:44:25","21956"
