"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A3N7DA9P7ILG3A","cs_wg_full_v2_conf_real1","3YMU66OBIN9FJ3QUYKF5AWCVCUXGH1","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","31930","0","1","baboon","dragon
priest
baboon
","16000",,,"2018-07-03 14:23:39","22000"
"A3N7DA9P7ILG3A","cs_wg_full_v2_conf_real1","3YMU66OBIN9FJ3QUYKF5AWCVCUXGH1","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""picture:false"",""dragon:true"",""baboon:true"",""traffic:false"",""monkey:true"",""priest:false"",""demon:true"",""spiral:false"",""kidney:false"",""royalty:false"",""shiver:false"",""baptism:false""]",,"21759",,,"2018-07-03 14:24:02","22001"
"A2AQS3E7V8BL25","cs_wg_full_v2_conf_real1","3YGXWBAF70I8QFMUHRZ3QGIC9XJ4CT","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","52701","0","1","chorus","cannon
chorus","16000",,,"2018-07-03 14:25:38","22002"
"A3FY600RAREUWJ","cs_wg_full_v2_conf_real1","3JBT3HLQF837N1JN7PBZ4CUS9B1ZPE","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","16966","0","1","PENGUIN","DOMINO
CHICKEN
PRIEST
PENGUIN","16000",,,"2018-07-03 14:27:15","22003"
"A3FY600RAREUWJ","cs_wg_full_v2_conf_real1","3JBT3HLQF837N1JN7PBZ4CUS9B1ZPE","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:true"",""tongue:false"",""baboon:false"",""waffle:false"",""chicken:true"",""priest:true"",""demon:false"",""eardrum:false"",""magnet:false"",""royalty:false"",""shiver:false"",""domino:true""]",,"15784",,,"2018-07-03 14:27:31","22004"
"A2AQS3E7V8BL25","cs_wg_full_v2_conf_real1","3YGXWBAF70I8QFMUHRZ3QGIC9XJ4CT","memory","Memory","1","[]","1","30","1","46132",,"0","[""cannon"",""pillar"",""chorus"",""waffle"",""parent"",""bikini"",""penguin"",""budget"",""factory"",""basket"",""heaven"",""summer""]","[""12"",""11"",""2"",""3"",""1"",""9"",""7"",""6"",""10"",""4"",""5"",""8""]","181000",,,"2018-07-03 14:29:27","22005"
"A34KBXMFSX192X","cs_wg_full_v2_conf_real1","3PZDLQMM0TMYN177DDGFX1LEPJNC25","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","41894","0","1","monkey","monkey","16000",,,"2018-07-03 14:29:59","22006"
"A1NKALTJ3MV9WE","cs_wg_full_v2_conf_real1","32M8BPYGATNFFY1E42XQA8DAC7CGIU","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","43532","0","1","spatula",,"16000",,,"2018-07-03 14:30:10","22007"
"A34KBXMFSX192X","cs_wg_full_v2_conf_real1","3PZDLQMM0TMYN177DDGFX1LEPJNC25","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""spatula:false"",""flight:false"",""balcony:false"",""waffle:false"",""monkey:true"",""battery:false"",""summer:true"",""eardrum:false"",""kidney:false"",""royalty:false"",""heaven:false"",""casino:false""]",,"13481",,,"2018-07-03 14:30:14","22008"
"A2ZXEIWT5I1E16","cs_wg_full_v2_conf_real1","3EFVCAY5L3AWHUF23M62UWBC13PJ8U","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","22615","0","1","baboon","baboon","16000",,,"2018-07-03 14:31:11","22009"
"A1UM1PRML2NIZK","cs_wg_full_v2_conf_real1","3ZY8KE4ISJ4BETFS651LJB76QWHQVW","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","50755","0","1","heaven",,"16000",,,"2018-07-03 14:31:14","22010"
"A15E4I3BZKHNUV","cs_wg_full_v2_conf_real1","3WMOAN2SRBYQBW20QD94FHC1LLUNV6","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","72631","0","1","jungle","penguin church","16000",,,"2018-07-03 14:31:16","22011"
"A15E4I3BZKHNUV","cs_wg_full_v2_conf_real1","3WMOAN2SRBYQBW20QD94FHC1LLUNV6","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""penguin:true"",""jungle:true"",""baboon:false"",""coffee:false"",""monkey:false"",""parent:false"",""abdomen:false"",""church:true"",""walnut:false"",""bullet:false"",""heaven:false"",""bikini:false""]",,"29412",,,"2018-07-03 14:31:46","22012"
"A6WXXHDSS0PWB","cs_wg_full_v2_conf_real1","3WETL7AQWT929YUB237C25KW3G2350","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","23568","0","1","Spatula",,"16000",,,"2018-07-03 14:31:49","22013"
"A6WXXHDSS0PWB","cs_wg_full_v2_conf_real1","3WETL7AQWT929YUB237C25KW3G2350","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""spatula:true"",""flight:false"",""peacock:false"",""coffee:false"",""turkey:false"",""friend:true"",""animal:false"",""church:false"",""tennis:false"",""royalty:false"",""canvas:false"",""casino:true""]",,"25289",,,"2018-07-03 14:32:15","22014"
"A1MJX6Q6BTWA6","cs_wg_full_v2_conf_real1","3PH3VY7DJLYX7AGOJBPUW62O284WZ6","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","46124","0","1","jacket",,"16000",,,"2018-07-03 14:32:27","22015"
"ATPP8K1QW0ID4","cs_wg_full_v2_conf_real1","3018Q3ZVOIRRY6RU8PZPSE3Y18IRAX","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","34580","0","1","abdomen
",,"16000",,,"2018-07-03 14:32:38","22016"
"A1MJX6Q6BTWA6","cs_wg_full_v2_conf_real1","3PH3VY7DJLYX7AGOJBPUW62O284WZ6","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""liquid:false"",""dragon:true"",""factory:false"",""waffle:false"",""jacket:true"",""friend:false"",""animal:false"",""church:false"",""walnut:false"",""bullet:false"",""silver:false"",""addict:false""]",,"14554",,,"2018-07-03 14:32:42","22017"
"A2JYMJRDXYSJY1","cs_wg_full_v2_conf_real1","308XBLVESI5WHGWME3ZLNPN4JQ3BRC","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","26420","0","1","banquet",,"16000",,,"2018-07-03 14:33:14","22018"
"A200H4TX468LE","cs_wg_full_v2_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q379HWZ78","choice-set","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","28338","26","0","cocacola",,"16000",,,"2018-07-03 14:33:32","22019"
"A223BBAD3U6QFR","cs_wg_full_v2_conf_real1","3HL8HNGX452GQXCGPOLVFUEVS2P9F5","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","80720","26","0",,,"16000",,,"2018-07-03 14:33:36","22020"
"A200H4TX468LE","cs_wg_full_v2_conf_real1","3XLBSAQ9Z4DIHVFNB3HI4Q379HWZ78","choice-set","choice-set","2","[21,7,15,6,11,5,13,18,14,12,22,9]","2","-1","-1","-1",,"0","[""costume:false"",""budget:false"",""factory:false"",""giraffe:false"",""cricket:false"",""forgery:false"",""hermit:false"",""carrot:false"",""science:false"",""dollar:false"",""trivia:false"",""bagpipe:false""]",,"5010",,,"2018-07-03 14:33:38","22021"
"ALWBY9MDZO4Y6","cs_wg_full_v2_conf_real1","3WAKVUDHUWH1VWLD5GIANYOS7ZGU7D","memory","Third-to-last letter late","0","[21,7,15,6,11,5,13,18,14,12,22,9]","0","26","1","21934","0","1","spiral",,"16000",,,"2018-07-03 14:33:38","22022"
