"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AD1WGUMVD6KED","cs_wg_v3_poss_real1","36U2A8VAG1067KC2YB48UOZOPTJYKV","80481","1515369","Female","765","No","Just trying to remember as quickly as possible what I had learned from part 1",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:19:27","531"
"A3KECQ3YIW2I0F","cs_wg_v3_poss_real1","3RUIQRXJBBPXRRNL0WRJFGA75EKLLT","62182","1635317","Male","730","No","It was a very interesting study and really tested my memory skills. I rather enjoyed it. My main goal in Part 2 was to recall all the words that were greyed out so I could hit ""No"" to those with certainty. The other words I tried to recall if they gave a bonus or not and gave my answer based on how well I could remember with how little time I was given. Thanks for the opportunity! ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:21:55","532"
"A3F8G26PENQ6EO","cs_wg_v3_poss_real1","3VNL7UK1XFKZACLUNUQC6UF42VKTFZ","89761","1728759","Female","725","No","1 second was way to fast at least 1 second to read the question and 1 second to answer.

So if I saw a word I know shouldn't have been chosen I simply choose no for all the questions since I wasn't able to read them at my own pace.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:23:05","533"
"A1FHH3XEFEQYV7","cs_wg_v3_poss_real1","33CID57104UGBNXWUQNJJUGQ5SU3LY","134829","1674923","Male","775","No","Part 2 went too fast, I really tried to give correct responses to the questions but I couldn't read the questions fast enough and then reply",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:23:10","534"
"A3TYA2ATHN50AW","cs_wg_v3_poss_real1","31LVTDXBL7B8UPIY5GOF1SJ6B69LRJ","74354","1834408","Female","695","No","to try to remember if the word was there and if it was worth any points",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:24:56","535"
"A1N4AZ1QXPOPXH","cs_wg_v3_poss_real1","3VSOLARPKBALALWN5TKTELPV5YD391","58001","1651235","Male","725","No","Tried not to think as much so I could just answer in the moment but still had some difficulties.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:25:11","536"
"A3QJJR5Y3XE92N","cs_wg_v3_poss_real1","3SBEHTYCWN4F1PMEY8JWH8KBXPUYIK","154060","1862271","Male","720","No","Just tried to remember the words from part 1. For the words I hadn't seen before I couldn't tell so I thought I shouldn't pick them if I was able to.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:25:25","537"
"A1MV2B8I02QVOE","cs_wg_v3_poss_real1","39LOEL67OS6LWGDD01EFEPUKLSV38C","82793","1735040","Male","735","No","If I knew the word was worth 10 in part 1 then I selected Y for all.  If I had never seen the word, the word was worth 0, or the word was grey, then I selected N for all.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:25:51","538"
"A3PIIKN7MTJ3O7","cs_wg_v3_poss_real1","3HHRAGRYX86AWAP9OR4L2ON60P8O9G","96612","1910693","Female","740","No","Focus on the word being shown and answer as best I could.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:26:29","539"
"A31PCN2LP7DP8I
","cs_wg_v3_poss_real1","3LWJHTCVCCNMIWT26QWH1P4HIOLQFI","151974","1971725","Female","730","No","I tried to commit each word to memory and how much each word was worth. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:27:43","540"
"A142ZRU284W9O","cs_wg_v3_poss_real1","3QBD8R3Z21K9Z4JX7W8ULGCQEXUO4K","47862","2030206","Male","680","No","I tried to keep up and make snap judgments but it went very fast.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:27:52","541"
"AS30B1NLM2G4V","cs_wg_v3_poss_real1","3P1L2B7AD1Q5XCQIDO7B7XE10JPLOA","93655","1889021","Female","760","No","My strategy was to read the word as fast as I could and then choose yes or no.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:27:58","542"
"A3TJ3ORKWH4IYW","cs_wg_v3_poss_real1","3I3WADAZ9Q5RVNNXL1R4Q8I4ETPO5P","49528","1794234","Female","715","No","My strategy was strictly using my memory. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:28:15","543"
"A39WGGJ22N4S4F","cs_wg_v3_poss_real1","3BDCF01OGXVHRQUKJBG99OC3ETOYLY","189083","1887681","Female","755","No","I tried to remember what words I saw and how much they were worth",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:29:14","544"
"A3GDTSFHVBUJHD","cs_wg_v3_poss_real1","3K9FOBBF2HKNFRQ6C97YS8EWA9KLNV","82727","1905170","Female","765","No","This was unique and fun so thanks i just tried my best to remember!",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:29:42","545"
"AY6HFCSWZJ9WD","cs_wg_v3_poss_real1","3Q5C1WP23M26ZVGWFZTTEC5WLIG15G","174476","2087644","Male","700","No","I had slight trouble trying to remember, and sometimes I mixed them up, but I think I did somewhat ok. Interesting study. Glad I could take part in it.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:30:19","546"
"A3PG5AKYG7QW2","cs_wg_v3_poss_real1","3EICBYG644XYTX5FKYM7WI7S7G1JC9","141544","2153546","Male","770","No","Part 2 was rather difficult with how fast it was going, by the time I had a chance to comprehend what was being asked it was just about to go away. Strategically, I tried to focus on the word first. If it was a word that didn't exist in part 1, then the answers were all no, if the word was not selectable in part 1 then the answers were also all 1. Otherwise, it was a matter of first remembering if the word was good or bad, then trying to figure out if the question was associated with a positive ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-29 17:30:27","547"
