"subject","version","assignmentId","trial","trial_type","word","value","alt","choice","rt","resp","resp2","stamp","id"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","0","0","BOOKSHELF","10","5","0","3601","Bookshelf","10","2018-01-26 19:12:25","169652"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","1","0","STRUCTURE","0","5","1","3238","structure","0","2018-01-26 19:12:37","169653"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","2","0","MACHINE","1","5","0","2438","machine","1","2018-01-26 19:12:46","169654"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","3","0","UMBRELLA","10","5","0","2439","umbrella","10","2018-01-26 19:12:57","169655"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","4","0","BOOKSHELF","10","5","0","1702","bookshelf","10","2018-01-26 19:13:06","169656"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","5","0","BASKET","9","5","0","1702","basket","9","2018-01-26 19:13:14","169657"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","6","0","STRUCTURE","0","5","0","1734","structure","0","2018-01-26 19:13:22","169658"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","0","0","TRAFFIC","10","5","0","3635","traffic","10","2018-01-26 19:13:23","169659"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","7","0","UMBRELLA","10","5","0","1893","umbrella","10","2018-01-26 19:13:31","169660"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","8","0","DOORWAY","0","5","1","2054","doorway","0","2018-01-26 19:13:39","169661"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","1","0","UMBRELLA","10","5","0","3577","umbrella","10","2018-01-26 19:13:44","169662"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","9","0","DOORWAY","0","5","1","1126","doorway","0","2018-01-26 19:13:47","169663"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","10","0","COMMUNITY","9","5","0","1014","community","9","2018-01-26 19:13:54","169664"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","11","0","STOMACH","0","5","0","919","stomach","0","2018-01-26 19:14:01","169665"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","2","0","FOOTBALL","0","5","0","1667","football","0","2018-01-26 19:14:02","169666"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","12","0","MACHINE","1","5","0","2486","machine","1","2018-01-26 19:14:09","169667"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","13","0","STOMACH","0","5","1","1527","stomach","0","2018-01-26 19:14:16","169668"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","3","0","HELICOPTER","1","5","0","1538","helicoptor","1","2018-01-26 19:14:22","169669"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","14","0","LADDER","1","5","0","742","ladder","1","2018-01-26 19:14:24","169670"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","15","0","KEYBOARD","9","5","1","1926","keyboard","9","2018-01-26 19:14:33","169671"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","4","0","LADDER","10","5","0","1194","ladder","10","2018-01-26 19:14:39","169672"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","16","0","BASKET","9","5","1","2055","basket","9 ","2018-01-26 19:14:41","169673"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","17","0","LADDER","1","5","1","1510","ladder","1","2018-01-26 19:14:49","169674"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","5","0","DOORWAY","0","5","0","2217","doorway","0","2018-01-26 19:14:57","169675"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","18","0","MACHINE","1","5","1","4116","machine","1","2018-01-26 19:14:59","169676"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","19","0","BOOKSHELF","10","5","0","886","bookshelf","10","2018-01-26 19:15:05","169677"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","20","0","MACHINE","1","5","1","1398","machine","1","2018-01-26 19:15:12","169678"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","6","0","UMBRELLA","10","5","0","3378","umbrella","10","2018-01-26 19:15:18","169679"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","21","0","FOOTBALL","1","5","0","3495","football","1","2018-01-26 19:15:22","169680"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","22","0","HELICOPTER","10","5","1","2022","helicopter","10","2018-01-26 19:15:30","169681"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","23","0","STRUCTURE","0","5","1","1638","structure","0","2018-01-26 19:15:37","169682"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","7","0","STOMACH","1","5","0","8905","stomach","1","2018-01-26 19:15:39","169683"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","24","0","WEDDING","10","5","0","998","wedding","10","2018-01-26 19:15:49","169684"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","25","0","WEDDING","10","5","0","711","wedding","10","2018-01-26 19:15:55","169685"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","8","0","BOOKSHELF","9","5","0","1537","bookshelf","9","2018-01-26 19:15:56","169686"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","26","0","TRAFFIC","0","5","1","1350","traffic","0","2018-01-26 19:16:03","169687"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","27","0","FOOTBALL","1","5","0","1654","football","1","2018-01-26 19:16:10","169688"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","9","0","MACHINE","0","5","0","1185","machine","0","2018-01-26 19:16:10","169689"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","28","0","WEDDING","10","5","0","630","wedding","10","2018-01-26 19:16:16","169690"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","29","0","COMMUNITY","9","5","0","1062","community","9","2018-01-26 19:16:23","169691"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","10","0","BASKET","10","5","0","1042","basket","10","2018-01-26 19:16:27","169692"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","11","0","STRUCTURE","0","5","0","1874","structure","0","2018-01-26 19:16:57","169693"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","12","0","TRAFFIC","10","5","0","1769","traffic","10","2018-01-26 19:17:10","169694"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","13","0","HELICOPTER","1","5","1","8554","helicoptor","1","2018-01-26 19:17:33","169695"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","14","0","BASKET","10","5","0","6251","basket","10","2018-01-26 19:17:49","169696"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","15","0","COMMUNITY","1","5","0","1985","community","1","2018-01-26 19:18:21","169697"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","30","0","KEYBOARD","9","5","0","1110","keyboard","9","2018-01-26 19:18:42","169698"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","16","0","HELICOPTER","1","5","1","5978","helicoptor","1","2018-01-26 19:18:43","169699"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","31","0","KEYBOARD","9","5","0","790","keyboard","9","2018-01-26 19:18:51","169700"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","17","0","STOMACH","1","5","1","3848","stomach","1","2018-01-26 19:18:54","169701"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","32","0","STOMACH","0","5","0","1398","stomach","0","2018-01-26 19:18:57","169702"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","33","0","HELICOPTER","10","5","0","661","helicopter","10","2018-01-26 19:19:04","169703"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","18","0","BASKET","10","5","0","10753","basket","10","2018-01-26 19:19:12","169704"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","34","0","BOOKSHELF","10","5","0","886","bookshelf","10","2018-01-26 19:19:15","169705"
