"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","choice","scratch","rt","stamp","id"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters in alphabet between word's 4th and 5th letters","4","[25,60,5,40,40,65,90,25,30,0,90,5,65,30]","0","4","0","34267","doorway","doorway

","26000","2018-01-26 19:32:12","13082"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","1","5","1","41997","structure","stru
","16000","2018-01-26 19:33:12","13083"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters in the set: T, P, O, K, I, C, H.","1","[10,40,0,40,40,0,30,20,60,30,30,30,20,20]","2","3","1","42671","traffic","traffic

","21000","2018-01-26 19:34:18","13084"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters before word's second letter in alphabet","3","[20,95,0,70,70,60,70,70,20,85,95,0,20,0]","3","4","1","39806","elephant","elephant

this is so hard","16000","2018-01-26 19:35:16","13085"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most horizontal lines","7","[60,30,50,30,70,60,60,10,110,80,50,70,40,50]","4","5","0","35418","doorway","doorway

traffic

","31000","2018-01-26 19:36:24","13086"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters in alphabet between word's 5th and 6th letters","5","[25,10,65,35,55,35,5,110,60,15,85,25,70,75]","5","5","1","17505","doorway","doorway","26000","2018-01-26 19:37:10","13087"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most vertical lines","6","[60,50,50,90,70,80,50,30,90,50,50,80,60,40]","6","4","1","21290","bookshelf","bookshelf

helicopter

","31000","2018-01-26 19:38:04","13088"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Most letters in the set: S, G, E, F, B, N, L.","0","[30,10,20,10,50,40,40,0,30,20,20,20,20,30]","7","5","0","49137","book","bookshelf
helicopter
traffic

my mind is going blank on this","21000","2018-01-26 19:39:16","13089"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB",,"Memory","8",NULL,"8","10","1","15546","[""bookshelf"",""helicopter"",""traffic"",""elephant"",""community"",""football"",""j"","""","""","""","""","""","""",""""]","[""10"",""10"",""0"",""0"",""9"",""1"","""","""","""","""","""","""","""",""""]","181000","2018-01-26 19:42:35","13090"
"AK1GE19RT3PK6","cs_wg_v10_real1","3KIBXJ1WD5VUD680SOVASX1OUTPOKM",,"Most letters come after the word's third letter in the alphabet.","2","[115,60,115,70,60,125,60,60,75,130,45,120,10,40]","0","5","1","32747","Wedding",,"16000","2018-01-26 19:47:21","13091"
