"subject","version","assignmentId","word","word_ind","value","exposures","stamp","id"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","LADDER","2","1","8","2018-01-26 19:12:09","45635"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","UMBRELLA","5","10","8","2018-01-26 19:12:09","45636"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","STOMACH","1","0","8","2018-01-26 19:12:09","45637"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","COMMUNITY","3","9","8","2018-01-26 19:12:09","45638"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","BOOKSHELF","4","10","8","2018-01-26 19:12:09","45639"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","WEDDING","0","10","8","2018-01-26 19:12:09","45640"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","FOOTBALL","6","1","8","2018-01-26 19:12:09","45642"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","DOORWAY","7","0","8","2018-01-26 19:12:09","45641"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","HELICOPTER","8","10","8","2018-01-26 19:12:09","45643"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","TRAFFIC","9","0","8","2018-01-26 19:12:09","45644"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","STRUCTURE","10","0","8","2018-01-26 19:12:09","45645"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","MACHINE","11","1","8","2018-01-26 19:12:09","45646"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","BASKET","13","9","8","2018-01-26 19:12:09","45647"
"ARJJKTGF3RDCO","cs_wg_v10_real1","36ZN444YTRZ37BICSLAYFHMB2P0OIB","KEYBOARD","12","9","8","2018-01-26 19:12:09","45648"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","WEDDING","0","9","8","2018-01-26 19:12:52","45649"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","LADDER","2","10","8","2018-01-26 19:12:52","45650"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","STOMACH","1","1","8","2018-01-26 19:12:52","45651"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","BOOKSHELF","4","9","8","2018-01-26 19:12:52","45652"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","COMMUNITY","3","1","8","2018-01-26 19:12:52","45653"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","UMBRELLA","5","10","8","2018-01-26 19:12:52","45654"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","DOORWAY","7","0","8","2018-01-26 19:12:52","45655"
"AEWGY34WUIA32","cs_wg_v10_real1","3IO1LGZLK9YKTZ0VJ3CDLS66ET268X","FOOTBALL","6","0","8","2018-01-26 19:12:52","45656"
