"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","small","JACKET","0","15","11","0","2018-09-25 22:29:48","113834"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","small","MONKEY","1","1","11","0","2018-09-25 22:29:48","113835"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","small","BANQUET","3","6","21","0","2018-09-25 22:29:48","113836"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","small","BASKET","2","8","11","0","2018-09-25 22:29:48","113837"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","small","ARCADE","4","6","2","0","2018-09-25 22:29:48","113838"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","small","PUMPKIN","0","15","11","0","2018-09-25 22:40:42","113839"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","small","CHICKEN","2","8","11","0","2018-09-25 22:40:42","113840"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","small","GRENADE","4","6","2","0","2018-09-25 22:40:42","113841"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","small","SUNBURN","3","6","21","0","2018-09-25 22:40:42","113842"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","small","PICKLE","1","1","11","0","2018-09-25 22:40:42","113843"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","small","BUCKET","1","1","11","0","2018-09-25 22:41:06","113844"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","small","CRICKET","0","15","11","0","2018-09-25 22:41:06","113845"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","small","BLANKET","2","8","11","0","2018-09-25 22:41:06","113846"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","small","SUNBURN","3","6","21","0","2018-09-25 22:41:06","113847"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","small","TOMATO","4","6","2","0","2018-09-25 22:41:06","113848"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","BLANKET","0","15","11","0","2018-09-25 22:43:54","113849"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","PICTURE","3","6","21","0","2018-09-25 22:43:55","113850"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","WIZARD","6","5","2","0","2018-09-25 22:43:55","113851"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","TURKEY","2","8","11","0","2018-09-25 22:43:55","113852"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","RABBIT","5","5","2","0","2018-09-25 22:43:55","113853"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","VOLCANO","4","6","2","0","2018-09-25 22:43:55","113854"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","CHICKEN","1","1","11","0","2018-09-25 22:43:55","113855"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","PEBBLE","8","6","2","0","2018-09-25 22:43:55","113857"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","BICYCLE","9","7","2","0","2018-09-25 22:43:55","113856"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","PELICAN","7","5","2","0","2018-09-25 22:43:55","113858"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","AIRBAG","10","7","2","0","2018-09-25 22:43:55","113860"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","large","LIZARD","11","7","2","0","2018-09-25 22:43:55","113859"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","small","BUCKET","2","8","11","0","2018-09-25 22:44:18","113861"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","small","CHICKEN","1","1","11","0","2018-09-25 22:44:18","113862"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","small","PENGUIN","3","6","21","0","2018-09-25 22:44:18","113863"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","small","MONKEY","0","15","11","0","2018-09-25 22:44:18","113864"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","small","TOMATO","4","6","2","0","2018-09-25 22:44:18","113865"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","CRICKET","0","15","11","0","2018-09-25 22:46:14","113866"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","PENGUIN","3","6","21","0","2018-09-25 22:46:14","113867"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","BASKET","2","8","11","0","2018-09-25 22:46:14","113868"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","JACKET","1","1","11","0","2018-09-25 22:46:14","113869"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","ACROBAT","4","6","2","0","2018-09-25 22:46:14","113870"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","RABBIT","5","5","2","0","2018-09-25 22:46:14","113871"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","BICYCLE","6","5","2","0","2018-09-25 22:46:14","113872"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","large","PALACE","7","5","2","0","2018-09-25 22:46:14","113873"
