"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AAI3I3PT62PDK","cs_wg_rev_conf_pilot1","3QY7M81QH7NNS0G1B2E8HBFUN417KM","18435","624400","Male","610","No","No","3 of em just had k, couldn't think of u from banquet so i just went with a k word",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:35:07","7489"
"APL2VQM32UG4X","cs_wg_rev_conf_pilot1","3TUI152ZZBOVSHZUZRHWCN0QJO7Q1E","110498","755342","Male","594","No","No","I went through every word in my head and found U to be the latest letter of all the 5 words.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:46:53","7490"
"A2VHG0ZDQMZ2T0","cs_wg_rev_conf_pilot1","3GS6S824SQY3QL25GNE01JVFAQTNWN","84296","855397","Female","582","No","No","My strategy for the ""third to last"" question was to start listing all the words I could remember. That made me realize a lot of them had ""k"" for that letter, leaving sunburn as a very promising choice.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:47:29","7491"
"A1AJLZ2KXEWVJE","cs_wg_rev_conf_pilot1","38JBBYETQOBNND68DI5YG4IFC5TE43","61711","941134","Female","912","No","No","It was really hard to do the second part for me. The first part was easy cuz I just word number association to remember how many points each word was worth.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:48:51","7492"
"A38IH5U8105J8","cs_wg_rev_conf_pilot1","3VAR3R6G1P2AI56ZJZY72SSYITV8O8","58059","1011984","Female","1061","No","No","i tried to type the words that I remembered, but I didn't have enough time",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:51:02","7493"
"A1TLQ6BTDQX7US","cs_wg_rev_conf_pilot1","3IXEICO792K3RJSJM1N8CO2UB6MT6T","99903","957804","Female","603","No","No","Great study! My strategy was just to try to remember as best as I could. For the third-to-last letter question, I was going to write all of the words from part 1 down in the box provided, then figure out which was the best one but then I realized when I wrote penguin that it was the best choice. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:51:15","7494"
"A3HHDPKL3O3O7Y","cs_wg_rev_conf_pilot1","3LYA37P8IQOAUCJROJQOMD1Q6U7KB0","77365","1027323","Female","1056","No","No","I tried to write as many words as I could think of in the note pad box, but when words weren't coming quickly, I just went with the one I had written down which had the latest letter because I didn't want to run out of time.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:53:12","7495"
"A15SJZQBR8I3B3","cs_wg_rev_conf_pilot1","3CN4LGXD5XPLTINZDJHSN7AVUHK4YU","103110","815399","Female","591","No","No","there was no strategy, I froze up. That timer was moving fast.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:53:47","7496"
"A266IXZI9QNZJC","cs_wg_rev_conf_pilot1","386CSBG1OZNQZ30R5XTD7JR7RZNQ6C","87514","1265566","Male","1002","No","No","I have very much appreciated many opportunities to help you with your studies and the time put fourth. I, in the future, would like to continue to provide the best of my services toward this ongoing endeavor. I hope my input  helps to provide great benefit for your progression in your ongoing studies. Please notify me of any upcoming studies. I will be glad to help.
",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:54:32","7497"
"A1BLU8Y88NC25R","cs_wg_rev_conf_pilot1","3300DTYQT2IUCIT6BFCBJ7JK8XBQEX","104025","1078195","Female","1022","No","No","no strategy just tried to remember the words ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-09-25 22:54:32","7498"
