"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","0","0","PUMPKIN","1","CRICKET","15","1","8029",,,,,"1","2018-09-27 13:18:30","226666"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","1","0","CRICKET","15","PUMPKIN","1","0","3736",,,,,"1","2018-09-27 13:18:36","226667"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","2","0","CRICKET","15","ARCADE","6","0","897",,,,,"0","2018-09-27 13:18:39","226668"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","3","0","PICTURE","6","ARCADE","6","1","2209",,,,,"0","2018-09-27 13:18:43","226669"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","4","0","MONKEY","8","PUMPKIN","1","0","1776",,,,,"0","2018-09-27 13:18:46","226670"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","5","0","PUMPKIN","1","PICTURE","6","0","1800",,,,,"0","2018-09-27 13:18:50","226671"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","6","0","PUMPKIN","1","PICTURE","6","1","1297",,,,,"0","2018-09-27 13:18:53","226672"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","7","0","ARCADE","6","PICTURE","6","1","825",,,,,"0","2018-09-27 13:18:55","226673"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","8","0","ARCADE","6","CRICKET","15","1","1191",,,,,"0","2018-09-27 13:18:57","226674"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","9","0","PICTURE","6","CRICKET","15","1","615",,,,,"0","2018-09-27 13:18:59","226675"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","10","0","ARCADE","6","PICTURE","6","1","2127",,,,,"0","2018-09-27 13:19:03","226676"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","11","0","MONKEY","8","PUMPKIN","1","1","1105",,,,,"0","2018-09-27 13:19:05","226677"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","12","0","PUMPKIN","1","ARCADE","6","1","712",,,,,"0","2018-09-27 13:19:07","226678"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","13","0","PUMPKIN","1","MONKEY","8","1","992",,,,,"0","2018-09-27 13:19:09","226679"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","14","0","CRICKET","15","PUMPKIN","1","0","976",,,,,"0","2018-09-27 13:19:12","226680"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","15","0","PICTURE","6","ARCADE","6","1","1457",,,,,"0","2018-09-27 13:19:14","226681"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","16","0","PICTURE","6","MONKEY","8","1","976",,,,,"0","2018-09-27 13:19:17","226682"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","17","0","PICTURE","6","PUMPKIN","1","0","1362",,,,,"0","2018-09-27 13:19:20","226683"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","18","0","PICTURE","6","PUMPKIN","1","0","633",,,,,"0","2018-09-27 13:19:22","226684"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","19","0","MONKEY","8","PICTURE","6","0","1093",,,,,"0","2018-09-27 13:19:24","226685"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","20","0","ARCADE","6","MONKEY","8","1","681",,,,,"0","2018-09-27 13:19:26","226686"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","21","0","PUMPKIN","1","ARCADE","6","0","921",,,,,"0","2018-09-27 13:19:28","226687"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","22","0","ARCADE","6","PUMPKIN","1","0","777",,,,,"0","2018-09-27 13:19:30","226688"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","23","0","CRICKET","15","ARCADE","6","0","736",,,,,"0","2018-09-27 13:19:32","226689"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","24","0","MONKEY","8","CRICKET","15","1","745",,,,,"0","2018-09-27 13:19:34","226690"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","25","0","ARCADE","6","PICTURE","6","0","1944",,,,,"0","2018-09-27 13:19:37","226691"
"A1DBCHREMYNOVT","cs_wg_rev_conf_pilot1","3B1NLC6UGZX7WKOIHXNAJ5EMG1OPGA","0","0","POTATO","7","SMOKER","8","1","19887",,,,,"1","2018-09-27 13:19:38","226692"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","26","0","PUMPKIN","1","CRICKET","15","1","1066",,,,,"0","2018-09-27 13:19:40","226693"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","27","0","CRICKET","15","ARCADE","6","0","753",,,,,"0","2018-09-27 13:19:42","226694"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","28","0","PUMPKIN","1","ARCADE","6","1","1345",,,,,"0","2018-09-27 13:19:45","226695"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","29","0","ARCADE","6","CRICKET","15","0","681",,,,,"0","2018-09-27 13:19:47","226696"
"A1DBCHREMYNOVT","cs_wg_rev_conf_pilot1","3B1NLC6UGZX7WKOIHXNAJ5EMG1OPGA","1","0","TOMATO","6","CANCER","7","1","6482",,,,,"1","2018-09-27 13:19:48","226697"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","30","0","MONKEY","8","PUMPKIN","1","1","1048",,,,,"0","2018-09-27 13:19:49","226698"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","31","0","MONKEY","8","ARCADE","6","0","609",,,,,"0","2018-09-27 13:19:51","226699"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","32","0","CRICKET","15","PICTURE","6","0","513",,,,,"0","2018-09-27 13:19:52","226700"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","33","0","PICTURE","6","MONKEY","8","1","616",,,,,"0","2018-09-27 13:19:54","226701"
"A1DBCHREMYNOVT","cs_wg_rev_conf_pilot1","3B1NLC6UGZX7WKOIHXNAJ5EMG1OPGA","2","0","BAMBOO","5","BICYCLE","5","1","4622",,,,,"1","2018-09-27 13:19:55","226702"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","34","0","PICTURE","6","CRICKET","15","1","896",,,,,"0","2018-09-27 13:19:56","226703"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","35","0","MONKEY","8","PICTURE","6","0","609",,,,,"0","2018-09-27 13:19:58","226704"
"A2R9VWNAOREXQ7","cs_wg_rev_conf_pilot1","3E4GGUZ1T8SG6ZJV5QXDLKYMC8E2K4","0","0","AIRBAG","6","GARBAGE","7","1","7810",,,,,"1","2018-09-27 13:20:01","226705"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","36","0","PICTURE","6","ARCADE","6","0","1120",,,,,"0","2018-09-27 13:20:01","226706"
"A1DBCHREMYNOVT","cs_wg_rev_conf_pilot1","3B1NLC6UGZX7WKOIHXNAJ5EMG1OPGA","3","0","MONKEY","15","GARBAGE","6","0","4175",,,,,"1","2018-09-27 13:20:02","226707"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","37","0","MONKEY","8","CRICKET","15","1","985",,,,,"0","2018-09-27 13:20:03","226708"
"A1DBCHREMYNOVT","cs_wg_rev_conf_pilot1","3B1NLC6UGZX7WKOIHXNAJ5EMG1OPGA","4","0","TOMATO","6","POTATO","7","1","2954",,,,,"1","2018-09-27 13:20:07","226709"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","38","0","PUMPKIN","1","MONKEY","8","1","3170",,,,,"0","2018-09-27 13:20:08","226710"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","39","0","CRICKET","15","MONKEY","8","0","833",,,,,"0","2018-09-27 13:20:10","226711"
