"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","small","MONKEY","2","8","11","0","2018-09-27 13:21:55","114012"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","small","ARCADE","4","6","2","0","2018-09-27 13:21:55","114013"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","small","CRICKET","0","15","11","0","2018-09-27 13:21:55","114014"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","small","PUMPKIN","1","1","11","0","2018-09-27 13:21:55","114015"
"A1AR5OZLXIF9","cs_wg_rev_conf_pilot1","3F0BG9B9MPOIC55IFHFZQJU5L397YK","small","PICTURE","3","6","21","0","2018-09-27 13:21:55","114016"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BASKET","0","15","11","0","2018-09-27 13:25:47","114017"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CHICKEN","1","1","11","0","2018-09-27 13:25:47","114018"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PUMPKIN","2","8","11","0","2018-09-27 13:25:47","114019"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SPATULA","3","6","21","0","2018-09-27 13:25:47","114020"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BAMBOO","4","6","2","0","2018-09-27 13:25:47","114021"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","ISLAND","5","5","2","0","2018-09-27 13:25:47","114022"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","GARBAGE","6","5","2","0","2018-09-27 13:25:47","114023"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CANCER","7","5","2","0","2018-09-27 13:25:47","114024"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SQUARE","8","6","2","0","2018-09-27 13:25:47","114025"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PEBBLE","9","7","2","0","2018-09-27 13:25:47","114026"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","ACROBAT","10","7","2","0","2018-09-27 13:25:47","114027"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","COWBOY","11","7","2","0","2018-09-27 13:25:47","114028"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BASKET","0","15","11","0","2018-09-27 13:25:47","114029"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CHICKEN","1","1","11","0","2018-09-27 13:25:47","114030"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PUMPKIN","2","8","11","0","2018-09-27 13:25:47","114031"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SPATULA","3","6","21","0","2018-09-27 13:25:47","114032"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BAMBOO","4","6","2","0","2018-09-27 13:25:47","114033"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","ISLAND","5","5","2","0","2018-09-27 13:25:47","114034"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","GARBAGE","6","5","2","0","2018-09-27 13:25:48","114035"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CANCER","7","5","2","0","2018-09-27 13:25:48","114036"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SQUARE","8","6","2","0","2018-09-27 13:25:48","114037"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PEBBLE","9","7","2","0","2018-09-27 13:25:48","114038"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","ACROBAT","10","7","2","0","2018-09-27 13:25:48","114039"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","COWBOY","11","7","2","0","2018-09-27 13:25:48","114040"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BASKET","0","15","11","0","2018-09-27 13:25:48","114041"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CHICKEN","1","1","11","0","2018-09-27 13:25:48","114042"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PUMPKIN","2","8","11","0","2018-09-27 13:25:48","114043"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SPATULA","3","6","21","0","2018-09-27 13:25:48","114044"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","BAMBOO","4","6","2","0","2018-09-27 13:25:48","114045"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","ISLAND","5","5","2","0","2018-09-27 13:25:48","114046"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","GARBAGE","6","5","2","0","2018-09-27 13:25:48","114047"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","CANCER","7","5","2","0","2018-09-27 13:25:48","114048"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","SQUARE","8","6","2","0","2018-09-27 13:25:48","114049"
"A1PBSK32TV6H45","cs_wg_rev_conf_pilot1","345LHZDEDXTJUDKQ34FKAHCCKDC3UD","large","PEBBLE","9","7","2","0","2018-09-27 13:25:48","114050"
