"subject","version","assignmentId","trial","trial_type","word","value","alt","value2","choice","rt","resp","resp2","resp3","resp4","used_hint","stamp","id"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","0","0","TOMATO","7","HOCKEY","15","1","4753",,,,,"0","2018-10-04 20:22:23","263741"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","1","0","HOCKEY","15","TOMATO","7","0","2013",,,,,"0","2018-10-04 20:22:28","263742"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","2","0","TOMATO","7","BAKER","1","1","4475",,,,,"0","2018-10-04 20:22:37","263743"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","3","0","HOCKEY","15","ADULT","8","0","2978",,,,,"0","2018-10-04 20:22:44","263744"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","4","0","BAKER","1","HOCKEY","15","1","2537",,,,,"0","2018-10-04 20:22:49","263745"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","5","0","NAPKIN","8","ADULT","8","0","4048",,,,,"0","2018-10-04 20:22:56","263746"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","6","0","BAKER","1","ADULT","8","1","2301",,,,,"0","2018-10-04 20:23:02","263747"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","7","0","HOCKEY","15","TOMATO","7","0","869",,,,,"0","2018-10-04 20:23:05","263748"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","8","0","NAPKIN","8","ADULT","8","1","3099",,,,,"0","2018-10-04 20:23:11","263749"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","9","0","ADULT","8","NAPKIN","8","0","1750",,,,,"0","2018-10-04 20:23:14","263750"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","10","0","TOMATO","7","NAPKIN","8","1","2497",,,,,"0","2018-10-04 20:23:20","263751"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","11","0","TOMATO","7","ADULT","8","1","2650",,,,,"0","2018-10-04 20:23:25","263752"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","12","0","BAKER","1","NAPKIN","8","1","2061",,,,,"0","2018-10-04 20:23:29","263753"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","13","0","NAPKIN","8","BAKER","1","0","1619",,,,,"0","2018-10-04 20:23:33","263754"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","14","0","TOMATO","7","HOCKEY","15","1","846",,,,,"0","2018-10-04 20:23:38","263755"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","15","0","ADULT","8","HOCKEY","15","1","1335",,,,,"0","2018-10-04 20:23:40","263756"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","16","0","HOCKEY","15","BAKER","1","0","720",,,,,"0","2018-10-04 20:23:42","263757"
