"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","23996","0","1","Napkin","Na","21000",,,"2018-10-04 20:29:44","27174"
"A2E3LKD3ELOED6","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91UQ3EH","small","Memory","1","[11,11,11,21,2]","1","9","0","38847",,"0","[""Tomato"",""Hockey"",""Napkin"",""Adult"",""Baker""]","[""7"",""15"",""8"",""8"",""1""]","181000",,,"2018-10-04 20:33:26","27175"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","32092","0","1","liza","bicycle
","21000",,,"2018-10-04 20:40:58","27176"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","32608","0","1","wizard",,"21000",,,"2018-10-04 20:43:37","27177"
"A1W90OQ8WBLGUI","cs_wg_rev_conf_v2_pilot1","3Z3ZLGNNSIVR2KD9MVVF0GFNKXE3QT","large","Memory","1","[11,11,11,21,2,2,2,2,2,2,2,2]","1","9","0","19772",,"0","[""bicycle"",""avocado"",""volcano"",""banana"",""palace"",""airbag"",""hockey"",""lizard"",""skunk"",""pelican"",""rocket"",""""]","[""9"",""9"",""8"",""10"",""6"",""10"",""15"","""","""","""","""",""""]","181000",,,"2018-10-04 20:44:21","27178"
"A2653BIPJKEMRK","cs_wg_rev_conf_v2_pilot1","3TPWUS5F892KZH5ERX5ML813EB8CW4","large","Memory","1","[11,11,11,21,2,2,2,2,2,2,2,2]","1","9","0","79130",,"0","[""basket"",""napkin"",""volcano"",""cancer"",""grenade"",""pelican"",""cowboy"",""cricket"",""avocado"",""bicycle"",""blouse"",""wizard""]","[""6"",""6"",""9"",""6"",""9"",""9"",""6"","""","""","""",""can't remember"",""26""]","181000",,,"2018-10-04 20:47:59","27179"
"A3DA9VCFVY24TR","cs_wg_rev_conf_v2_pilot1","3PJ71Z61R43P0II8IP6AQSA1CDW19D","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","37611","0","1","baker",,"21000",,,"2018-10-04 20:49:18","27180"
"A3DA9VCFVY24TR","cs_wg_rev_conf_v2_pilot1","3PJ71Z61R43P0II8IP6AQSA1CDW19D","large","Memory","1","[11,11,11,21,2,2,2,2,2,2,2,2]","1","9","0","18106",,"0","[""baker"",""volcano"",""lizard"",""cricket"",""volcano"",""cowboy"",""palace"",""bucket"",""airbag"",""tomato"",""can't remember"",""can't remember""]","[""15"",""10"",""10"",""1"",""10"",""6"",""7"",""6"",""6"",""9"",""can't remember"",""cant'remember""]","181000",,,"2018-10-04 20:52:39","27181"
"ALV4DAF8DIJ37","cs_wg_rev_conf_v2_pilot1","3XCC1ODXDLCJLMYBXLWBIEI3QB2QRS","small","Third-to-last letter late","0","[11,11,11,21,2]","0","0","0","48022","0","1","thumb",,"21000",,,"2018-10-04 21:10:35","27182"
"A1OFSWG4TA4VVR","cs_wg_rev_conf_v2_pilot1","3EKVH9QMEY58STDLD9BQH73WV4PD2N","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","8211","9","0","nice","good","21000",,,"2018-10-04 21:11:30","27183"
"A2AC7GF5C6QL3B","cs_wg_rev_conf_v2_pilot1","39N5ACM9HEOSHA1A3RH0ROSZFUW9PL","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","164037","0","1","potato",,"21000",,,"2018-10-04 21:13:45","27184"
"ALV4DAF8DIJ37","cs_wg_rev_conf_v2_pilot1","3XCC1ODXDLCJLMYBXLWBIEI3QB2QRS","small","Memory","1","[11,11,11,21,2]","1","9","0","25726",,"0","[""thumb"",""hockey"",""chicken"",""palace"",""cricket""]","[""8"",""1"",""15"",""7"",""8""]","181000",,,"2018-10-04 21:14:03","27185"
"A1OFSWG4TA4VVR","cs_wg_rev_conf_v2_pilot1","3EKVH9QMEY58STDLD9BQH73WV4PD2N","small","Memory","1","[11,11,11,21,2]","1","9","0","4531",,"0","[""good"",""nice"",""excellent"",""super"",""fantastic""]","[""25"",""10"",""15"",""25"",""25""]","181000",,,"2018-10-04 21:14:38","27186"
"AK6Y7OOYZ2IEQ","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91VWE30","small","Third-to-last letter late","0","[11,11,11,21,2]","0","9","0","6542","26","0",,"water fuling","21000",,,"2018-10-04 21:16:30","27187"
"A3FVYQC2K636D6","cs_wg_rev_conf_v2_pilot1","3CPLWGV3MO0SEPPXNC48NZN4FE19NT","small","Third-to-last letter late","0","[11,11,11,21,2]","0","9","0","3631","26","0","PUMPKIN","PUMPKIN","21000",,,"2018-10-04 21:16:33","27188"
"A2AC7GF5C6QL3B","cs_wg_rev_conf_v2_pilot1","39N5ACM9HEOSHA1A3RH0ROSZFUW9PL","small","Memory","1","[11,11,11,21,2]","1","26","0","36965",,"0","[""tomato"",""napkin"",""chicken"",""basket"",""house""]","[""1"",""11"",""11"",""11"",""19""]","181000",,,"2018-10-04 21:17:25","27189"
"AK6Y7OOYZ2IEQ","cs_wg_rev_conf_v2_pilot1","3JRJSWSMQHM25HN4D40F6ZQ91VWE30","small","Memory","1","[11,11,11,21,2]","1","26","0","3809",,"0","[""house"",""bucket"","""","""",""""]","[""12"",""12"","""","""",""""]","181000",,,"2018-10-04 21:19:37","27190"
"ACSF7NO9E7SVZ","cs_wg_rev_conf_v2_pilot1","3H0W84IWBK3UOJ86OU1BOXTP7AGREN","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","38969","0","1","potato",,"21000",,,"2018-10-04 21:39:55","27192"
