"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A1MRWMGHPEV8S6","cs_wg_rev_conf_v2_real1","3KOPY89HM83AGX9WR5B63F317I5J3Y","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","26331","9","0","mon",,"21000",,,"2018-10-05 15:43:27","27208"
"A2LAKROAU2MVEN","cs_wg_rev_conf_v2_real1","3P1L2B7AD1Q5XCQIDO7B7XE46Y5OLZ","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","28757","0","1","MOUSE","CRICKET MOUSE ROCKET GRENADE ","21000",,,"2018-10-05 15:44:07","27209"
"A2PU3C8EETKC3B","cs_wg_rev_conf_v2_real1","3IOEN3P9S7K2IZGAKI3Y6IJZNS561L","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","6640","26","0","good","better","21000",,,"2018-10-05 15:44:55","27210"
"A1GMSPWCRCY2KN","cs_wg_rev_conf_v2_real1","3IO1LGZLK9YKTZ0VJ3CDLS671YB685","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","37638","0","1","Balnket",,"21000",,,"2018-10-05 15:45:24","27211"
"AW1SWNQFPIUKF","cs_wg_rev_conf_v2_real1","3OB0CAO74HQF5UBUSQ1BHWJZ3RWYHE","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","56535","0","1","Seagull","Seagull","21000",,,"2018-10-05 15:45:26","27212"
"A1L8ZQ4A13OGWX","cs_wg_rev_conf_v2_real1","3Q5ZZ9ZEVOGOAV0HEK28TMS753085R","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","47821","0","1","bake",,"21000",,,"2018-10-05 15:46:18","27213"
"A1MRWMGHPEV8S6","cs_wg_rev_conf_v2_real1","3KOPY89HM83AGX9WR5B63F317I5J3Y","small","Memory","1","[11,11,11,21,2]","1","9","0","5669",,"0","[""pelican"",""jaguar"",""cookie"",""monkey"",""i don't remember""]","[""5"",""22"",""4"",""5"",""""]","181000",,,"2018-10-05 15:46:36","27214"
"A2LAKROAU2MVEN","cs_wg_rev_conf_v2_real1","3P1L2B7AD1Q5XCQIDO7B7XE46Y5OLZ","small","Memory","1","[11,11,11,21,2]","1","9","0","34165",,"0","[""GRENADE"",""MOUSE"",""ROCKET"",""CRICKET"",""MARKET""]","[""7"",""8"",""8"",""15"",""1""]","181000",,,"2018-10-05 15:47:44","27215"
"A2PU3C8EETKC3B","cs_wg_rev_conf_v2_real1","3IOEN3P9S7K2IZGAKI3Y6IJZNS561L","large","Memory","1","[11,11,11,21,2,2,2,2,2,2,2,2]","1","9","0","8219",,"0","[""better"",""na"",""better"",""good"",""good"",""na"",""feel"",""na"",""better"",""net"",""na"",""na""]","[""good"",""happy"",""na"",""better"",""better"",""good"",""sene"",""good"",""kate"",""better"",""better"",""no comments""]","181000",,,"2018-10-05 15:48:06","27216"
"AMV1E7FFPVAW4","cs_wg_rev_conf_v2_real1","35DR22AR5DLBBHEL89Q7UOBGIGI3X4","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","52448","0","1","mouse",,"21000",,,"2018-10-05 15:48:12","27217"
"AW1SWNQFPIUKF","cs_wg_rev_conf_v2_real1","3OB0CAO74HQF5UBUSQ1BHWJZ3RWYHE","small","Memory","1","[11,11,11,21,2]","1","9","0","10804",,"0","[""Basket"",""Seagull"",""Market"",""Palace"",""Hockey""]","[""8"",""7"",""15"",""8"",""1""]","181000",,,"2018-10-05 15:48:40","27218"
"A1GMSPWCRCY2KN","cs_wg_rev_conf_v2_real1","3IO1LGZLK9YKTZ0VJ3CDLS671YB685","small","Memory","1","[11,11,11,21,2]","1","9","0","27029",,"0","[""Blanket"",""Tomato"",""Pumpkin"",""Skunk"",""Napkin""]","[""45"",""54"",""72"",""46"",""56""]","181000",,,"2018-10-05 15:48:54","27219"
"A1NIPJZWXW7ZKM","cs_wg_rev_conf_v2_real1","3U5NZHP4LR3LWGJT135S45QNZMUHP4","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","28648","0","1","jaguar",,"21000",,,"2018-10-05 15:49:02","27220"
"A1RSDFFZIVE5BO","cs_wg_rev_conf_v2_real1","3SITXWYCNVAGECIYN25DC79S68VBX3","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","45264","0","1","Monkey","Donkey
Monkey
Bicyle
Whisker","21000",,,"2018-10-05 15:49:02","27221"
"A3314BF7U2F55U","cs_wg_rev_conf_v2_real1","30BUDKLTXDW5JWA8RNO8LWOTG60E5Y","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","31070","0","1","SEAGULL",,"21000",,,"2018-10-05 15:49:17","27222"
"A1L8ZQ4A13OGWX","cs_wg_rev_conf_v2_real1","3Q5ZZ9ZEVOGOAV0HEK28TMS753085R","small","Memory","1","[11,11,11,21,2]","1","9","0","16369",,"0","[""Baker"",""Mouse"",""Cancer"",""pumpkin"",""cookie""]","[""15"",""8"",""7"",""8"",""1""]","181000",,,"2018-10-05 15:49:37","27223"
"A1PZIN8H1VI6SY","cs_wg_rev_conf_v2_real1","3RRCEFRB7MDPGAUO3R38FWCUDDUB4S","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","30","0","30065","0","1","right","very usefull","21000",,,"2018-10-05 15:51:18","27224"
"A19D2W1PR68NO","cs_wg_rev_conf_v2_real1","31QTRG6Q2TE7IB9IB39GQ5LQPI6YPJ","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","33345","0","1","scuba",,"21000",,,"2018-10-05 15:52:08","27225"
"AMV1E7FFPVAW4","cs_wg_rev_conf_v2_real1","35DR22AR5DLBBHEL89Q7UOBGIGI3X4","small","Memory","1","[11,11,11,21,2]","1","9","0","65108",,"0","[""mouse"",""wizard"",""donkey"",""basket"",""cookie""]","[""8"",""7"",""8"",""15"",""1""]","181000",,,"2018-10-05 15:52:20","27226"
"A1RSDFFZIVE5BO","cs_wg_rev_conf_v2_real1","3SITXWYCNVAGECIYN25DC79S68VBX3","small","Memory","1","[11,11,11,21,2]","1","9","0","16587",,"0","[""Whisker"",""Donkey"",""Monkey"",""Ground"",""Bicycle""]","[""15"",""1"",""8"",""8"",""7""]","181000",,,"2018-10-05 15:52:22","27227"
"A1NIPJZWXW7ZKM","cs_wg_rev_conf_v2_real1","3U5NZHP4LR3LWGJT135S45QNZMUHP4","small","Memory","1","[11,11,11,21,2]","1","9","0","22017",,"0","[""jaguar"",""pumpkin"",""lizard"",""bucket"",""whisker""]","[""8"",""1"",""7"",""15"",""8""]","181000",,,"2018-10-05 15:52:27","27228"
"A3314BF7U2F55U","cs_wg_rev_conf_v2_real1","30BUDKLTXDW5JWA8RNO8LWOTG60E5Y","small","Memory","1","[11,11,11,21,2]","1","9","0","21191",,"0","[""BASKET"",""NAPKIN"",""VOLCANO"",""BAKER"",""SEAGULL""]","[""15"",""8"",""7"",""1"",""8""]","181000",,,"2018-10-05 15:52:42","27229"
"A189V9652OVX56","cs_wg_rev_conf_v2_real1","3RGU30DZTA9B2JH6XNGLZEC779KJMC","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","127334","0","1","hockey","hockey","21000",,,"2018-10-05 15:53:05","27230"
"ARJSK3KLNCFDK","cs_wg_rev_conf_v2_real1","33L7PJKHCGZQVXB7FGK6W2YLL6U8TQ","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","28429","0","1","s","chicken donkey pelican","21000",,,"2018-10-05 15:53:30","27231"
"A1SVMRA5E2S552","cs_wg_rev_conf_v2_real1","3P1L2B7AD1Q5XCQIDO7B7XE46Y9LO0","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","41046","0","1","SAUCE",,"21000",,,"2018-10-05 15:54:02","27232"
"A2TZA6QIDOHF0R","cs_wg_rev_conf_v2_real1","3ZAK8W07I4FNDLLTKHX18JE5LMHU08","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","28074","0","1","rocket",,"21000",,,"2018-10-05 15:54:12","27233"
"A2FBJV1VAI9SQ6","cs_wg_rev_conf_v2_real1","3JNQLM5FT4NRQ51DQQ9E0KB15T9L2Q","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","32180","0","1","monkey",,"21000",,,"2018-10-05 15:54:20","27234"
"A1Y22RY2G8RBAG","cs_wg_rev_conf_v2_real1","3OLF68YTN92UVGMLHUZVBPPFKLPAFR","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","12527","0","1","Seagull","wizard
blanket
seagull
","21000",,,"2018-10-05 15:54:27","27235"
"AVG9N9MSF44JN","cs_wg_rev_conf_v2_real1","3OVR4I9USPKCKGWDM90YAL7TZDZ4Q1","small","Third-to-last letter late","0","[11,11,11,21,2]","0","26","1","52445","0","1",,"pumpkin - 11
cancer - 3

","21000",,,"2018-10-05 15:54:50","27236"
"A1PZIN8H1VI6SY","cs_wg_rev_conf_v2_real1","3RRCEFRB7MDPGAUO3R38FWCUDDUB4S","large","Memory","1","[11,11,11,21,2,2,2,2,2,2,2,2]","1","30","1","58877",,"0","[""pumpkin"",""donkey"",""monkey"",""potato"",""banana"",""bicycle"",""mouse"",""Can't remember"",""Can't remember"",""Can't remember"",""Can't remember"",""Can't remember""]","[""25"",""22"",""32"",""15"",""18"",""20"",""15"",""0"",""0"",""0"",""0"",""0""]","181000",,,"2018-10-05 15:55:19","27237"
"AYKL9152PTHND","cs_wg_rev_conf_v2_real1","37ZHEEHM6WNHW28UQWM90PYSGN373D","large","Third-to-last letter late","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","1","24143","0","1","PELICAN",,"21000",,,"2018-10-05 15:55:46","27238"
