"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AZHAY2KATU7K0","cs_wg_rev_conf_v3_real2","34V1S5K3GS2K74J5OVIRLO1JSUW96P","133409","607311","Female","361","No","No","I wrote down the words and then looked to see which one had the third to last letter that was latest in the alphabet.",NULL,NULL,NULL,NULL,"[""I ONCE RECEIVED A GIFT BASKET"",""I WOULD LIKE TO SEE AN ACROBAT PERFORM"",""I ENJOY EATING CHICKEN"",""I DO NOT LIKE TO FALL ON THE GROUND""]","[""BASKET"",""ACROBAT"",""CHICKEN"",""GROUND""]","2018-10-29 14:19:38","8733"
"A26BTBZTW70SD5","cs_wg_rev_conf_v3_real2","3GU1KF0O4I2B53G71BVWIUNQBZPPBL","161698","676329","Male","368","No","No","I didn't have a strategy for it, I ran out of time thinking so just typed a word.",NULL,NULL,NULL,NULL,"[""Cricket: My house has lots of crickets."",""Napkin: I use napkins at lunch every day."",""Tomato: My favorite pasta sauce is tomato"",""Jaguar: Jaguars are one of my favorite animals.""]","[""Jaguar"",""Napkin"",""Tomato"",""Can't Remember""]","2018-10-29 14:22:12","8734"
"APUQDB9HKRT4K","cs_wg_rev_conf_v3_real2","3VZLGYJEYLBCWALETGLGYPGW41KXZN","135774","590036","Male","332","Yes","No","I tried to recall all the words and see which letter would be the best choice",NULL,NULL,NULL,NULL,"[""chicken: I am going to eat chicken for dinner."",""sauce: I am going to dip my food in sauce."",""grenade: sometimes I feel so stressed like a grenade went off."",""rocket: I try to work fast like a rocket.""]","[""chicken"",""sauce"",""grenade"",""rocket""]","2018-10-29 14:22:38","8735"
"A1Y1OI3ES5KORP","cs_wg_rev_conf_v3_real2","3VAR3R6G1P2AI56ZJZY72SSZTO98OP","173015","662535","Female","371","Yes","No","memorization",NULL,NULL,NULL,NULL,"[""POTATO: i love mashed potatoes"",""COOKIE: cookies are my favorite childhood snack"",""WHISKER: my cats name was whiskers"",""SAUCE: i love extra sauce""]","[""COOKIE"",""SAUCE"",""WHISKER"",""POTATO""]","2018-10-29 14:23:47","8736"
"A3OMFOXAU3U3KH","cs_wg_rev_conf_v3_real2","3X4JMASXCMA8HMCNKQG63TMI3RDB00","173775","788902","Female","362","No","No","I listed all of the words in the notepad and counted back 3 letters.",NULL,NULL,NULL,NULL,"[""MONKEY: I am afraid of monkeys."",""SAUCE: I like sweet and sour sauce."",""BUCKET: I lost my bucket to strong winds."",""GRENADE: I have never touched a grenade.""]","[""MONKEY"",""SAUCE"",""BUCKET"",""GRENADE""]","2018-10-29 14:23:48","8737"
"A3FWYB43MY39WG","cs_wg_rev_conf_v3_real2","3HHRAGRYX86AWAP9OR4L2ONADUQO9T","164134","872467","Male","368","No","No","I thought of the four words and what had a late-letter in it, SQUID fit the bill.",NULL,NULL,NULL,NULL,"[""PALACE: I don't live in a palace."",""SQUID: I like the tentacles best."",""CHICKEN: I eat chicken daily"",""ROCKET: I just watched an Elong Musk doc""]","[""PALACE"",""SQUID"",""ROCKET"",""CHICKEN""]","2018-10-29 14:24:33","8738"
"A2JGWDPGYD5X0N","cs_wg_rev_conf_v3_real2","3WLEIWSYHOIP49INZ5UG8SIVV22H26","240357","842591","Female","308","No","No","no",NULL,NULL,NULL,NULL,"[""palace: the king lives in a palace."",""bucket: I used a bucket to put dirt in."",""hockey: I dont like watching hockey on tv."",""seagull: I read the book Jonathan Livingston Seagul on""]","[""palace"",""seagull"",""bucket"",""cant remember""]","2018-10-29 14:24:52","8739"
"A1OD9OA9B34FL","cs_wg_rev_conf_v3_real2","3SB4CE2TJVWBV2D6HO5HHWPNVGEXAN","166032","812412","Female","357","No","No","thanks! I I visualized each word, then counted backwards from the end of the word. I double-checked myself by spelling the word forward and stopping with two letters left to go. ",NULL,NULL,NULL,NULL,"[""PUMPKIN: we have pumpkin pie on Thanksgiving"",""BUCKET: we put all the pickles into a bucket"",""SAUCE: I made tomato sauce for the pasta"",""GRENADE: Bruno told me that he'd catch a grenade for me""]","[""PUMPKIN"",""BUCKET"",""SAUCE"",""GRENADE""]","2018-10-29 14:28:12","8740"
"A299648X7UDU4M","cs_wg_rev_conf_v3_real2","351SEKWQS0IYZXHENRUAWGHV9FQMDT","413300","1012486","Female","359","No","No","I'm good at spelling and math so it was pretty natural for me.  Just visualized the word and thought backwards, I guess.",NULL,NULL,NULL,NULL,"[""ROCKET IN JUNIOR HIGH SCHOOL SOME OF MY CLASSMATES MADE ROCKETS IN SCIENCE CLASS"",""BASKET I HAD A BASKET ON THE FRONT OF MY BIKE"",""GROUND THE GROUND WAS HARD WHEN I JUMPED OFF A ROCK IN FOURTH GRADE"",""AVOCADO MY GRANDPARENTS USE TO BRING US BAGS FROM THEIR AVOCADO TREE""]","[""AVOCADO"",""GROUND"",""BASKET"",""Can't remember""]","2018-10-29 14:28:21","8741"
"A1MOMTPZ80MQV2","cs_wg_rev_conf_v3_real2","3SKRO2GZ71S9HE1ZMMXZG1OIVDSK1W","306695","1035221","Female","360","Yes","No","This was TRULY a ""brain teaser""! I got a little flustered and couldn't think of another ""Z"" word. ( NOW I remember ""puzzle"" ) smh. Didn't have a real strategy...",NULL,NULL,NULL,NULL,"[""I am planning a bucket list for my travels"",""I was badly sunburned in the Bahamas"",""Glen Campbell wrote the song \""Rhinestone Cowboy\""."",""Whisker rhymes with whisper.""]","[""Cowboy"",""Whisker"",""Can't remember"",""Can't remember""]","2018-10-29 14:28:23","8742"
"A2SHOFSQGLTOCE","cs_wg_rev_conf_v3_real2","3ZDAD0O1T1EGAYCFNOWYC1FFJ5ZXT8","196405","793952","Male","331","Yes","No","Can't remember",NULL,NULL,NULL,NULL,"[""Hockey: Sometimes I watch hockey on TV."",""Cricket:  There is a loud cricket chirping in the yard."",""Penguin:  A penguin prefers colder climates. "",""Palace:  My house is not a palace. ""]","[""Hockey"",""Cricket"",""Penguin "",""Palace""]","2018-10-29 14:28:32","8743"
"A3QKQZI5J1I9MQ","cs_wg_rev_conf_v3_real2","3L2IS5HSFAJQYHD0LNZZJVAJ05WNU5","269978","873966","Female","372","No","No","I typed the words in the text box. ",NULL,NULL,NULL,NULL,"[""TOMATO: My donkey won't eat a tomato."",""GROUND: My donkey eats grass off the ground."",""DONKEY: My donkey's name is Teddy."",""PUMPKIN: Last night I carved a pumpkin.""]","[""TOMATOR"",""GROUND"",""DONKEY"",""PUMPKIN""]","2018-10-29 14:28:34","8744"
