"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"ALVYYB3MI30NS","cs_wg_rev_mem_pilot2","31QNSG6A5RU3XZE02DH5R663VAJ87V","285484","778933","Female","93","Yes","Yes",,NULL,NULL,NULL,NULL,"[""BASKET"",""MOUSE "",""GROUND"",""ADULT"",""MONKEY"",""PELICAN"",""WIZARD"",""COWBOY"",""PALACE"",""BUCKET"",""SPATULA"",""TURKEY""]","[""PELICAN"",""PUMPKIN"",""SMOKER"",""AVOCADO"",""PENGUIN"",""JAGUAR"",""LETTUCE"",""BAMBOO"",""BANANA"",""MARKET"",""ADULT"",""TURKEY""]","2018-10-03 21:08:53","7669"
"A14SEFVPXYZ9TN","cs_wg_rev_mem_pilot2","3B837J3LDOXVY2DOPPLGDEX48GKSRE","300824","937531","Male","115","No","No",,NULL,NULL,NULL,NULL,"[""BAMBOO: I really like pandas and they enjoy bamboo."",""BLANKET: I've had a favorite blanket since I was a kid."",""MONKEY: I once saw a monkey in real life."",""MARKET: Every Monday I go to the market. "",""GROUND: I walk on a ground every day."",""PENGUIN: The penguin is my favorite animal."",""COSTUME: Every halloween I wear a costume."",""PUMPKIN: When I was a kid I had a fear of pumpkins."",""AIRBAG: An airbag once saved my life."",""PEBBLE: My brother once threw a pebble at my head."",""BANANA: It is my favorite fruit."",""THUMB: I have two thumbs.""]","[""Bamboo"",""Blanket"",""Thumb"",""Pebble"",""Panda"",""Penguin"",""I don't remember."",""I don't remember."",""I don't remember."",""I don't remember."",""I don't remember."",""I don't remember.""]","2018-10-03 21:11:52","7670"
"A3RTXKL0EGLRDJ","cs_wg_rev_mem_pilot2","36TFCYNS44BQ5PLKNUF9YICQ0MNXHT","227842","1427966","Female","91","No","No",,NULL,NULL,NULL,NULL,"[""COMPANY"",""JAGUAR"",""GRENADE"",""SPATULA"",""ACROBAT"",""BLOUSE"",""SCUBA"",""MONKEY "",""SQUARE "",""DONEKY"",""MARKET "",""BLANKET""]","[""COMPANY"",""JAGUAR"",""GRENADE"",""SPATULA"",""ACROBAT"",""BLOUSE"",""SCUBA"",""SQUARE"",""DONKEY "",""MARKET"",""BLANKET"",""COIN""]","2018-10-03 21:21:43","7671"
"AZ5ZYUCAQ0XDL","cs_wg_rev_mem_pilot2","3S3AMIZX3U6LQB5NA20WTKCI7C7CDY","394521","1245252","Male","129","No","No",,NULL,NULL,NULL,NULL,"[""CHICKEN: I eat chicken for lunch"",""SAUCE: I like both red and white sauces"",""LETTUCE: I enjoy salads with organic lettuce"",""ROCKET: Rocket is good in salads"",""BANANA: Bananas are good for me to eat"",""WHISKER: My cat has long whiskers"",""PICTURE: I take many pictures while traveling"",""THUMB: My thumb is my fattest finger"",""POTATO: I don't like plain potatoes"",""BASKET: I have a basket on my bike to carry things"",""ISLAND: The Galapagos are my favorite islands"",""VOLCANO: I would like to climb a volcano someday""]","[""Volcano"",""Island"",""Picture"",""Whisker"",""Potato"",""Chicken"",""Sauce"",""Lettuce"",""Rocket"",""I don't remember"",""I don't remember"",""I don't remember""]","2018-10-03 21:25:45","7672"
"A3S4N8VEMSDT2M","cs_wg_rev_mem_pilot2","3VFJCI1K4Z0S8X4XUPRZO0E1K5QRGT","302273","819222","Female","91","Yes","Yes",,NULL,NULL,NULL,NULL,"[""BUCKET"",""ISLAND"",""WHISKER"",""DONKEY"",""THUMB"",""CRICKET"",""SUNBURN"",""COLUMN"",""PELICAN"",""SEAGULL"",""CANCER"",""PALACE""]","[""BUCKET"",""ISLAND"",""WHISKER"",""DONKEY"",""THUMB"",""CRICKET"",""SUNBURN"",""COLUMN"",""PELICAN"",""SEAGULL"",""CANCER"",""PALACE""]","2018-10-03 21:29:09","7673"
"A2TCV4URAGNFEO","cs_wg_rev_mem_pilot2","3R2UR8A0IAH0X677R7AZIR9RC81XOH","981739","2350549","Male","130","No","No",,NULL,NULL,NULL,NULL,"[""scuba: Scuba diving would be fun."",""Banana: I ate a banana for lunch."",""Liquid:  The liquid that i drink the most is water."",""Grenade.  I heard a song today called Grenade."",""Blanket.  I have a brown blanket."",""Market.  I went to the market today."",""Pelican:  I have a drawing of a pelican bird."",""Whisker:  I use a kitchen whisker."",""Garbage:  The garbage needs to picked up."",""Lettuce.  I made a lettuce salad yesterday."",""Banquet: I went to  a lunch banquet on Sunday."",""Basket:  I have a red basket of flowers.""]","[""whisker"",""pelican"",""scuba"",""garbage"",""basket"",""liquid"",""I don't remember"",""I don't remember"",""I don't remember"",""market"",""banana"",""banquet""]","2018-10-03 21:34:39","7674"
"A1P2W5JU84KTKO","cs_wg_rev_mem_pilot2","3L70J4KAZGNXXW8PQO45NPMU79NDAY","454983","1582978","Male","87","Yes","Yes",,NULL,NULL,NULL,NULL,"[""pumpkin"",""ground"",""PALACE"",""HOCKEY"",""JACKET"",""PENGUIN"",""HOUSE"",""WIZARD"",""ANKLE"",""SQUID"",""BAMBOO"",""CANCER""]","[""lizard"",""house"",""wizard"",""avacodo"",""pumpkin"",""chicken picture"",""tomoto"",""SKUNK"",""JACKET"",""PICKLE"",""MOUSE"",""WIZARD""]","2018-10-03 21:43:12","7675"
"ATE8PLI1HKFRP","cs_wg_rev_mem_pilot2","3EFE17QCRC6I98ZLTK9MZAVYL7LSHG","379598","1428492","Male","132","No","No",,NULL,NULL,NULL,NULL,"[""MOUTH: I have a mouth"",""COWBOY: I used to like cowboys"",""COLUMN: My library has a bunch of columns"",""COMPANY: I work for a company"",""TOMATO: I like tomato soup"",""CHICKEN: I like to grill chicken"",""THUMB: I have two thumbs"",""BLANKET: I like getting warm with a blanket"",""COSTUME: I dress up in a costume for halloween"",""ANKLE: I have nice ankles"",""TURKEY: I cooked turkey for thanksgiving"",""PEBBLE: I skipped a pebble across a lake""]","[""mouth"",""I don't remember"",""column"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""tomato"",""chicken"",""ankle"",""turkey"",""pebble""]","2018-10-03 21:57:18","7676"
"A3F7Q7HJHPGGS9","cs_wg_rev_mem_pilot2","3S3AMIZX3U6LQB5NA20WTKCI7C8DC0","464337","1425268","Female","128","No","No",,NULL,NULL,NULL,NULL,"[""Bucket: I use a bucket to wash my car"",""Palace: I wish I lived in a palace"",""Blanket: My blanket is fluffy and pink"",""Napkin: I need a napkin with every meal"",""Mouth: I have a big mouth"",""Flute: I do not know how to play the flute"",""Spatula: I cook with a spatula"",""Lizard: I am afraid of the lizard"",""Seagull: The seagull popped on my car"",""Pickle: I never put a pickle on my burger"",""Island: I familiar with the island of Hawaii"",""Pebble: There has been a pebble in my shoe before.""]","[""Island"",""pebble"",""pickle"",""blanket"",""bucket"",""i dont remember"",""I dont remember"",""I dont remember"",""i dont remember"",""I dont remember"",""I dont remember"",""I dont remember""]","2018-10-03 22:09:39","7677"
"AU7YVJEBGX9KR","cs_wg_rev_mem_pilot2","3E4GGUZ1T8SG6ZJV5QXDLKYMFVOK29","217626","2037561","Male","116","Yes","Yes",,NULL,NULL,NULL,NULL,"[""ANKLE"",""COWBOY"",""SCUBA"",""BASKET"",""TURKEY"","" COMPANY"","" HOUSE"","" BLOUSE"",""PUMPKIN"",""RABBIT"",""CANCER"",""SAUCE""]","["" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'"","" 'I don't remember'""]","2018-10-03 22:16:15","7678"
