"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A3KHKFLJZN00QI","cs_wg_rev_mem_real1","3U5JL4WY5KAWTDXP8NVQ4T3MVV94XE","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","16292",,"0","[""banana"",""mouse"",""wizard"",""baker"",""cowboy"",""basket"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember"",""I don't remember""]",,"181000",,,"2018-10-04 16:17:56","27024"
"AW4V84DRTH6R2","cs_wg_rev_mem_real1","3F6KKYWMNB24HF2EZS9A9V6U6UUNDS","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","26","0","25496",,"0","[""b"",""s"",""p"",""g"",""l"",""s"",""b"",""a"",""c"",""p"",""p"",""j""]",,"181000",,,"2018-10-04 16:20:21","27025"
"AMVBVRHSEZGZY","cs_wg_rev_mem_real1","3IAEQB9FMELU49BSRT0X5EJLZ6WWDQ","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","10761",,"0","[""potato"",""blanket"",""garbage"",""thumb"",""square"",""cricket"",""bicycle"",""ankle"",""column"",""can't remember"",""can't remember"",""can't remember""]",,"181000",,,"2018-10-04 16:20:52","27026"
"AHXO376ALG8WN","cs_wg_rev_mem_real1","3Z7ISHFUH0WMH9K6L89OIQZ25H28ZL","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","17030",,"0","[""vulture"",""penguin"",""garbage"",""square"",""napkin"",""volcano"",""rocket"",""liquid"",""perfume"",""market"",""Can't remember"",""Can't remember""]",,"181000",,,"2018-10-04 16:21:24","27027"
"AFQBIZY6BT7P2","cs_wg_rev_mem_real1","3P59JYT76LLF9I9IZZB5MBLIYLQT2P","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","20513",,"0","[""adult"",""pickle"",""hockey"",""whisker"",""avocado"",""jacket"",""blouse"",""cant  remember"",""cant  remember"",""cant  remember"",""cant  remember"",""cant  remember""]",,"181000",,,"2018-10-04 16:21:34","27028"
"A2MK7JYJLKWSIH","cs_wg_rev_mem_real1","3IXEICO792K3RJSJM1N8CO2UEQR6TI","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","14385",,"0","[""VOLCANO"",""AIRBAG"",""GROUND"",""CHICKEN"",""NAPKIN"",""BAMBOO"",""MOUTH"",""BUCKET"",""COWBOY"",""WHISKER"",""I don't remember "",""I don't remember""]",,"181000",,,"2018-10-04 16:21:53","27029"
"A1WTUFTRMUN5IR","cs_wg_rev_mem_real1","3ZDAD0O1T1EGAYCFNOWYC1FEBUPTXY","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","10414",,"0","[""Cricket"",""Rocket"",""Blanket"",""Palace"",""Column"",""Banana"",""Lizard"",""Donkey"",""Adult"",""Rabbit"",""Ground"",""Penguin""]",,"181000",,,"2018-10-04 16:22:01","27030"
"A15M1ADLSNZGSJ","cs_wg_rev_mem_real1","3IO1LGZLK9YKTZ0VJ3CDLS670D686V","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","14935",,"0","[""CRICKET"",""BUCKET"",""SQUID"",""SMOKER"",""SCUBA"",""VOLCANO"",""BUCKET"",""HOUSE"",""VULTURE"",""AVOCADO"",""POTATO"",""SCUBA""]",,"181000",,,"2018-10-04 16:22:15","27031"
"A18EYTQN3BKVOR","cs_wg_rev_mem_real1","374TNBHA8BWSINAXBGO5QAB0TTLYQW","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","14831",,"0","[""Avocado"",""Baker"",""Square"",""Blanket"",""Thumb"",""Cancer"",""Jacket"",""Whisker"",""Palace"",""Column"",""Picture"",""I don't remember""]",,"181000",,,"2018-10-04 16:22:38","27032"
"A3VJIRQGLY6C2H","cs_wg_rev_mem_real1","3T3IWE1XG6OW11B31A16ITJLER5TQ4","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","9629",,"0","[""pumpkin"",""garbage"",""flute"",""whisker"",""thumb"",""pickle"",""airbag"",""skunk"",""pebble"",""i dont remember"",""i dont re"",""""]",,"181000",,,"2018-10-04 16:22:54","27033"
"A2R1TM9CS8OAL","cs_wg_rev_mem_real1","3QAVNHZ3EM5GV8WH352T62UZGWVLAK","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","30142",,"0","[""Pumpkin"",""Napkin"",""Banana"",""Banquet"",""Squid"",""Turkey"",""Pelican"",""Seagull"",""Can't remember"",""Can't remember"",""Can't remember"",""Can't remember""]",,"181000",,,"2018-10-04 16:22:56","27034"
"A31X1FW485DON4","cs_wg_rev_mem_real1","3GNA64GUZE5UGZ0D0EJ8FDD7YOI5QO","large","Memory","0","[11,11,11,21,2,2,2,2,2,2,2,2]","0","9","0","15952",,"0","[""Potato"",""Sauce"",""Napkin"",""Column"",""Avocado"",""Company"",""Bicycle"",""Whisker"",""Baker"",""Jaguar"",""Seagull"",""Pickle""]",,"181000",,,"2018-10-04 16:23:03","27035"
