"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","0","394130","Female","0",,"No","I had no strategy.","8 + 7","ever","PSEUDOPSEUDOHYPOPARATHYROIDISM","zeitgeist",NULL,NULL,"2019-01-09 17:33:59","10859"
"A3MKF1HE4UG4KM","cs_wg_rev_notr_pilot1","3OUYGIZWR7ZALGDX3VY7YDR7WK8P05","0","407703","Female","0",,"No","My strategy was to quickly go through the months and keep in mind which had the latest third letter.","8 + 7","elephant","multifactorial","zebra",NULL,NULL,"2019-01-09 17:34:44","10860"
"A1BVEXQ684HDEP","cs_wg_rev_notr_pilot1","3XIQGXAUMC9TC0F8ALTX75NX6XNX71","0","427283","Female","0",,"No","no","13","bees","hippopotamus ","zoo",NULL,NULL,"2019-01-09 17:34:45","10861"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","0","422760","Male","0",,"No","October was what first popped into my head, and t is a decent letter, so I went with that at first, but then changed it to November.  After that, I started going chronologically and made it to April before the time limit.","8 + 7","beekeeper","strengthening","zebra",NULL,NULL,"2019-01-09 17:34:45","10862"
"A935O61ROOUU","cs_wg_rev_notr_pilot1","3R5F3LQFV2LP217MSPYKFCP34MVOZF","0","505510","Female","0",,"No","None, thank you!","12=2","beekeeper","kaleidoscope","Zebra",NULL,NULL,"2019-01-09 17:35:46","10863"
"A3PRBE255N1KSU","cs_wg_rev_notr_pilot1","3MMN5BL1WZ50H5FHU2OYJ7VJURI3MJ","0","517934","Male","0",,"No","Just tried to remember which month had a later letter.","8+7","election","visualization","zebra",NULL,NULL,"2019-01-09 17:36:20","10864"
"A33PQXKQHFVF3V","cs_wg_rev_notr_pilot1","35GCEFQ6I5P0GCE09RESR9RS9VZZ3V","0","400570","Male","0",,"No","My strategy was just to pick the letter than came to my head the quickest and was the latest.","8 + 7","feet","antidisestablishmentarianism","zebra",NULL,NULL,"2019-01-09 17:37:06","10865"
"A5ZOS3ZJHFFVL","cs_wg_rev_notr_pilot1","3BDCF01OGXVHRQUKJBG99OC73NNLY5","0","384028","Male","0",,"No","I wen through the months in order until I found one I thought was best","8+7","envelope","antisemetism","zoo",NULL,NULL,"2019-01-09 17:37:31","10866"
"A3B43EHV3X455M","cs_wg_rev_notr_pilot1","3VP0C6EFSGXZEO2ZD4MWQA734IK6MS","0","771564","Male","0",,"No",,"8+7","beet"," Pneumonoultramicroscopicsilicovolcanoconiosis","zebra",NULL,NULL,"2019-01-09 17:50:25","10867"
"ABL81LYVZUKYE","cs_wg_rev_notr_pilot1","3HL8HNGX452GQXCGPOLVFUEWXIG9FZ","0","598442","Male","0",,"No","Just go through the months in my head, and as soon as I thought of one that was late I typed it...Should of picked May","16-2","elephant","Hypervolicosity","Zulu",NULL,NULL,"2019-01-09 17:50:58","10868"
"AWEUAV2UW15NK","cs_wg_rev_notr_pilot1","34V1S5K3GS2K74J5OVIRLO1J4JD96W","0","489446","Female","0",,"No","I just tried to think hard and fast","8+7
","excitement","Interdisciplinary","Zebra",NULL,NULL,"2019-01-09 18:04:45","10869"
"A3V2QW4LIGTC48","cs_wg_rev_notr_pilot1","3PIWWX1FJJ7L1BBLUQ3TJMKRMUGJJE","0","470189","Female","0",,"No","I thought of a random month (October) and just kept going until I got a month with the third letter late in the alphabet (November). ","12+2","Interpreters","antidisestablishmentarianism","zydeco",NULL,NULL,"2019-01-09 18:35:35","10870"
"A1RCQT5Z8PHTWJ","cs_wg_rev_notr_pilot1","31EUONYN2V48TH2CRS9HU6C7GBYOVO","0","525797","Male","0",,"No","I just ran through the months in my head and realized may had Y as the 3rd letter and wrote it down as fast as i could.","8+7","elephant","extraordinary ","zebra",NULL,NULL,"2019-01-09 18:38:15","10871"
"A35H05K4OCYQ0S","cs_wg_rev_notr_pilot1","3QY7M81QH7NNS0G1B2E8HBFVAOBK72","0","654426","Female","0",,"No","No, just remembered May and went with it. ","7*2","elephantine","curiousette","xylophone",NULL,NULL,"2019-01-09 18:38:53","10872"
"A2CISHIOILFDHN","cs_wg_rev_notr_pilot1","3ZR9AIQJUBAOWNRE5B6JVFGC5OL402","0","643310","Female","0",,"No","Try to remember all the month from january to december","8+7","tee","otorhinolaryngologist","zebra",NULL,NULL,"2019-01-09 19:02:04","10873"
