"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","MARCH","2","5","18","0","2019-01-09 17:32:11","151775"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","FEBRUARY","1","10","2","0","2019-01-09 17:32:11","151776"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","JUNE","5","7","14","0","2019-01-09 17:32:11","151777"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","JANUARY","0","1","14","0","2019-01-09 17:32:11","151778"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","APRIL","3","12","18","0","2019-01-09 17:32:11","151779"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","MAY","4","4","25","0","2019-01-09 17:32:11","151780"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","DECEMBER","11","6","3","0","2019-01-09 17:32:11","151781"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","OCTOBER","9","9","20","0","2019-01-09 17:32:11","151782"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","NOVEMBER","10","11","22","0","2019-01-09 17:32:11","151783"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","JULY","6","8","12","0","2019-01-09 17:32:11","151784"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","SEPTEMBER","8","3","16","0","2019-01-09 17:32:11","151785"
"A2YACZQ29HF93N","cs_wg_rev_notr_pilot1","3JAOYWH7VI52QPMCBZOTA7JGUE29L4","large","AUGUST","7","2","7","0","2019-01-09 17:32:11","151786"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","JANUARY","0","5","14","0","2019-01-09 17:32:30","151787"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","FEBRUARY","1","11","2","0","2019-01-09 17:32:30","151788"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","MARCH","2","12","18","0","2019-01-09 17:32:30","151789"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","APRIL","3","6","18","0","2019-01-09 17:32:30","151790"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","MAY","4","3","25","0","2019-01-09 17:32:30","151791"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","JUNE","5","9","14","0","2019-01-09 17:32:30","151792"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","JULY","6","7","12","0","2019-01-09 17:32:30","151793"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","SEPTEMBER","8","4","16","0","2019-01-09 17:32:30","151794"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","AUGUST","7","2","7","0","2019-01-09 17:32:30","151795"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","OCTOBER","9","8","20","0","2019-01-09 17:32:30","151796"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","NOVEMBER","10","1","22","0","2019-01-09 17:32:30","151797"
"A3S847VMT4OE34","cs_wg_rev_notr_pilot1","3WQ3B2KGE8H8OBX5G9K6HY5SK801B0","small","DECEMBER","11","10","3","0","2019-01-09 17:32:30","151798"
"A3MKF1HE4UG4KM","cs_wg_rev_notr_pilot1","3OUYGIZWR7ZALGDX3VY7YDR7WK8P05","small","MARCH","2","12","18","0","2019-01-09 17:32:41","151799"
"A3MKF1HE4UG4KM","cs_wg_rev_notr_pilot1","3OUYGIZWR7ZALGDX3VY7YDR7WK8P05","small","MAY","4","7","25","0","2019-01-09 17:32:41","151800"
"A3MKF1HE4UG4KM","cs_wg_rev_notr_pilot1","3OUYGIZWR7ZALGDX3VY7YDR7WK8P05","small","FEBRUARY","1","8","2","0","2019-01-09 17:32:41","151801"
