"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A35C0II2FFV18S","cs_wg_rev_notr_real1","3AUQQEL7U5UNQ0ATP77645GPIDAV07","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","11718",,"0","may",,"25003",,,"2019-01-10 16:13:13","33313"
"A16F1JFXBPY43L","cs_wg_rev_notr_real1","3WT783CTPBISBE73W69QYUOJOASCBC","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","6734",,"0","May",,"25009",,,"2019-01-10 16:13:16","33314"
"A12702RT8H45H8","cs_wg_rev_notr_real1","31T4R4OBOSH5924DJPXATS2N5K1C7Q","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","7991",,"0","November",,"25004",,,"2019-01-10 16:13:32","33315"
"A16F1JFXBPY43L","cs_wg_rev_notr_real1","3WT783CTPBISBE73W69QYUOJOASCBC","small","choice-set","2",NULL,"2","-1","-1","-1",,"0","{}",,"33507",,,"2019-01-10 16:13:51","33316"
"A251IZWNCICC1Y","cs_wg_rev_notr_real1","32SVAV9L3FAZF46SXZYTAG0J0FUA3H","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","8741",,"0","may",,"25000",,,"2019-01-10 16:14:13","33317"
"ASQQKELQ5WN35","cs_wg_rev_notr_real1","3VD82FOHKQPCU8WC0BEC4EOIV9BCOG","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","20","0","7388",,"0",,"may ","25000",,,"2019-01-10 16:14:16","33318"
"A2NP9KPWVV6OZY","cs_wg_rev_notr_real1","3STRJBFXOWSAQYD8O5H9M77DZQ1KTN","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","7319",,"0","may
may",,"25010",,,"2019-01-10 16:14:22","33319"
"A2H5A3QHY8BK3X","cs_wg_rev_notr_real1","31UV0MXWNQDHZ1CUN6EZ6BMMRJQI5J","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","1","0","15478",,"0","november","nove","25021",,,"2019-01-10 16:14:25","33320"
"A2MHM7JK1T9XHR","cs_wg_rev_notr_real1","3WQQ9FUS6AVQZBHQFUTLW8S0YJ7B85","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","10045",,"0","MAY",,"25004",,,"2019-01-10 16:14:29","33321"
"A1IW9V75GCJ58P","cs_wg_rev_notr_real1","34Z02EIMISE8D864KC7R3NS4LSV0TX","large","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","1","0","13809",,"0","november",,"25002",,,"2019-01-10 16:14:33","33322"
"A1C6K6JDJARJGJ","cs_wg_rev_notr_real1","3634BBTX0OV91Y5JTIR8SNDZGD4FIZ","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","19350",,"0","may","february may november","25002",,,"2019-01-10 16:14:39","33323"
"AT54KT73813OK","cs_wg_rev_notr_real1","3F6KKYWMNB24HF2EZS9A9V6VQZINDC","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","19248",,"0","May",,"25006",,,"2019-01-10 16:14:44","33324"
"A2P8VR6J0Q7GXS","cs_wg_rev_notr_real1","336KAV9KYQTBQ48C95Y4USDYXSX2Y8","small","Third letter late","0","[14,2,18,18,25,14,12,7,16,20,22,3]","0","25","1","10515",,"0","May",,"25004",,,"2019-01-10 16:14:44","33325"
