"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"A2RK260P2QPKV4","cs_wg_full_v3_pilot1","3TESA3PJ31B13RNR0KTDF64OO8KMMB","79582","1033836","Female","325","No","No","I wrote out all the words in the box, and then looked at which one was later in the alphabet. I sort of freaked out towards the end and picked one really quickly",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:20:43","4433"
"A32P9ZPLKA3K7Z","cs_wg_full_v3_pilot1","374TNBHA8BWSINAXBGO5QAB07JWYQ1","92484","1010348","Male","325","No","No","List out all the words then choose the one with the most points! It was easy too as I thought to copy all the words in the virtual notepad too.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:22:48","4435"
"ANUG05IDFTWF","cs_wg_full_v3_pilot1","3KAKFY4PGU3ELMPQ9NQ6REO178M3IZ","123911","1079031","Female","325","Yes","No","I didn't think.  I really should spell out the word before I make a choice.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:26:15","4436"
"A3V9NNG0SAKPGB","cs_wg_full_v3_pilot1","3TXWC2NHNZRPU2H2V8LUMTXAGYVS9U","49091","812823","Male","316","No","No","Honestly was just a guess because I froze up and couldn't remember all the words at the time. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:26:38","4437"
"AGC3T6724JUAF","cs_wg_full_v3_pilot1","36U2A8VAG1067KC2YB48UOZR8D3KYU","92103","1236191","Female","320","No","No","NOpe thanks!",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:26:51","4438"
"A13KB82N4UMWJZ","cs_wg_full_v3_pilot1","3C6FJU71TQUKAGHESP8A0B8PA41UY1","803438","1588897","Male","271","No","No","Just try to remember the words form part 1",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:30:12","4439"
"AY0758IITCGOZ","cs_wg_full_v3_pilot1","36W0OB37HWFFAKLZOC3UV3S1MQ5HZG","81456","1894483","Female","822","No","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:37:24","4440"
"A5J0OW727ZCWY","cs_wg_full_v3_pilot1","32EYX73OY0ABDF5SEUGGSFFS7HMRUW","73912","2517568","Female","839","Yes","No","I just had to guess, my brain was too tired after the first part",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:46:35","4441"
"A376VDKE75VP04","cs_wg_full_v3_pilot1","3ATTHHXXWAPQ1KW4TCXUYUD5E3KXIQ","143529","2678611","Female","807","No","Yes","Kind of hectic",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:49:33","4442"
"A4YG74WC1EK5V","cs_wg_full_v3_pilot1","3FTF2T8WLRJI1JYBFDVVJI0VMBT9WS","82965","1709849","Male","832","No","No","I couldn't think of a good word for that question",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 20:56:09","4443"
"A3BWF4LL3X9V22","cs_wg_full_v3_pilot1","3X08E93BHVJXPLH7QOFF1EAG88S66D","29557","1155215","Female","265","Yes","Yes","I AM GOOD",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 21:11:29","4444"
"A2ML4TEAJTDQD0","cs_wg_full_v3_pilot1","33FOTY3KEMMRYGPBU9G1SIB9WKAC12","55505","987689","Male","288","No","No","no",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 21:38:32","4445"
"A33W0IF5NB0O23","cs_wg_full_v3_pilot1","3MTMREQS4VJW628G7J9VFDBFSV5AW6","28540","1233689","Male","277","Yes","Yes","no comments",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 21:40:18","4446"
"A710KFWM7SFLG","cs_wg_full_v3_pilot1","3M23Y66PO282CJF4X1II2J68QY6S64","30558","769509","Male","315","Yes","No","none",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 21:48:34","4447"
"A2VT0REE77ZI2I","cs_wg_full_v3_pilot1","3R08VXYT7CWEN0AI0GXB5M9PRN8W7A","359254","1131429","Female","321","No","No","I tried to imagine the words in my head.",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 22:27:46","4448"
"A6FE2ZQNFW12V","cs_wg_full_v3_pilot1","3Q5ZZ9ZEVOGOAV0HEK28TMS7IAM581","49306","1738373","Female","806","No","No","
I just went over time on this one due to some keyboard difficulty. I hope you will consider including my submission anyway, since this took a considerable amount of time and effort. My Mturk ID is A6FE2ZQNFW12V and I will email you as well with this info. ",NULL,NULL,NULL,NULL,NULL,NULL,"2018-06-28 23:20:10","4449"
