"subject","version","assignmentId","cond","question","question_ind","all_values","question_order","comp_check","comp_check_pass","comp_check_rt","comp_check2","comp_check_pass2","choice","scratch","rt","early1","early2","stamp","id"
"A2RK260P2QPKV4","cs_wg_full_v3_pilot1","3TESA3PJ31B13RNR0KTDF64OO8KMMB","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","55938","0","1","picture","volcano jacket picture blanke","16000",,,"2018-06-28 20:16:34","20454"
"A32P9ZPLKA3K7Z","cs_wg_full_v3_pilot1","374TNBHA8BWSINAXBGO5QAB07JWYQ1","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","46219","0","1","BANQUET","TURKEY GARBAGE BANQUET PUMPKIN","16000",,,"2018-06-28 20:18:39","20455"
"A2RK260P2QPKV4","cs_wg_full_v3_pilot1","3TESA3PJ31B13RNR0KTDF64OO8KMMB","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""jacket"",""blanket"",""picture"",""volcano""]","[""15"",""1"",""6"",""6""]","181000",,,"2018-06-28 20:19:36","20456"
"A32P9ZPLKA3K7Z","cs_wg_full_v3_pilot1","374TNBHA8BWSINAXBGO5QAB07JWYQ1","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""TURKEY"",""BANQUET"",""GARBAGE"",""PUMPKIN""]","[""1"",""6"",""6"",""15""]","181000",,,"2018-06-28 20:21:41","20457"
"ANUG05IDFTWF","cs_wg_full_v3_pilot1","3KAKFY4PGU3ELMPQ9NQ6REO178M3IZ","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","48478","0","1","MONKEY",,"16000",,,"2018-06-28 20:22:34","20460"
"A3V9NNG0SAKPGB","cs_wg_full_v3_pilot1","3TXWC2NHNZRPU2H2V8LUMTXAGYVS9U","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","37663","0","1","Turkey",,"16000",,,"2018-06-28 20:22:40","20461"
"AGC3T6724JUAF","cs_wg_full_v3_pilot1","36U2A8VAG1067KC2YB48UOZR8D3KYU","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","104927","0","1","PEPPLE",,"16000",,,"2018-06-28 20:22:44","20462"
"ANUG05IDFTWF","cs_wg_full_v3_pilot1","3KAKFY4PGU3ELMPQ9NQ6REO178M3IZ","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""MONKEY"",""BLANKET"",""CANCER"",""SUNBURN""]","[""1"",""15"",""6"",""6""]","181000",,,"2018-06-28 20:25:36","20463"
"A3V9NNG0SAKPGB","cs_wg_full_v3_pilot1","3TXWC2NHNZRPU2H2V8LUMTXAGYVS9U","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""Turkey"",""Basket"",""Tomato"",""Costume""]","[""15"",""1"",""6"",""6""]","181000",,,"2018-06-28 20:25:42","20464"
"AGC3T6724JUAF","cs_wg_full_v3_pilot1","36U2A8VAG1067KC2YB48UOZR8D3KYU","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""PEPPLE"",""BLANET"",""BASKET"",""SPATULA""]","[""6"",""15"",""1"",""6""]","181000",,,"2018-06-28 20:25:47","20465"
"A13KB82N4UMWJZ","cs_wg_full_v3_pilot1","3C6FJU71TQUKAGHESP8A0B8PA41UY1","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","22089","0","1","Costume","Costume
Banana
","16000",,,"2018-06-28 20:26:36","20466"
"A13KB82N4UMWJZ","cs_wg_full_v3_pilot1","3C6FJU71TQUKAGHESP8A0B8PA41UY1","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""Costume"",""Bucket"",""Banana"",""Bucket""]","[""6"",""15"",""6"",""1""]","181000",,,"2018-06-28 20:29:38","20467"
"AY0758IITCGOZ","cs_wg_full_v3_pilot1","36W0OB37HWFFAKLZOC3UV3S1MQ5HZG","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2,2]","0","26","1","150072","0","1",,,"16000",,,"2018-06-28 20:34:01","20468"
"AY0758IITCGOZ","cs_wg_full_v3_pilot1","36W0OB37HWFFAKLZOC3UV3S1MQ5HZG","large","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""volcano"",""banana"",""lizard"","""",""chicken"","""","""","""","""","""","""",""""]","[""1"","""",""26"","""","""","""","""","""","""","""","""",""""]","181000",,,"2018-06-28 20:37:04","20469"
"A5J0OW727ZCWY","cs_wg_full_v3_pilot1","32EYX73OY0ABDF5SEUGGSFFS7HMRUW","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2,2]","0","15","0","21796","0","1","tomato","tomato","16000",,,"2018-06-28 20:42:34","20470"
"A5J0OW727ZCWY","cs_wg_full_v3_pilot1","32EYX73OY0ABDF5SEUGGSFFS7HMRUW","large","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""tomato"",""avacado"",""chicken"",""lizaed"",""rabbit"",""square"",""airbag"",""costume"",""bicycle"",""garbage"",""pickle"",""""]","[""5"",""7"",""15"",""5"",""5"",""7"",""7"",""6"",""7"",""5"",""1"",""""]","181000",,,"2018-06-28 20:45:36","20471"
"A376VDKE75VP04","cs_wg_full_v3_pilot1","3ATTHHXXWAPQ1KW4TCXUYUD5E3KXIQ","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2,2]","0","26","1","63807","0","1",,,"16000",,,"2018-06-28 20:45:49","20472"
"A376VDKE75VP04","cs_wg_full_v3_pilot1","3ATTHHXXWAPQ1KW4TCXUYUD5E3KXIQ","large","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""BANQUET"",""GREENADE"",""WIZARD"",""PELICAN"",""BANANA"",""ACROBAT"",""SMOKER"",""BAMBOO"",""CRICKET"","""","""",""""]","[""21"",""1"",""1"",""3"",""1"",""2"",""11"",""2"",""11"","""","""",""""]","181000",,,"2018-06-28 20:48:51","20473"
"A4YG74WC1EK5V","cs_wg_full_v3_pilot1","3FTF2T8WLRJI1JYBFDVVJI0VMBT9WS","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2,2]","0","26","1","23432","0","1",,,"16000",,,"2018-06-28 20:52:35","20474"
"A4YG74WC1EK5V","cs_wg_full_v3_pilot1","3FTF2T8WLRJI1JYBFDVVJI0VMBT9WS","large","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""monkey"",""bucket"",""acrobat"",""bicycle"",""banana"",""square"",""company"",""avocado"",""penguin"",""cancer"","""",""""]","[""1"",""15"",""7"",""7"",""5"",""5"",""5"",""6"",""6"",""7"","""",""""]","181000",,,"2018-06-28 20:55:37","20475"
"A3C31Q12GIH1JE","cs_wg_full_v3_pilot1","3N4BPTXIO8TPQBSXOA7JR3TECPTKUX","large","Third-to-last letter late","0","[11,11,21,2,2,2,2,2,2,2,2,2]","0","26","1","5706","26","0","good","good","16000",,,"2018-06-28 20:57:20","20476"
"A3BWF4LL3X9V22","cs_wg_full_v3_pilot1","3X08E93BHVJXPLH7QOFF1EAG88S66D","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","9220","15","0","I AM GOOD","I AM GOOD","16000",,,"2018-06-28 21:07:20","20477"
"A3BWF4LL3X9V22","cs_wg_full_v3_pilot1","3X08E93BHVJXPLH7QOFF1EAG88S66D","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""I AM GOOD"",""I AM GOOD"","" I AM GOOD"",""I AM GOOD""]","[""7"",""7"",""7"",""7""]","181000",,,"2018-06-28 21:10:22","20478"
"A2ML4TEAJTDQD0","cs_wg_full_v3_pilot1","33FOTY3KEMMRYGPBU9G1SIB9WKAC12","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","51406","15","0","x",,"16000",,,"2018-06-28 21:35:06","20479"
"A33W0IF5NB0O23","cs_wg_full_v3_pilot1","3MTMREQS4VJW628G7J9VFDBFSV5AW6","small","Third-to-last letter late","0","[11,11,21,2]","0","15","0","8256","15","0","nice process","good good one","16000",,,"2018-06-28 21:36:52","20480"
"A2ML4TEAJTDQD0","cs_wg_full_v3_pilot1","33FOTY3KEMMRYGPBU9G1SIB9WKAC12","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""smoker"",""pickle"",""costume"",""kite""]","[""15"",""1"",""6"",""6""]","181000",,,"2018-06-28 21:38:08","20481"
"A33W0IF5NB0O23","cs_wg_full_v3_pilot1","3MTMREQS4VJW628G7J9VFDBFSV5AW6","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""no"",""no"","""",""""]","[""15"","""","""",""""]","181000",,,"2018-06-28 21:39:54","20482"
"A710KFWM7SFLG","cs_wg_full_v3_pilot1","3M23Y66PO282CJF4X1II2J68QY6S64","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","34805","0","1","pumpkin",,"16000",,,"2018-06-28 21:45:17","20483"
"A710KFWM7SFLG","cs_wg_full_v3_pilot1","3M23Y66PO282CJF4X1II2J68QY6S64","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""pumpkin"",""liquid"",""chicken"",""atribute""]","[""2"",""3"",""2"",""4""]","181000",,,"2018-06-28 21:48:19","20484"
"A2VT0REE77ZI2I","cs_wg_full_v3_pilot1","3R08VXYT7CWEN0AI0GXB5M9PRN8W7A","small","Third-to-last letter late","0","[11,11,21,2]","0","26","1","32356","0","1","penguin",,"16000",,,"2018-06-28 22:24:17","20485"
"A2VT0REE77ZI2I","cs_wg_full_v3_pilot1","3R08VXYT7CWEN0AI0GXB5M9PRN8W7A","small","Memory","1",NULL,"1",NULL,NULL,NULL,,"0","[""pickle"",""penguin"",""square"",""smoker""]","[""15"",""6"",""6"",""1""]","181000",,,"2018-06-28 22:27:19","20486"
