"subject","version","assignmentId","cond","word","word_ind","s1_value","s2_value","exposures","stamp","id"
"A1KUXDQ9VECR4V","cs_wg_full_v3_real1","3Y5140Z9DXHLSBUD7LND4HR2CHLPIU","small","CRICKET","0","15","11","10","2018-06-30 16:06:52","77358"
"A1KUXDQ9VECR4V","cs_wg_full_v3_real1","3Y5140Z9DXHLSBUD7LND4HR2CHLPIU","small","BASKET","1","1","11","10","2018-06-30 16:06:52","77359"
"A1KUXDQ9VECR4V","cs_wg_full_v3_real1","3Y5140Z9DXHLSBUD7LND4HR2CHLPIU","small","SPATULA","2","6","21","10","2018-06-30 16:06:52","77360"
"A1KUXDQ9VECR4V","cs_wg_full_v3_real1","3Y5140Z9DXHLSBUD7LND4HR2CHLPIU","small","COMPANY","3","6","2","10","2018-06-30 16:06:52","77361"
"AL337BAZEBO6C","cs_wg_full_v3_real1","3ITXP059PWKE0EUBHKC7BNBDCGHSJP","small","MONKEY","1","1","11","10","2018-06-30 16:09:17","77362"
"AL337BAZEBO6C","cs_wg_full_v3_real1","3ITXP059PWKE0EUBHKC7BNBDCGHSJP","small","BANQUET","2","6","21","10","2018-06-30 16:09:17","77363"
"AL337BAZEBO6C","cs_wg_full_v3_real1","3ITXP059PWKE0EUBHKC7BNBDCGHSJP","small","JACKET","0","15","11","10","2018-06-30 16:09:17","77364"
"AL337BAZEBO6C","cs_wg_full_v3_real1","3ITXP059PWKE0EUBHKC7BNBDCGHSJP","small","BAMBOO","3","6","2","10","2018-06-30 16:09:17","77365"
"ANZNAAS2K0DSY","cs_wg_full_v3_real1","3R2UR8A0IAH0X677R7AZIR9RQPTXOL","small","SUNBURN","2","6","21","10","2018-06-30 16:09:40","77366"
"ANZNAAS2K0DSY","cs_wg_full_v3_real1","3R2UR8A0IAH0X677R7AZIR9RQPTXOL","small","BASKET","0","15","11","10","2018-06-30 16:09:40","77367"
"ANZNAAS2K0DSY","cs_wg_full_v3_real1","3R2UR8A0IAH0X677R7AZIR9RQPTXOL","small","CRICKET","1","1","11","10","2018-06-30 16:09:40","77368"
"ANZNAAS2K0DSY","cs_wg_full_v3_real1","3R2UR8A0IAH0X677R7AZIR9RQPTXOL","small","CANCER","3","6","2","10","2018-06-30 16:09:40","77369"
"AWFWUFAI33WB2","cs_wg_full_v3_real1","3OVHNO1VE62YY4GX2GK44ID3UBKZDN","small","CHICKEN","1","1","11","10","2018-06-30 16:10:01","77370"
"AWFWUFAI33WB2","cs_wg_full_v3_real1","3OVHNO1VE62YY4GX2GK44ID3UBKZDN","small","BANQUET","2","6","21","10","2018-06-30 16:10:01","77371"
"AWFWUFAI33WB2","cs_wg_full_v3_real1","3OVHNO1VE62YY4GX2GK44ID3UBKZDN","small","BLANKET","0","15","11","10","2018-06-30 16:10:01","77372"
"AWFWUFAI33WB2","cs_wg_full_v3_real1","3OVHNO1VE62YY4GX2GK44ID3UBKZDN","small","TOMATO","3","6","2","10","2018-06-30 16:10:01","77373"
"A8E99XNOTT390","cs_wg_full_v3_real1","3VP0C6EFSGXZEO2ZD4MWQA72YLG6MM","small","AIRBAG","3","6","2","10","2018-06-30 16:10:18","77374"
"A8E99XNOTT390","cs_wg_full_v3_real1","3VP0C6EFSGXZEO2ZD4MWQA72YLG6MM","small","BUCKET","1","1","11","10","2018-06-30 16:10:18","77375"
"A8E99XNOTT390","cs_wg_full_v3_real1","3VP0C6EFSGXZEO2ZD4MWQA72YLG6MM","small","BASKET","0","15","11","10","2018-06-30 16:10:18","77376"
"A8E99XNOTT390","cs_wg_full_v3_real1","3VP0C6EFSGXZEO2ZD4MWQA72YLG6MM","small","SPATULA","2","6","21","10","2018-06-30 16:10:18","77377"
"A17497K07LP4RX","cs_wg_full_v3_real1","3VNL7UK1XFKZACLUNUQC6UF7LSETFC","small","MONKEY","1","1","11","10","2018-06-30 16:10:36","77378"
"A17497K07LP4RX","cs_wg_full_v3_real1","3VNL7UK1XFKZACLUNUQC6UF7LSETFC","small","BLANKET","0","15","11","10","2018-06-30 16:10:36","77379"
"A17497K07LP4RX","cs_wg_full_v3_real1","3VNL7UK1XFKZACLUNUQC6UF7LSETFC","small","SPATULA","2","6","21","10","2018-06-30 16:10:36","77380"
"A17497K07LP4RX","cs_wg_full_v3_real1","3VNL7UK1XFKZACLUNUQC6UF7LSETFC","small","GARBAGE","3","6","2","10","2018-06-30 16:10:36","77381"
"AY2U544TCVPMQ","cs_wg_full_v3_real1","3GDTJDAPVUCMI2LN6JJUAO3T4G68MA","small","TURKEY","0","15","11","10","2018-06-30 16:10:50","77382"
"AY2U544TCVPMQ","cs_wg_full_v3_real1","3GDTJDAPVUCMI2LN6JJUAO3T4G68MA","small","SUNBURN","2","6","21","10","2018-06-30 16:10:50","77383"
"AY2U544TCVPMQ","cs_wg_full_v3_real1","3GDTJDAPVUCMI2LN6JJUAO3T4G68MA","small","CHICKEN","1","1","11","10","2018-06-30 16:10:50","77384"
"AY2U544TCVPMQ","cs_wg_full_v3_real1","3GDTJDAPVUCMI2LN6JJUAO3T4G68MA","small","BAMBOO","3","6","2","10","2018-06-30 16:10:50","77385"
"A1MCUKJZ15OSOY","cs_wg_full_v3_real1","3KXIR214I4HVSXUSKYAXE39QWPT246","small","COSTUME","2","6","21","10","2018-06-30 16:11:07","77386"
"A1MCUKJZ15OSOY","cs_wg_full_v3_real1","3KXIR214I4HVSXUSKYAXE39QWPT246","small","COWBOY","3","6","2","10","2018-06-30 16:11:07","77387"
"A1MCUKJZ15OSOY","cs_wg_full_v3_real1","3KXIR214I4HVSXUSKYAXE39QWPT246","small","JACKET","0","15","11","10","2018-06-30 16:11:07","77388"
"A1MCUKJZ15OSOY","cs_wg_full_v3_real1","3KXIR214I4HVSXUSKYAXE39QWPT246","small","BUCKET","1","1","11","10","2018-06-30 16:11:07","77389"
"A3VIDSSJ4J4M80","cs_wg_full_v3_real1","3AWETUDC92TF6FWJUULFVFTGMGSIZ8","small","CRICKET","0","15","11","10","2018-06-30 16:11:11","77390"
"A3VIDSSJ4J4M80","cs_wg_full_v3_real1","3AWETUDC92TF6FWJUULFVFTGMGSIZ8","small","COSTUME","2","6","21","10","2018-06-30 16:11:11","77392"
"A3VIDSSJ4J4M80","cs_wg_full_v3_real1","3AWETUDC92TF6FWJUULFVFTGMGSIZ8","small","PEBBLE","3","6","2","10","2018-06-30 16:11:11","77391"
"A3VIDSSJ4J4M80","cs_wg_full_v3_real1","3AWETUDC92TF6FWJUULFVFTGMGSIZ8","small","CHICKEN","1","1","11","10","2018-06-30 16:11:11","77393"
"A2FARB7LA24AU8","cs_wg_full_v3_real1","3XM0HYN6NK09C6SRB2XMJ2TAKOEPEL","small","BASKET","0","15","11","10","2018-06-30 16:11:17","77394"
"A2FARB7LA24AU8","cs_wg_full_v3_real1","3XM0HYN6NK09C6SRB2XMJ2TAKOEPEL","small","ISLAND","3","6","2","10","2018-06-30 16:11:17","77395"
"A2FARB7LA24AU8","cs_wg_full_v3_real1","3XM0HYN6NK09C6SRB2XMJ2TAKOEPEL","small","MONKEY","1","1","11","10","2018-06-30 16:11:17","77396"
"A2FARB7LA24AU8","cs_wg_full_v3_real1","3XM0HYN6NK09C6SRB2XMJ2TAKOEPEL","small","BANQUET","2","6","21","10","2018-06-30 16:11:17","77397"
"A37H8GZCPJ3AA7","cs_wg_full_v3_real1","3300DTYQT2IUCIT6BFCBJ7JKPK0QED","small","AVOCADO","3","6","2","10","2018-06-30 16:11:21","77398"
"A37H8GZCPJ3AA7","cs_wg_full_v3_real1","3300DTYQT2IUCIT6BFCBJ7JKPK0QED","small","MONKEY","1","1","11","10","2018-06-30 16:11:21","77399"
"A37H8GZCPJ3AA7","cs_wg_full_v3_real1","3300DTYQT2IUCIT6BFCBJ7JKPK0QED","small","CHICKEN","0","15","11","10","2018-06-30 16:11:21","77400"
"A37H8GZCPJ3AA7","cs_wg_full_v3_real1","3300DTYQT2IUCIT6BFCBJ7JKPK0QED","small","LIQUID","2","6","21","10","2018-06-30 16:11:21","77401"
"A1QX1YDOAN4LNA","cs_wg_full_v3_real1","3HUTX6F6VUOZWQ4A3IP6S1FVDGSO21","small","BLANKET","0","15","11","10","2018-06-30 16:11:22","77402"
"A1QX1YDOAN4LNA","cs_wg_full_v3_real1","3HUTX6F6VUOZWQ4A3IP6S1FVDGSO21","small","BUCKET","1","1","11","10","2018-06-30 16:11:22","77403"
"A1QX1YDOAN4LNA","cs_wg_full_v3_real1","3HUTX6F6VUOZWQ4A3IP6S1FVDGSO21","small","SPATULA","2","6","21","10","2018-06-30 16:11:22","77404"
"A1QX1YDOAN4LNA","cs_wg_full_v3_real1","3HUTX6F6VUOZWQ4A3IP6S1FVDGSO21","small","AVOCADO","3","6","2","10","2018-06-30 16:11:22","77405"
