"subject","version","assignmentId","instructions_time","total_time","gender","s1_bonus","use_s1","write_down","comments","tr_choices","tr_rt","tr_resp","tr_resp2","tr_resp_correct","tr_resp2_correct","stamp","id"
"AJRY9ALX8069Y","cs_wg_v5_pilot1","3TMSXRD2X610CEVGB0G24CIAWD8W15","117747","2012081","Female","758","No","No","I just did my best to remember. Part 2 was very hard and I don't think I did very well.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 17:46:02","640"
"A320QA9HJFUOZO","cs_wg_v5_pilot1","3NL0RFNU0FOQ9DYI94G1EZVILQ9K4A","89607","2518623","Male","774","No","No","My strategy was to list the best words I could think of within the time frame that would be worth the most points. 

While the pay for this study is acceptable by pathetic MTurk standards, it probably should be a bit higher considering its length, tedious nature, and repetitive writing.

Thanks.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 17:55:06","641"
"A1NBHHH443OZPE","cs_wg_v5_pilot1","33F859I566EJSMIJIYNR9LLW31MHB9","150017","2575530","Female","748","No","No","In part 2 I made sure to write a word in the box that might work and then go back over the words in my head to see if I could think of a better answer. There wasn't really enough time given to use the notepads. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 17:55:53","642"
"A3PYFNAED6X1BL","cs_wg_v5_pilot1","35BLDD71I6YKSLGJT1KYA4J82JJVZJ","119208","2523502","Female","765","No","No","I wrote down as many words as I could think of and tried to pick the best out of those",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 17:57:58","643"
"A2R9MIRIP29431","cs_wg_v5_pilot1","3ZDAD0O1T1EGAYCFNOWYC1FCXY5TX4","83755","2845925","Female","771","No","No","no comments.  my strategy was just trying to remember",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 17:59:52","644"
"A2WNVSJ1Y06SS1","cs_wg_v5_pilot1","3TVSS0C0E111LY7PDJ0CAI15OWZTWB","112289","2445320","Female","784","No","No","I tried to remember all the words and just select one that went with the rules best",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:00:51","645"
"AWWOJW8YTE7M5","cs_wg_v5_pilot1","38YMOXR4MU0VJ0WDH6SJZ89R4OOW63","194011","2236498","Male","784","No","No","I actually really enjoyed this study and felt very focused while completing it. I have a pretty good memory i like to think. For part 2 I just focused on whatever 2-3 words popped in my head and chose the best.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:02:08","646"
"A25DP39XRZDLQM","cs_wg_v5_pilot1","37WLF8U1WPR4O02WSS9GBXFWHHFK6V","157371","2973740","Female","770","Yes","No","No comment",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:02:42","647"
"AEXF5EUX32U0M","cs_wg_v5_pilot1","3TPZPLC3M0D628CUMIGQ0BPB10JP3V","135295","2532159","Female","739","No","No","To think about the word I would use before I went to that question.  The question before was the same in the trial",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:07:18","648"
"A3KC26Z78FBOJT","cs_wg_v5_pilot1","3YT88D1N08Z5RHFE9QBI4U3C7QDK3P","90253","2190264","Male","756","No","No","My strategy in part 2 was just to try to remember as best as I could and as quickly as I could since we had such a short time limit on them. I pretty much just focused on a few words rather than all of them.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:08:48","649"
"A1L3937MY09J3I","cs_wg_v5_pilot1","3ERET4BTVMAR6J4UQZCSV76Y7IN9KV","42300","1815958","Male","769","No","No","Try to remember as much as possible.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:19:18","650"
"AOTCPS24JM5DQ","cs_wg_v5_pilot1","39K0FND3AHG01QE23H386F9M250MAS","31827","3227212","Male","523","No","No","no comments i was drawing a blank on the words :( im sorry about that ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:20:06","651"
"ATUY1BTU5BQDE","cs_wg_v5_pilot1","3DR23U6WE5F74YLYSJ66OCU5HSUETG","74461","2027547","Male","722","No","No","It was underpaid. To pick the best word that came to mind was my strategy.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:20:19","652"
"ARVXIBUCA8WDZ","cs_wg_v5_pilot1","3HWRJOOET536PY8J3J1GE7YJF9GESR","40178","2567857","Male","762","No","No","I just tried to remember whatever words I could to fit what was being asked in each part. I mistakenly used a few words that were not in part 1 but corrected that.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:25:35","653"
"A2TBXASXZIRNNW","cs_wg_v5_pilot1","3A9AA95ATWN9GNZY014JF8NVFWAP5L","128125","2467416","Male","678","No","No","TOOOOOOOOOOOOO LOOOOOOOOOOOOOOOOOng",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:29:22","654"
"a3hylvfudkjfkc","cs_wg_v5_pilot1","3IX2EGZR7BK2ZZUY2VC2LD6FYFTRJ1","133414","2386363","Male","703","Yes","No","just try to rember words i hadseen badone sorimarily",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:33:35","655"
"A2GN5L03ZQEOZF","cs_wg_v5_pilot1","31LVTDXBL7B8UPIY5GOF1SJ724YRL3","331014","4406251","Female","690","No","No","no comments. My strategy in part 2 was to think as fast as I could and write down the best thing that came to mind and the words that had more points were easier to remember",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:42:25","656"
"A14ROPJKQ4KB6V","cs_wg_v5_pilot1","382M9COHEHGM4B0NSOWGT8G7061EU7","66681","2720653","Female","729","Yes","No",,NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:47:01","657"
"A2WU2OBJC98WQP","cs_wg_v5_pilot1","3ZV9H2YQQD8WMH9VY4ULS5X7UXMW3X","225015","3088273","Female","781","No","No","I had accidently put my answer in the notes box a few times. My strategy was to recall the words I had seen in part one.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 18:58:01","658"
"A13WFFPE9L1QAB","cs_wg_v5_pilot1","3GDTJDAPVUCMI2LN6JJUAO3RCH0M8O","265024","6566389","Male","779","No","Yes","I tried to use my brain to remember the words as much as i can. I tried come up with clever ways to remember the words. For example helicopter was easy to remember since i associated it with one main pilot flying the helicopter. Umbrella was another one that came easy since i looked back at the times when people use an umbrella - they're at a low point, so i made a connection between umbrella and zero.",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 19:03:21","659"
"A2YO837C0O1E91","cs_wg_v5_pilot1","3U088ZLJVKU05PAYFHC2Q7Z0RL2W02","174695","2019731","Female","671","No","No","Just used my memory",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 19:10:29","660"
"A25H7HFOG5D9B4","cs_wg_v5_pilot1","3ZSY5X72NXCG0ALVI847T9N1X93ROK","50699","2043095","Female","754","No","No","I didn't have one, I just tried to remember the words and then use the notepad to type them out fast and see if any of them fit the parameters of the question. Okay so I guess that was my stragety",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 19:18:55","661"
"A3AFC26CB0AXMI","cs_wg_v5_pilot1","308Q0PEVB8E00OE6QWRGIRRLFEY9IK","93458","2767932","Male","770","No","No","I TRIED TO THINK OF THE WORD FOR THE QUESTION BEFORE CLICKING NEXT AS THERE WAS NO TIMER IN THAT SECTION ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 19:28:21","662"
"A3M26P1CBNLA4U
","cs_wg_v5_pilot1","3VP0C6EFSGXZEO2ZD4MWQA706MAM62","298732","2544640","Male","758","No","No","I don't have a great short term memory, so my strategy was mostly terrorized desperation. I feel like instinctive memory drove pretty good decisions though, and I typed but misspelled ladder on one of the questions at the last moment. ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 20:23:26","663"
"A34L0OOVHMBN90","cs_wg_v5_pilot1","3FDJT1UU74985W2IN9ZBJR1WLM4K5F","308345","2631475","Male","681","Yes","No","tried to go bu gut instinct ",NULL,NULL,NULL,NULL,NULL,NULL,"2017-09-15 20:28:06","664"
